"no","group","speaker","original","pron","trans","comment"
"1","L'école des fans","A","Animateur : Et voilà le Chaperon rouge, elle arrive.","아니마퇴흐 에 부알라 르 샤프홍 후주 엘 아히브","진행자: 자, 빨간 모자가 왔네요.","voilà=자, 여기 / arriver=도착하다"
"2","L'école des fans","A","C'est Cynthia.","쎄 씬티아","진행자: 신시아입니다.",""
"3","L'école des fans","A","Viens ma chérie.","비앙 마 쉐히","진행자: 이리 와, 자기야.","viens=오다(명령형)"
"4","L'école des fans","A","[Applaudissements]","아쁠로디스망","(박수)",""
"5","L'école des fans","A","Elle est courte, hein, ta robe.","엘 에 꾸흐뜨 앵 따 호브","진행자: 너 치마가 짧네, 그렇지?","court=짧은"
"6","L'école des fans","A","Mets le micro là.","메 르 미크호 라","진행자: 마이크 여기 둬.","mettre=놓다 (명령형)"
"7","L'école des fans","F","Fille : C'est une rock.","피유 쎄 튄 호크","소녀: 이건 록이에요.","발음 혼동 (robe)"
"8","L'école des fans","A","A: C'est ro, c'est une robe mini.","쎄 호 쎄 튄 호브 미니","아: 그게 아니라, 미니 드레스야.","robe=드레스"
"9","L'école des fans","F","F : Non non non. Tu t'es trompé.","농 농 농 튀 떼 트홍페","소녀: 아니 아니 아니요. 틀렸어요.","se tromper=실수하다"
"10","L'école des fans","A","A : Ah, je me suis trompée. C'est quoi ?","아 즈 므 쉬 트홍페 쎄 꾸아","아: 아, 내가 틀렸네. 그게 뭐야?","je me suis trompé(e)=실수했다"
"11","L'école des fans","F","F : C'est c'est marqué rock.","쎄 쎄 마흐케 호크","소녀: 여기에 ‘록’이라고 적혀 있어요.","marqué=적혀 있다"
"12","L'école des fans","A","A : Ouais, mais c'est une mini","우에 메 쎄 튄 미니","아: 그래도 이건 미니…","mais=하지만"
"13","L'école des fans","F","F : Non, c'est pas une mini jupe.","농 쎄 빠 튄 미니 쥡","소녀: 아니요, 미니스커트 아니에요.","jupe=치마"
"14","L'école des fans","A","A : C'est quoi ?","쎄 꾸아","아: 그게 뭐야?",""
"15","L'école des fans","F","F : C'est une robe.","쎄 튄 호브","소녀: 드레스예요.","robe=드레스"
"16","L'école des fans","A","A : Elle est un peu courte.","엘 에 떵 뿌 꾸흐뜨","아: 조금 짧네.","un peu=조금"
"17","L'école des fans","F","F : Oui, mais c'est une ceinture de scène.","위 메 쎄 튄 썽뛰흐 드 쎈","소녀: 네, 하지만 이건 무대용 벨트예요.","ceinture=벨트"
"18","L'école des fans","A","A : Ah, ouais. Qui est-ce qui l'a acheté cette robe ?","아 우에 끼 에스 끼 라 아쉐떼 쎄뜨 호브","아: 아 그래. 이 드레스 누가 사줬어?","qui est-ce qui=강조 의문"
"19","L'école des fans","F","F : C'est ma mère, maman.","쎄 마 메흐 마망","소녀: 엄마요.",""
"20","L'école des fans","A","A : Où elle est ta maman ?","우 엘 에 따 마망","아: 엄마 어디 계셔?","où=어디"
"21","L'école des fans","F","F : Là-bas.","라바","소녀: 저기요.","là-bas=저기"
"22","L'école des fans","A","A : Ah bah, elle a une robe rouge aussi. Oui. Et à côté, qui c'est qui est assis ?","아 바 엘 아 윈 호브 후주 오씨 위 에 아 꼬떼 끼 쎄 끼 에 아씨","아: 아, 저분도 빨간 드레스 입었네. 옆에 앉아 있는 분은 누구야?","assis=앉아 있는"
"23","L'école des fans","F","F : C'est mon père. Mon frère.","쎄 몽 페흐 몽 프헤흐","소녀: 아빠랑 오빠요.",""
"24","L'école des fans","A","A : Alors, attends. Ton père, c'est celui qui a des lunettes ou c'est l'autre ?","알로흐 아땅 똥 페흐 쎄 쓸뤼 끼 아 데 류네뜨 우 쎄 로트흐","아: 잠깐, 아빠는 안경 쓴 분이야, 아니면 다른 분이야?","celui qui=~하는 사람"
"25","L'école des fans","F","F : C'est celui, le noir là.","쎄 쓸뤼 르 누아흐 라","소녀: 저기 검은 옷 입은 분이요.","le noir=검은색 옷 입은 사람"
"26","L'école des fans","A","A : Le noir. Comment il s'appelle le noir ?","르 누아흐 꼬망 일 사펠 르 누아흐","아: 그 검은 옷 입은 분. 이름이 뭐야?","comment il s'appelle=이름 묻기"
"27","L'école des fans","F","F : Il s'appelle Jean-Marie.","일 사펠 장 마히","소녀: 장마리예요.",""
"28","L'école des fans","A","A : Il est gentil, Jean-Marie ?","일 에 장띠 장 마히","아: 장마리 착해?","gentil=착한"
"29","L'école des fans","F","F : Oui.","위","소녀: 네.",""
"30","L'école des fans","A","A : Il gronde jamais ?","일 그홍드 자메","아: 혼내지 않아?","gronder=꾸짖다 / jamais=절대"
"31","L'école des fans","F","F : Des fois si, des fois non.","데 푸아 씨 데 푸아 농","소녀: 가끔은 하고 가끔은 안 해요.","des fois=가끔"
"32","L'école des fans","A","A : Qu'est-ce qu'il dit quand il est en colère ?","께스 끄 일 디 깡 일 에 앙 꼴레흐","아: 화나면 뭐라고 해?","en colère=화난 상태"
"33","L'école des fans","F","F : Il dit, heu.. Cynthia, arrête ou sinon, je vais te donner une claque.","일 디 어 씬티아 아헤뜨 우 씨농 즈 베 트 도네 윈 클락","소녀: ‘신시아, 그만해, 아니면 때릴 거야’라고 말해요.","donner une claque=한 대 때리다"
"34","L'école des fans","A","A : Oh là là. Où il est ce bourreau là ?","오 라 라 우 일 에 쓰 부호 라","아: 아이고, 저 무서운 사람 어디 있어?","bourreau=잔인한 사람(과장 표현)"
"35","L'école des fans","F","F : Là-bas.","라바","소녀: 저기요.",""
"36","L'école des fans","A","A : Tu m'as dit ton âge Cynthia ?","튀 마 디 통 나쥬 씬티아","아: 신시아, 나이 말해줬지?","tu m'as dit=말했지?"
"37","L'école des fans","F","F : 4 ans.","까트흐 앙","소녀: 네 살이에요.",""
"38","L'école des fans","A","A : Oh, tu es plus grande que 4 ans.","오 튀 에 플뤼 그헝드 끄 까트흐 앙","아: 네 살보다 더 커 보이는데.","plus...que=비교"
"39","L'école des fans","A","A : Tu vas à l'école ?","튀 바 알레꼴","아: 학교 다니니?",""
"40","L'école des fans","F","F : Oui.","위","소녀: 네.",""
"41","L'école des fans","A","A : Alors, tu sais écrire au moins quelque chose ? Qu'est-ce que tu sais écrire ?","알로흐 튀 쎄 에크히흐 오 무앵 껠끄 쇼즈 께스 끄 튀 쎄 에크히흐","아: 그럼 적어도 뭐라도 쓸 줄 아니? 뭘 쓸 줄 알아?","au moins=적어도"
"42","L'école des fans","F","F : Comme ça, regarde.","꼼 싸 흐가흐드","소녀: 이렇게요, 보세요.","comme ça=이렇게"
"43","L'école des fans","A","A : Qu'est-ce que ça veut dire ?","께스 끄 싸 뵈 디흐","아: 이게 무슨 뜻이야?","vouloir dire=뜻하다"
"44","L'école des fans","F","F : Ça veut dire que c'est mon nom qui (est) marqué.","싸 뵈 디흐 끄 쎄 몽 놈 끼 마흐케","소녀: 이건 제 이름이 적혀 있다는 뜻이에요.","marqué=적혀 있다"
"45","L'école des fans","A","A : Fais voir comment tu fais ton nom. Tu vas vite pour le faire, hein ?","페 부아흐 꼬망 튀 페 통 놈 튀 바 비뜨 푸흐 르 페흐 앵","아: 네 이름 어떻게 쓰는지 보여줘. 빨리 쓰네, 그렇지?","fais voir=보여줘"
"46","L'école des fans","F","F : Cours vite même.","꾸흐 비뜨 멤","소녀: 정말 빨리 달려요.","même=강조"
"47","L'école des fans","A","A : Ah, tu cours vite ? Fais voir comment tu cours.","아 튀 꾸흐 비뜨 페 부아흐 꼬망 튀 꾸흐","아: 아, 빨리 달리네? 어떻게 달리는지 보여줘.","courir=달리다"
"48","L'école des fans","A","A : [rires]","히흐","(웃음)",""
"49","L'école des fans","A","A : Il y a personne qui la relève là.","일 이아 페흐손 끼 라 흐렐레 라","아: 아무도 안 일으켜 주네.","il y a personne=아무도 없다(구어)"
"50","L'école des fans","A","A : Tu t'es fait mal ? Tu t'es fait mal, Cynthia ?","튀 떼 페 말 튀 떼 페 말 씬티아","아: 다쳤어? 신시아, 괜찮아?","se faire mal=다치다"
"51","L'école des fans","A","A : Non.","농","아: 아니네.",""
"52","L'école des fans","A","A : Allez, on revient.","알레 옹 흐비앙","아: 자, 돌아오자.","allez=전환 표현"
"53","L'école des fans","A","A : On applaudit.","옹 나쁠로디","아: 박수 쳐요.","applaudir=박수치다"
"54","L'école des fans","A","A : Court pas trop vite.","꾸흐 빠 트호 비뜨","아: 너무 빨리 뛰지 마.","ne 생략 구어체"
"55","L'école des fans","A","A : Qu'est-ce qu'il fait papa comme métier ?","께스 끄 일 페 빠빠 꼼 메띠에","아: 아빠는 무슨 일을 하셔?","comme métier=직업으로"
"56","L'école des fans","F","F : Il fait chômeur.","일 페 쇼뫼흐","소녀: 아빠는 실업자예요.","chômeur=실업자"
"57","group","speaker","original","pron","trans","comment"
"58","L'école des fans","A","A : Qu'est-ce que c'est comme métier, chômeur ?","께스 끄 쎄 꼼 메띠에 쇼뫼흐","아: ‘실업자’라는 건 어떤 직업이야?","comme métier=직업으로"
"59","L'école des fans","F","F : Ça fait quand il travaille plus.","싸 페 깡 일 트하바이 플뤼","소녀: 더 이상 일하지 않을 때 그런 거예요.","ne...plus=더 이상 ~않다 (구어)"
"60","L'école des fans","A","A : Oh ben on peut lui souhaiter qu'il trouve du travail hein, papa.","오 벵 옹 뿌 뤼 수웨떼 끼 일 트후브 뒤 트하바이 앵 빠빠","아: 그래도 아빠가 일자리를 찾기를 바랄 수 있겠네요.","souhaiter que=~하기를 바라다"
"61","L'école des fans","A","A : Qu'est-ce qu'il faisait ton papa avant de pas travailler ?","께스 끄 일 페제 통 빠빠 아방 드 빠 트하바이에","아: 아빠는 일을 안 하기 전에는 뭐 하셨어?","imparfait=과거 상태"
"62","L'école des fans","F","F : Il faisait une grosse maison.","일 페제 윈 그호스 메종","소녀: 큰 집을 짓고 있었어요.","faire=하다 (여기서는 건축 의미)"
"63","L'école des fans","A","A : Et ben, écoutez, moi, je vous aiderai à terminer la grosse maison, papa hein.","에 벵 에꾸떼 무아 즈 부 제드헤 아 떼흐미네 라 그호스 메종 빠빠 앵","아: 자, 제가 그 큰 집을 완성하는 데 도와드릴게요.","aider à=~하는 것을 돕다 / futur=의지"
