no,group,speaker,original,pron,trans,comment
1,64,,Vous parlez français.,[vu paʁle fʁɑ̃sɛ / 부 파를레 프랑스],당신(들)은 프랑스어를 합니다.,
2,64,,Vous parlez français?,[vu paʁle fʁɑ̃sɛ / 부 파를레 프랑스],당신(들)은 프랑스어를 합니까?,
3,64,,Est-ce que vous parlez français?,[ɛs kə vu paʁle fʁɑ̃sɛ / 에스크 부 파를레 프랑스],당신(들)은 프랑스어를 합니까?,
4,64,,Parlez-vous français?,[paʁle vu fʁɑ̃sɛ / 파를레 부 프랑스],프랑스어를 하십니까?,
5,64,,Tu habites à Nice.,[ty abit a nis / 튀 아비트 아 니스],너는 니스에 산다.,
6,64,,Tu habites à Nice?,[ty abit a nis / 튀 아비트 아 니스],너는 니스에 사니?,
7,64,,Est-ce que tu habites à Nice?,[ɛs kə ty abit a nis / 에스크 튀 아비트 아 니스],너는 니스에 사니?,
8,64,,Habites-tu à Nice?,[abit ty a nis / 아비트 튀 아 니스],니스에 사니?,
9,64,,Ils aiment le café.,[il z‿ɛm lə kafe / 일 z엠 le 카페],그들은 커피를 좋아한다.,
10,64,,Ils aiment le café?,[il z‿ɛm lə kafe / 일 z엠 le 카페],그들은 커피를 좋아하니?,
11,64,,Est-ce qu'ils aiment le café?,[ɛs kil z‿ɛm lə kafe / 에스 킬 z엠 le 카페],그들은 커피를 좋아하니?,
12,64,,Aiment-ils le café?,[ɛm til lə kafe / 엠 til le 카페],그들은 커피를 좋아하니?,
13,64,,Elle regarde la télé.,[ɛl ʁəgaʁd la tele / 엘 헤가르드 la 텔레],그녀는 TV를 본다.,
14,64,,Elle regarde la télé?,[ɛl ʁəgaʁd la tele / 엘 헤가르드 la 텔레],그녀는 TV를 보니?,
15,64,,Est-ce qu'elle regarde la télé?,[ɛs kɛl ʁəgaʁd la tele / 에스 kel 헤가르드 la 텔레],그녀는 TV를 보니?,
16,64,,Regarde-t-elle la télé?,[ʁəgaʁd tɛl la tele / 헤가르드 tel la 텔레],TV를 보니?,
17,64,,Il y a des nuages dans le ciel.,[il i a de nɥaʒ dɑ̃ lə sjɛl / 일 i a de 뉴age 당 le 시엘],하늘에 구름이 있다.,
18,64,,Il y a des nuages dans le ciel?,[il i a de nɥaʒ dɑ̃ lə sjɛl / 일 i a de 뉴age 당 le 시엘],하늘에 구름이 있니?,
19,64,,Est-ce qu'il y a des nuages dans le ciel?,[ɛs kil i a de nɥaʒ dɑ̃ lə sjɛl / 에스 kil i a de 뉴age 당 le 시엘],하늘에 구름이 있니?,
20,64,,Y a-t-il des nuages dans le ciel?,[ja til de nɥaʒ dɑ̃ lə sjɛl / ya til de 뉴age 당 le 시엘],하늘에 구름이 있니?,
21,64,,Est-ce que tu aimes le vin ?,[ɛs kə ty ɛm lə vɛ̃ / 에스크 튀 엠 le vang],너는 와인을 좋아하니?,
22,64,,"Oui, j'aime le vin.",[wi ʒɛm lə vɛ̃ / wi jem le vang],"응, 나는 와인을 좋아해.",
23,64,,"Non, je n'aime pas le vin.",[nɔ̃ ʒə nɛm pa lə vɛ̃ / nong 즈 nem pa le vang],"아니, 나는 와인을 좋아하지 않아.",
