no,group,speaker,original,pron,trans,comment
1,133,,Tu t'appelles comment ?,[ty tapɛl kɔmɑ̃ / 튀 타펠 코망],이름이 뭐야?,
2,133,,Comment t'appelles-tu ?,[kɔmɑ̃ tapɛl ty / 코망 타펠 튀],이름이 뭐야?,
3,133,,Je m'appelle Jennie.,[ʒə mapɛl dʒeni / 즈 마펠 제니],제 이름은 제니예요.,
4,133,,Vous vous appelez comment ?,[vu vu zapɛle kɔmɑ̃ / 부 부 자펠레 코망],성함이 어떻게 되세요?,
5,133,,Comment vous appelez-vous ?,[kɔmɑ̃ vu zapɛle vu / 코망 부 자펠레 부],성함이 어떻게 되세요?,
6,133,,Je m'appelle Paul Paul Lemaire.,[ʒə mapɛl pol pol ləmɛʁ / 즈 마펠 폴 폴 르메르],제 이름은 폴, 폴 르메르입니다.,
7,133,,Elle s'appelle comment ?,[ɛl sapɛl kɔmɑ̃ / 엘 사펠 코망],그녀 이름이 뭐예요?,
8,133,,Comment s'appelle-t-elle ?,[kɔmɑ̃ sapɛl tɛl / 코망 사펠 텔],그녀 이름이 뭐예요?,
9,133,,Elle s'appelle Louane.,[ɛl sapɛl lwan / 엘 사펠 루안],그녀 이름은 루안입니다.,
10,133,,Je me lave les mains.,[ʒə mə lav le mɛ̃ / 즈 므 라브 레 맹],손을 씻습니다.,
11,133,,Elle se lave les cheveux.,[ɛl sə lav le ʃəvø / 엘 스 라브 레 쉬베],머리를 감습니다.,
12,133,,Les enfants se brossent les dents.,[le zɑ̃fɑ̃ sə bʁɔs le dɑ̃ / 레 잉팡 스 브로스 레 당],아이들은 이를 닦습니다.,
13,133,,Comment tu t'appelles ?,[kɔmɑ̃ ty tapɛl / 코망 튀 타펠],이름이 뭐야?,
14,133,,Je m'appelle Céline.,[ʒə mapɛl selin / 즈 마펠 셀린],제 이름은 셀린입니다.,
15,133,,Comment vous appelez-vous ?,[kɔmɑ̃ vu zapɛle vu / 코망 부 자펠레 부],성함이 어떻게 되세요?,
16,133,,Nous nous appelons Éric et Loïc.,[nu nu zaplɔ̃ eʁik e lɔik / 누 누 자플롱 에릭 에 로익],우리 이름은 에릭과 로익입니다.,
17,133,,Comment s'appellent-ils ?,[kɔmɑ̃ sapɛl til / 코망 사펠 틸],그들 이름이 뭐예요?,
18,133,,Lui il s'appelle Vincent.,[lɥi il sapɛl vɛ̃sɑ̃ / 르이 일 사펠 뱅썽],그는 빈센트입니다.,
19,133,,Elle elle s'appelle Émilie.,[ɛl ɛl sapɛl emili / 엘 엘 사펠 에밀리],그녀는 에밀리입니다.,
20,133,,Comment elle se appelle ?,[kɔmɑ̃ ɛl s‿apɛl / 코망 엘 사펠],그녀 이름이 뭐예요? (틀린 표현),
21,133,,Comment elle s'appelle ?,[kɔmɑ̃ ɛl sapɛl / 코망 엘 사펠],그녀 이름이 뭐예요?,
22,133,,Comment est-ce que ils ses appellent ?,[kɔmɑ̃ ɛs kə il se zapɛl / 코망 에스크 일 세 자펠],그들 이름이 뭐예요? (틀린 표현),
23,133,,Comment est-ce qu'ils s'appellent ?,[kɔmɑ̃ ɛs kil sapɛl / 코망 에스 킬 사펠],그들 이름이 뭐예요?,
24,133,,Il lave souvent ses mains.,[il lav suvɑ̃ se mɛ̃ / 일 라브 수방 세 맹],그는 자주 손을 씻습니다 (타동).,
25,133,,Il se lave souvent les mains.,[il sə lav suvɑ̃ le mɛ̃ / 일 스 라브 수방 레 맹],그는 자주 손을 씻습니다 (재귀).,
26,133,,Je me lave mes cheveux.,[ʒə mə lav me ʃəvø / 즈 므 라브 메 쉬베],머리를 감습니다 (틀린 표현).,
27,133,,Je me lave les cheveux.,[ʒə mə lav le ʃəvø / 즈 므 라브 레 쉬베],머리를 감습니다.,
28,133,,premier(ère),[pʁəmje / 프헤미에],첫 번째,
29,133,,deuxième,[døzjɛm / 되지엠],두 번째,
30,133,,troisième,[tʁwazjɛm / 트와지엠],세 번째,
31,133,,quatrième,[katʁijɛm / 카트리엠],네 번째,
32,133,,cinquième,[sɛ̃kjɛm / 썽키엠],다섯 번째,
33,133,,sixième,[sizjɛm / 시지엠],여섯 번째,
34,133,,septième,[sɛptjɛm / 쎕티엠],일곱 번째,
35,133,,huitième,[ɥitjɛm / 위티엠],여덟 번째,
36,133,,neuvième,[nœvjɛm / 뇌비엠],아홉 번째,
37,133,,dixième,[dizjɛm / 디지엠],열 번째,
38,133,,onzième,[ɔ̃zjɛm / 옹지엠],열한 번째,
39,133,,douzième,[duzjɛm / 두지엠],열두 번째,
40,133,,treizième,[tʁɛzjɛm / 트레지엠],열세 번째,
41,133,,quatorzième,[katɔʁzjɛm / 카토르지엠],열네 번째,
42,133,,quinzième,[kɛ̃zjɛm / 캉지엠],열다섯 번째,
43,133,,seizième,[sɛzjɛm / 세지엠],열여섯 번째,
44,133,,dix-septième,[disɛptjɛm / 디쎕티엠],열일곱 번째,
45,133,,dix-huitième,[dizɥitjɛm / 디즈위티엠],열여덟 번째,
