no,group,speaker,original,pron,trans,comment
1,74,,Vous cherchez qui ?,[vu ʃɛʁʃe ki / vu cherche qui],누구를 찾으세요?,
2,74,,Qui cherchez-vous ?,[ki ʃɛʁʃe vu / qui cherche vu],누구를 찾으세요?,
3,74,,Qui est-ce que vous cherchez ?,[ki ɛs kə vu ʃɛʁʃ / qui es ke vu cherche],누구를 찾으세요?,
4,74,,Je cherche ma femme.,[ʒə ʃɛʁʃ ma fam / 즈 cherche ma femme],아내를 찾습니다.,
5,74,,Tu appelles qui ?,[ty apɛl ki / ty appelle qui],누구에게 전화해?,
6,74,,Qui appelles-tu ?,[ki apɛl ty / qui appelle ty],누구에게 전화해?,
7,74,,Qui est-ce que tu appelles ?,[ki ɛs kə ty apɛl / qui es ke ty appelle],누구에게 전화해?,
8,74,,J'appelle ma mère.,[ʒapɛl ma mɛʁ / japele ma me르],엄마에게 전화해.,
9,74,,C'est qui ?,[sɛ ki / se qui],누구야?,
10,74,,Qui est-ce ?,[ki ɛs / qui es],누구야?,
11,74,,Qui est-ce que c'est ?,[ki ɛs kə sɛ / qui es ke se],누구야?,
12,74,,C'est ma femme.,[sɛ ma fam / se ma femme],내 아내야.,
13,74,,Vous voyagez avec qui ?,[vu vwajaʒe avɛk ki / vu voyage avec qui],누구와 여행하세요?,
14,74,,Avec qui voyagez-vous ?,[avɛk ki vwajaʒe vu / avec qui voyage vu],누구와 여행하세요?,
15,74,,Avec qui est-ce que vous voyagez ?,[avɛk ki ɛs kə vu vwajaʒe / avec qui es ke vu voyage],누구와 여행하세요?,
16,74,,Nous voyageons avec nos parents.,[nu vwajaʒɔ̃ avɛk no paʁɑ̃ / nu voyageon avec no parent],부모님과 여행합니다.,
17,74,,Qui paie / paye le dîner ?,[ki pe lə dine / qui pe le diner],누가 저녁을 내?,
18,74,,Qui est-ce qui paie / paye le dîner ?,[ki ɛs ki pe lə dine / qui es qui pe le diner],누가 저녁을 내?,
19,74,,C'est moi.,[sɛ mwa / se moi],내가.,
20,74,,Paul invite qui ?,[pol ɛ̃vit ki / Paul invite qui],폴은 누구를 초대해?,
21,74,,Qui est-ce que Paul invite ?,[ki ɛs kə pol ɛ̃vit / qui es ke Paul invite],폴은 누구를 초대해?,
22,74,,Qui invite Paul ?,[ki ɛ̃vit pol / qui invite Paul],누가 폴을 초대해?,
23,74,,Qui est-ce qui invite Paul ?,[ki ɛs ki ɛ̃vit pol / qui es qui invite Paul],누가 폴을 초대해?,
24,74,,Qui est-ce ?,[ki ɛs / qui es],누구야?,
25,74,,Qui regardez-vous ?,[ki ʁəgaʁde vu / qui regarde vu],누구를 보세요?,
26,74,,Qui appelles-tu ?,[ki apɛl ty / qui appelle ty],누구에게 전화해?,
27,74,,Avec qui voyagez-vous ?,[avɛk ki vwajaʒe vu / avec qui voyage vu],누구와 여행하세요?,
28,74,,Qui commence ?,[ki kɔmɑ̃s / qui kom앙s],누가 시작해?,
29,74,,Qui achète des fruits ?,[ki aʃɛt de fʁɥi / qui achete de fruit],누가 과일을 사?,
30,74,,Q : Qui invitez-vous ?,[kyɛ ki ɛ̃vite vu / Q: qui invite vu],Q: 누구를 초대하세요?,
31,74,,R : Nous invitons nos voisins.,[ɛʁ nu zɛ̃vitɔ̃ no vwazɛ̃ / R: nu zinviteon no voisin],R: 이웃을 초대합니다.,
32,74,,Q : Qui cherchez-vous ?,[kyɛ ki ʃɛʁʃe vu / Q: qui cherche vu],Q: 누구를 찾으세요?,
33,74,,R : Nous cherchons notre fille.,[ɛʁ nu ʃɛʁʃɔ̃ nɔtʁ fij / R: nu chercheon notre fille],R: 우리 딸을 찾습니다.,
34,74,,Q : À qui parlez-vous ?,[kyɛ a ki paʁle vu / Q: a qui parle vu],Q: 누구에게 말씀하세요?,
35,74,,R : Nous parlons à notre professeur.,[ɛʁ nu paʁlɔ̃ a nɔtʁ pʁɔfɛsœʁ / R: nu parlon a notre professeur],R: 선생님께 말씀드립니다.,
36,74,,Q : Avec qui voyagez-vous ?,[kyɛ avɛk ki vwajaʒe vu / Q: avec qui voyage vu],Q: 누구와 여행하세요?,
37,74,,R : Nous voyageons avec nos parents.,[ɛʁ nu vwajaʒɔ̃ avɛk no paʁɑ̃ / R: nu voyageon avec no parent],R: 부모님과 여행합니다.,
