no,group,speaker,original,pron,trans,comment
1,13,,Est-ce que ce bus va à la Gare du Nord ?,[ɛs kə sə bys va a la gaʁ dy nɔʁ / 에스크 스 뷔스 바 아 라 가르 뒤 노르],이 버스 북역 가나요?,
2,15,,Le train pour Amsterdam part de quelle voie ?,[lə tʁɛ̃ puʁ amstɛʁdam paʁ də kɛl vwa / 르 트랭 뿌흐 암스테르담 파르 드 켈 브와],암스테르담행 기차는 몇 번 레일에서 출발하나요?,
3,15,,"Ici, c'est ma place, je crois.","[isi, sɛ ma plas, ʒə kʁwa / 이씨, 쎄 마 플라스, 즈 크와]",여기 제 자리인 것 같아요.,
4,15,,J'ai besoin d'un petit renseignement.,[ʒe bəzwɛ̃ dœ̃ pəti ʁɑ̃sɛɲmɑ̃ / 제 부즈왱 됑 쁘티 헝스냉망],잠시 문의드릴 게 있어요.,
5,15,,Vous avez des brochures en coréen ?,[vu z‿ave de bʁoʃyʁ ɑ̃ kɔʁeen / 부 자베 드 브로슈흐 앙 코헤엔],한국어 안내 책자 있나요?,
6,15,,Est-ce qu'on peut prendre des photos ?,[ɛs kɔ̃ pø pʁɑ̃dʁ de foto / 에스 콩 쁘 프랑드르 데 포토],사진 찍어도 되나요?,
7,15,,"Est-ce que ça vaut le coup, Strasbourg ?","[ɛs kə sa vo lə ku, stʁasbuʁ / 에스크 싸 보 르 쿠, 스트라스부르]",스트라스부르는 가 볼 만한 곳인가요?,
8,15,,Je me suis perdu(e). Pourriez-vous m'indiquer où je suis ?,[ʒə mə sɥi pɛʁdy. puʁje vu mɛ̃dike u ʒə sɥi / 즈 므 쓔이 페흐뒤. 푸히에 부 망디케 우 즈 쓔이],길을 잃었어요. 여기가 어디인지 알려 주시겠어요?,
9,15,,J'ai perdu mon passeport.,[ʒe pɛʁdy mɔ̃ paspɔʁ / 제 페흐뒤 몽 파스포르],여권을 분실했어요.,
10,15,,On m'a volé mon sac.,[ɔ̃ ma vɔle mɔ̃ sak / 옹 마 볼레 몽 싹],가방을 도난당했어요.,
11,15,,Je suis venu(e) faire une déclaration de vol.,[ʒə sɥi vəny fɛʁ yn deklaʁasjɔ̃ də vɔl / 즈 쓔이 브뉴 페흐 윈 데클라라씨용 드 볼],도난 신고를 하러 왔어요.,
12,15,,Le TGV pour Lyon part de quel quai ?,[lə te ʒe ve puʁ ljɔ̃ paʁ də kɛl kɛ / 르 테 제 브 뿌흐 리옹 파르 드 켈 케],리옹행 TGV는 몇 번 승강장에서 출발하나요?,
13,15,,"Allez regarder le tableau, là-bas.","[ale ʁəgaʁde lə tablo, la ba / 알레 헤가르드 르 따블로, 라 바]",저기 전광판을 보세요.,
14,15,,Vous pouvez me rendre service ?,[vu puve mə ʁɑ̃dʁ sɛʁvis / 부 푸베 므 헝드르 세르비스],부탁 하나 해도 될까요?,
