"no","group","speaker","original","pron","trans"
"1","2","Léa","Jaemin ! Tu as passé un bon week-end ?","자민! 뚜 아 빠쎄 앙 봉 위캉?","자민! 주말 잘 보냈어?"
"2","2","Jaemin","Oui, j’ai passé un bon week-end, merci !","위 쥬 빠쎄 앙 봉 위캉 메르씨!","응, 잘 보냈어. 고마워!"
"3","2","Léa","Qu’est-ce que tu as fait ?","께스끄 뚜 아 페?","뭐 했어?"
"4","2","Jaemin","Samedi, j’ai fait une sortie avec mon club de foot universitaire.","싸므디 쥬 페 뉘느 소흐띠 아벡 몽 끌뤼브 드 푸뜨 위니베흐시떼흐","토요일엔 대학교 축구동아리랑 나갔어."
"5","2","Léa","Ah bon ? Qu’est-ce que vous avez fait ?","아 봉? 께스끄 부 자베 페?","그래? 뭐 했는데?"
"6","2","Jaemin","Nous avons regardé un match de foot au Stade de France. Tu t’intéresses au foot ?","누 자봉 흐갸흐데 앙 마치 드 푸뜨 오 스타드 드 프랑스. 뚜 땅떼헤쓰 오 푸뜨?","프랑스 경기장에서 축구 경기를 봤어. 너 축구에 관심 있어?"
"7","2","Léa","Moi ? Non, je préfère le tennis.","므와? 농 쥬 프레페흐 르 테니스","나? 아니, 나는 테니스를 더 좋아해."
"8","2","Jaemin","Et tu continues encore de faire du judo et de la natation ?","에 뚜 꾼띠뉴 앙꼬흐 드 페흐 뒤 쥬도 에 드 라 나따시옹?","그리고 아직도 유도랑 수영해?"
"9","2","Léa","Oui, je fais toujours du judo, mais j’ai malheureusement dû arrêter la natation. Je n’ai plus beaucoup de temps à cause de mon travail et de mes études à côté.","위 쥬 페 투쥬흐 뒤 쥬도 메 쥬 말뢰허쥬즈망 뒤 아레떼 라 나따시옹. 쥬 네 플뤼 보꾸 드 땅 아 꾸즈 드 몽 뜨라바이 에 드 메 제티뒤드 아 꼬떼","응, 아직 유도는 하지만 아쉽게도 수영은 그만뒀어. 일과 공부 때문에 시간이 많지 않거든."
"10","2","Jaemin","C’est dommage... Moi, j’ai décidé de faire un autre sport. Un ami de la fac m’a conseillé de faire du handball.","쎄 도마쥐... 므와 쥬 데시데 드 페흐 앙 노뜨흐 스뽀흐. 앙 아미 드 라 팍 마 꽁쎄예 드 페흐 뒤 앙드발","아쉽다... 나는 다른 운동을 하기로 했어. 대학 친구가 핸드볼을 추천해줬거든."
"11","2","Léa","C’est bien, ça ! Sinon, après le match, qu’est-ce que vous avez fait ?","쎄 비엥 싸! 씨농 아프레 르 마치 께스끄 부 자베 페?","좋네! 그럼 경기 끝나고 뭐 했어?"
"12","2","Jaemin","Nous avons papoté autour d’un verre de bière, puis nous avons mangé une pizza dans un restaurant italien.","누 자봉 빠포테 오뚜흐 뎅 베흐 드 비에흐 퓌 누 자봉 망제 윈 피자 당 즈 뢰스또랑 이딸리엥","맥주 한잔하며 이야기 나누고, 이탈리아 식당에서 피자를 먹었어."
"13","2","Léa","Et dimanche ?","에 디망쉬?","일요일은?"
"14","2","Jaemin","Dimanche matin, j’ai fait la grasse matinée. L’après-midi, j’ai fait mes devoirs. Et le soir, j’ai été au cinéma avec une amie. Et toi, tu as fait quoi de ton week-end ?","디망쉬 마땅 쥬 페 라 그하스 마띠네. 라프흐미디 쥬 페 메 드부아흐. 에 르 수와흐 쥬 에테 오 시네마 아벡 윤 아미. 에 뚜아 뚜 아 페 꽈 드 통 위캉?","일요일 아침엔 늦잠 자고, 오후엔 숙제했어. 저녁엔 친구랑 영화 봤어. 너는 주말에 뭐 했어?"
"15","2","Léa","Moi, je n’ai rien fait de spécial... Samedi, j’ai travaillé de 8 h à 20 h. Et dimanche, j’ai nettoyé l’appartement toute la journée. Après le nettoyage, j’ai surfé sur Internet. Ah, j’ai aussi téléphoné à mes grands-parents.","므와 쥬 네 리엥 페 드 스페시알... 싸므디 쥬 뜨라바예 드 윗 떼르 아 방떼르. 에 디망쉬 쥬 네또예 라빠흐뜨망 뚜뜨 라 쥬흐네. 아프레 르 네또야쥬 쥬 쎄흐페 쉬흐 인터넷. 아 쥬 오씨 텔레포네 아 메 그헝빠홍.","나는 별다른 건 안 했어... 토요일엔 8시부터 8시까지 일했고, 일요일엔 하루종일 집 청소했어. 청소 후엔 인터넷 하고, 할아버지 할머니께 전화도 드렸어."
"16","2","Jaemin","Tu as eu un week-end chargé, dis donc... Ça n’a pas dû être très reposant...","뛰 아 쥬 앙 위캉 샤흐제 디 동... 싸 나 파 뒤 에뜨흐 트헤 흐뽀장...","바쁜 주말이었네... 별로 쉬지 못했겠다..."
"17","2","Léa","Tout à fait !","뚜 다 페!","정말 그래!"
