no,group,speaker,original,pron,trans,comment
1,54,,un beau jardin,[œ̃ bo ʒaʁdɛ̃ / 엉 보 자르댕],아름다운 정원,
2,54,,une belle fleur,[yn bɛl flœʁ / 인 벨 플œ흐],아름다운 꽃,
3,54,,un bel arbre,[œ̃ bɛl aʁbʁ / 엉 벨 아르브르],아름다운 나무,
4,54,,un beau jardin,[œ̃ bo ʒaʁdɛ̃ / 엉 보 자르댕],아름다운 정원,
5,54,,de beaux jardins,[də bo ʒaʁdɛ̃ / 드 보 자르댕],아름다운 정원들,
6,54,,un bel arbre,[œ̃ bɛl aʁbʁ / 엉 벨 아르브르],아름다운 나무,
7,54,,de beaux arbres,[də bo zaʁbʁ / 드 보 자르브르],아름다운 나무들,
8,54,,une belle fleur,[yn bɛl flœʁ / 인 벨 플œ흐],아름다운 꽃,
9,54,,de belles fleurs,[də bɛl flœʁ / 드 벨 플œ흐],아름다운 꽃들,
10,54,,de beaux jardins,[də bo ʒaʁdɛ̃ / 드 보 자르댕],아름다운 정원들,
11,54,,de beaux arbres,[də bo zaʁbʁ / 드 보 자르브르],아름다운 나무들,
12,54,,de belles fleurs,[də bɛl flœʁ / 드 벨 플œ흐],아름다운 꽃들,
13,54,,un beau jardin [beau],[œ̃ bo ʒaʁdɛ̃ / 엉 보 자르댕],아름다운 정원 [beau],
14,54,,un bel appartement [beau],[œ̃ bɛl napartəmɑ̃ / 엉 벨 나파르트먼],아름다운 아파트 [beau],
15,54,,une nouvelle maison [nouveau],[yn nuvɛl mɛzɔ̃ / 인 누벨 메종],새 집 [nouveau],
16,54,,de nouveaux voisins [nouveau],[də nuvo vwazɛ̃ / 드 누보 브와쟁],새 이웃들 [nouveau],
17,54,,un vieux quartier [vieux],[œ̃ vjø kaʁtje / 엉 비외 카르티에],오래된 동네 [vieux],
18,54,,de vieilles amies [vieux],[də vjɛj zami / 드 비에이 자미],오래된 여자친구들 [vieux],
19,54,,de nouveaux étudiants,[də nuvo zetydjɑ̃ / 드 누보 제튀디앙],새 학생들,
20,54,,un nouvel étudiant,[œ̃ nuvɛl etydjɑ̃ / 엉 누벨 에튀디앙],새 학생 (남),
21,54,,de vieux hommes,[də vjø zɔm / 드 비외 존],늙은 남자들,
22,54,,un vieil homme,[œ̃ vjɛj zɔm / 엉 비에이 존],늙은 남자,
23,54,,de vieilles habitudes,[də vjɛj zabityd / 드 비에이 자비튀드],오래된 습관들,
24,54,,une vieille habitude,[yn vjɛj zabityd / 인 비에이 자비튀드],오래된 습관,
25,54,,de vieux amis,[də vjø zami / 드 비외 자미],오래된 친구들 (남),
26,54,,un vieil ami,[œ̃ vjɛj zami / 엉 비에이 자미],오래된 친구 (남),
27,54,,de vieilles amies,[də vjɛj zami / 드 비에이 자미],오래된 여자친구들,
