no,group,speaker,original,pron,trans,comment
1,1,A,I was happy to begin jogging.,아이 워즈 해피 투 비긴 조깅,나는 조깅을 시작하게 되어 기뻤다,
2,1,A,My baby brother took a bus to come here.,마이 베이비 브라더 툭 어 버스 투 컴 히어,내 남동생은 버스를 타고 여기로 왔다,
3,1,A,I go to bed quietly when I get home late.,아이 고 투 베드 콰이어틀리 웬 아이 겟 홈 레이트,나는 늦게 집에 오면 조용히 잠자리에 든다,
4,1,A,Some people were against the government's smoking ban.,썸 피플 워 어게인스트 더 거번먼츠 스모킹 밴,몇몇 사람들은 정부의 금연 정책에 반대했다,
5,1,A,The teacher was angry with the students who broke the rules.,더 티처 워즈 앵그리 윗 더 스튜던츠 후 브로크 더 룰즈,그 교사는 규칙을 어긴 학생들에게 화가 나 있었다,
6,1,A,I want to quit my job at the bank.,아이 원트 투 퀴트 마이 잡 앳 더 뱅크,나는 은행 일을 그만두고 싶다,working at → my job at
7,1,A,"If I had time, I would attend the banquet.",이프 아이 해드 타임 아이 우드 어텐드 더 뱅큇,시간이 있다면 연회에 참석할 텐데,
8,1,A,The guest speaker quoted a famous book.,더 게스트 스피커 쿼티드 어 페이머스 북,초청 연사는 유명한 책을 인용했다,
9,1,A,"I want to watch a movie, but I don't have time.",아이 원트 투 워치 어 무비 벗 아이 돈 해브 타임,나는 영화를 보고 싶지만 시간이 없다,
10,1,A,My brother asked my father a few questions.,마이 브라더 애스크드 마이 파더 어 퓨 퀘스천즈,내 형은 아버지께 몇 가지 질문을 했다,
11,1,A,The teacher talked about the importance of transportation.,더 티처 톡트 어바웃 디 임포턴스 오브 트랜스포테이션,그 교사는 교통의 중요성에 대해 이야기했다,
12,1,A,I have two types of jeans.,아이 해브 투 타입즈 오브 진즈,나는 두 종류의 청바지가 있다,
13,1,A,A trip across the United States by train takes a long time.,어 트립 어크로스 디 유나이티드 스테이츠 바이 트레인 테익스 어 롱 타임,기차로 미국을 횡단하는 여행은 시간이 오래 걸린다,
14,1,A,She felt bad about the terrible fight with her friend.,쉬 펠트 배드 어바웃 더 테러블 파이트 윗 허 프렌드,그녀는 친구와의 끔찍한 싸움에 대해 마음이 아팠다,
15,1,A,Doctors suggest that we sleep at least seven hours every night.,닥터즈 서제스트 댓 위 슬립 앳 리스트 세븐 아워즈 에브리 나이트,의사들은 매일 밤 최소 7시간은 자라고 권한다,everry → every
16,1,A,I won't quit asking questions.,아이 원트 퀴트 애스킹 퀘스천즈,나는 질문하는 것을 그만두지 않을 것이다,
17,1,A,The woman quotes her English professor.,더 우먼 쿼츠 허 잉글리시 프로페서,그 여성은 자신의 영어 교수의 말을 인용한다,
18,1,A,My quilt is dirty and needs to be dry-cleaned.,마이 퀼트 이즈 더티 앤 니즈 투 비 드라이 클린드,내 이불은 더러워서 드라이클리닝이 필요하다,
19,1,A,A friend is someone who tells you the truth.,어 프렌드 이즈 썸원 후 텔즈 유 더 트루스,친구란 진실을 말해주는 사람이다,
20,1,A,My team won the math competition last week.,마이 팀 원 더 매스 컴피티션 라스트 위크,우리 팀은 지난주 수학 경시대회에서 우승했다,
21,1,A,My keys and wallet were in the bag I lost.,마이 키즈 앤 월릿 워 인 더 백 아이 로스트,내가 잃어버린 가방 안에 열쇠와 지갑이 있었다,
22,1,A,"In order to go camping, you must have the right gear.",인 오더 투 고 캠핑 유 머스트 해브 더 라이트 기어,캠핑을 가려면 적절한 장비가 필요하다,
23,1,A,The trash can was full of litter.,더 트래시 캔 워즈 풀 오브 리터,쓰레기통은 쓰레기로 가득 차 있었다,
24,1,A,My favorite food is hamburgers.,마이 페이버릿 푸드 이즈 햄버거즈,내가 가장 좋아하는 음식은 햄버거다,
25,1,A,I like to read biographies and stories about battles.,아이 라이크 투 리드 바이오그래피즈 앤 스토리즈 어바웃 배틀즈,나는 전기와 전투에 관한 이야기를 읽는 것을 좋아한다,
26,1,A,I like to take walks in the woods.,아이 라이크 투 테이크 워크스 인 더 우즈,나는 숲에서 산책하는 것을 좋아한다,
27,1,A,I think students should be curious.,아이 씽크 스튜던츠 슈드 비 큐리어스,나는 학생들이 호기심을 가져야 한다고 생각한다,
28,1,A,What works best for me is watching someone do something.,왓 워크스 베스트 포 미 이즈 워칭 썸원 두 썸씽,나에게 가장 잘 맞는 방법은 누군가가 하는 것을 지켜보는 것이다,
29,1,A,I jog and play volleyball often to stay in shape.,아이 조그 앤 플레이 발리볼 오픈 투 스테이 인 셰입,나는 몸매 유지를 위해 자주 조깅하고 배구를 한다,
30,1,A,I'm going to graduate school to study engineering.,아임 고잉 투 그래주엇 스쿨 투 스터디 엔지니어링,나는 공학을 공부하기 위해 대학원에 갈 예정이다,
