no,group,speaker,original,pron,trans,comment
1,81,,une tarte + à + le chocolat,[yn taʁt a lə ʃɔkɔla / yn tarte a le chocolat],타르트 + à + le chocolat (문법 분해),
2,81,,une tarte au chocolat,[yn taʁt o ʃɔkɔla / yn tarte au chocolat],초콜릿 타르트 (축약형),
3,81,,une tarte + à + les fraises,[yn taʁt a le fʁɛz / yn tarte a les fraises],타르트 + à + les fraises,
4,81,,une tarte aux fraises,[yn taʁt o fʁɛz / yn tarte aux fraises],딸기 타르트,
5,81,,une tarte + à + la crème,[yn taʁt a la kʁɛm / yn tarte a la crème],타르트 + à + la crème,
6,81,,une tarte à la crème,[yn taʁt a la kʁɛm / yn tarte a la crème],크림 타르트,
7,81,,une tarte + à + l'orange,[yn taʁt a lɔʁɑ̃ʒ / yn tarte a lorange],타르트 + à + l'orange,
8,81,,une tarte à l'orange,[yn taʁt a lɔʁɑ̃ʒ / yn tarte a lorange],오렌지 타르트,
9,81,,J'aime la tarte au chocolat.,[ʒɛm la taʁt o ʃɔkɔla / jem la tarte au chocolat],초콜릿 타르트를 좋아해.,
10,81,,Tu aimes la tarte à la crème.,[ty ɛm la taʁt a la kʁɛm / ty em la tarte a la crème],크림 타르트를 좋아해.,
11,81,,Il aime la tarte à l'orange.,[il ɛm la taʁt a lɔʁɑ̃ʒ / il em la tarte a lorange],오렌지 타르트를 좋아해.,
12,81,,Elle aime la tarte aux fraises.,[ɛl ɛm la taʁt o fʁɛz / el em la tarte aux fraises],딸기 타르트를 좋아해.,
13,81,,la capitale + de + le Sénégal,[la kapital də lə senegal / la capitale de le Sénégal],수도 + de + le Sénégal,
14,81,,la capitale du Sénégal,[la kapital dy senegal / la capitale du Sénégal],세네gal의 수도,
15,81,,la capitale + de + les États-Unis,[la kapital də le zetazyni / la capitale de les États-Unis],수도 + de + les États-Unis,
16,81,,la capitale des États-Unis,[la kapital de zetazyni / la capitale des États-Unis],미국의 수도,
17,81,,la capitale + de + la France,[la kapital də la fʁɑ̃s / la capitale de la France],수도 + de + la France,
18,81,,la capitale de la France,[la kapital də la fʁɑ̃s / la capitale de la France],프랑스의 수도,
19,81,,la capitale + de + l'Italie,[la kapital də litali / la capitale de lItalie],수도 + de + l'Italie,
20,81,,la capitale de l'Italie,[la kapital də litali / la capitale de lItalie],이탈리아의 수도,
21,81,,Dakar est la capitale du Sénégal.,[dakaʁ ɛ la kapital dy senegal / Dakar est la capitale du Sénégal],다카르는 세네gal의 수도입니다.,
22,81,,Paris est la capitale de la France.,[paʁi ɛ la kapital də la fʁɑ̃s / Paris est la capitale de la France],파리는 프랑스의 수도입니다.,
23,81,,Rome est la capitale de l'Italie.,[ʁom ɛ la kapital də litali / Rome est la capitale de lItalie],로마는 이탈리아의 수도입니다.,
24,81,,Washington est la capitale des États-Unis.,[waʃiŋtɔn ɛ la kapital de zetazyni / Washington est la capitale des États-Unis],워싱턴은 미국의 수도입니다.,
25,81,,Un café à le lait, s'il vous plaît.,[œ̃ kafe a lə lɛ sil vu plɛ / un café a le lait],우유 커피 주세요 (축약 전),
26,81,,Un café au lait, s'il vous plaît.,[œ̃ kafe o lɛ sil vu plɛ / un café au lait],카페 오 레 주세요.,
27,81,,Un sandwich à le jambon, s'il vous plaît.,[œ̃ sɑ̃dwɪʃ a lə ʒɑ̃bɔ̃ sil vu plɛ / un sandwich a le jambon],햄 샌드위치 주세요 (축약 전),
28,81,,Un sandwich au jambon, s'il vous plaît.,[œ̃ sɑ̃dwɪʃ o ʒɑ̃bɔ̃ sil vu plɛ / un sandwich au jambon],햄 샌드위치 주세요.,
29,81,,Un sorbet à la orange, s'il vous plaît.,[œ̃ sɔʁbɛ a la ɔʁɑ̃ʒ sil vu plɛ / un sorbet a la orange],오렌지 셔벗 주세요 (축약 전),
30,81,,Un sorbet à l'orange, s'il vous plaît.,[œ̃ sɔʁbɛ a lɔʁɑ̃ʒ sil vu plɛ / un sorbet a lorange],오렌지 셔벗 주세요.,
31,81,,Une tarte à les fraises, s'il vous plaît.,[yn taʁt a le fʁɛz sil vu plɛ / une tarte a les fraises],딸기 타르트 주세요 (축약 전),
32,81,,Une tarte aux fraises, s'il vous plaît.,[yn taʁt o fʁɛz sil vu plɛ / une tarte aux fraises],딸기 타르트 주세요.,
33,81,,Tu as le plan de le métro ?,[ty a lə plɑ̃ də lə metʁo / tu as le plan de le métro],지하철 노선도 있어? (축약 전),
34,81,,Tu as le plan du métro ?,[ty a lə plɑ̃ dy metʁo / tu as le plan du métro],지하철 노선도 있어?,
35,81,,Ce sont les livres de les enfants.,[sə sɔ̃ le livʁ də le zɑ̃fɑ̃ / ce sont les livres de les enfants],아이들의 책들 (축약 전),
36,81,,Ce sont les livres des enfants.,[sə sɔ̃ le livʁ de zɑ̃fɑ̃ / ce sont les livres des enfants],아이들의 책들입니다.,
37,81,,Vous parlez de le art ?,[vu paʁle də lə aʁ / vous parlez de le art],예술에 대해 이야기하세요? (축약 전),
38,81,,Vous parlez de l'art ?,[vu paʁle də laʁ / vous parlez de lart],예술에 대해 이야기하세요?,
39,81,,Nous sommes de les États-Unis.,[nu sɔm də le zetazyni / nous sommes de les États-Unis],미국 출신입니다 (축약 전),
40,81,,Nous sommes des États-Unis.,[nu sɔm de zetazyni / nous sommes des États-Unis],미국 출신입니다.,
41,81,,C'est le livre du professeur.,[sɛ lə livʁ dy pʁɔfɛsœʁ / cest le livre du professeur],선생님의 책입니다.,
42,81,,C'est la chambre des enfants.,[sɛ la ʃɑ̃bʁ de zɑ̃fɑ̃ / cest la chambre des enfants],아이들의 방입니다.,
43,81,,Ils parlent de la musique.,[il paʁl də la myzik / ils parlent de la musique],그들은 음악에 대해 이야기합니다.,
44,81,,On parle de l'histoire de France.,[ɔ̃ paʁl də listwaʁ də fʁɑ̃s / on parle de lhistoire de France],프랑스 역사에 대해 이야기합니다.,
