no,group,speaker,original,pron,trans,comment
1,2,sentence,Marie mange une pomme sur un banc.,[maʁi mɑ̃ʒ yn pɔm syʁ œ̃ bɑ̃ / 마히 멍쥬윈뽐 쑤항벙],마리는 벤치 위에서 사과를 먹는다,[ɑ̃]
2,2,sentence,Bonjour Madame.,[bɔ̃ʒuʁ madam / 봉쥬흐 마담],안녕하세요 부인님,[ʒ]
3,2,word,cette toile,[sɛt twal / 쌔뚜왈르],이 캔버스,[wa]
4,2,word,quelque chose,[kɛlk ʃoz / 깰끄 쇼즈 > 깨끄쇼즈],무언가,[z]
5,2,sentence,Je suis.,[ʒə sɥi / 쥬 쓰위],나는 ~이다,[ɥi] 슈에 바람세게이는 입을 길게
6,2,word,peuple,[pœpl / 뽀어쁠],사람들/국민,[œ]
7,2,sentence,Je t'attends.,[ʒə tatɑ̃ / 쥬따떵],나는 너를 기다린다,[t liaison]
8,2,expression,mal à la tête,[mal a la tɛt / 말라 라때뜨],머리가 아프다,[ɛ]
9,2,expression,bonne année,[bɔn ane / 보나네],새해 복 많이 받으세요,[e]
10,2,expression,cher ami,[ʃɛʁ ami / 쒸애하미],친애하는 친구,[ʁ liaison]
11,2,expression,mes amis,[mez ami / 메자미],내 친구들,[z liaison]
12,2,expression,son petit ami,[sɔ̃ pəti tami / 쏭 쁘띠 따미],남자친구,[t liaison]
13,2,word,partir,[paʁtiʁ / 빠ㅎ 띠흐],떠나다,[ʁ]
14,2,word,petit-enfant,[pəti tɑ̃fɑ̃ / 쁘띠 떵펑],손자/손녀,[t liaison]
15,2,word,Jean,[ʒɑ̃ / 졍],장(이름),[ʒ]
16,2,word,Jean-Pierre,[ʒɑ̃ pjɛʁ / 졍삐얘흐],장피에르,[pj]
17,2,word,Jean-Pierre Dupont,[ʒɑ̃ pjɛʁ dypɔ̃ / 졍삐얘흐 뒤뽕],장피에르 뒤퐁,[ɔ̃]
18,2,sentence,Jean-Pierre vient d'arriver à Pusan.,[ʒɑ̃ pjɛʁ vjɛ̃ daʁive a pyzɑ̃ / 쟝삐얘흐 비양 다히베아뿌쌍],장피에르는 부산에 막 도착했다,[vjɛ̃]
19,2,sentence,Il est sorti.,[il ɛ sɔʁti / 일래 쏘허티],그는 외출했다,[ɛ]
20,2,sentence,Vous sortez avec elle.,[vu sɔʁte avɛk ɛl / 부쏘ㅎ떼 아배깰],당신은 그녀와 함께 나간다,[ɛ]
21,2,sentence,Ils vont au cinéma ?,[il vɔ̃ o sinema / 일 봉또 씨네마],그들은 영화관에 가나요?,[o]
22,2,sentence,Qui êtes-vous ?,[ki ɛt vu / 끼애 뜨부],당신은 누구입니꺄?,[z liaison]
23,2,sentence,Est-ce que vous l'avez acheté ?,[ɛs kə vu lave aʃte / 애스끄부 라베 자슈테],당신은 그것을 샀나요?,[v liaison]
24,2,sentence,Avez-vous mon stylo ?,[ave vu mɔ̃ stilo / 아베부몽 스띨로],제 펜을 가지고 계신가요?,[e]
25,2,sentence,Apportez-moi un café s'il vous plaît.,[apɔʁte mwa œ̃ kafe sil vu plɛ / 아뽀ㅎ떼무아 으앙꺄페 씰부 쁘래],커피 한 잔 가져다 주세요,[ɛ]
26,2,sentence,Qu'il est mignon !,[kil ɛ miɲɔ̃ / 킬래 미뇽],정말 귀엽다!,[miɲɔ̃]
27,2,sentence,C'est magnifique !,[sɛ maɲifik / 쌔마뉘 퓌ㅋ],정말 멋지다!,[ɲ]
