no,group,speaker,original,pron,trans,comment
1,32,,Je suis Louis.,[ʒə sɥi lwi / 즈 쉬 루이],나는 루이예요.,
2,32,,Tu es Lina?,[ty ɛ lina / 튀 에 리나],너 리나니?,
3,32,,Nous sommes Louis et Lina.,[nu sɔm lwi e lina / 누 솜 루이 에 리나],우리는 루이와 리나예요.,
4,32,,Vous êtes Monsieur Martin?,[vu z‿ɛt məsjø maʁtɛ̃ / 부‿제트 머슈 마르탱],마르탱 씨이세요?,
5,32,,Je suis étudiant(e).,[ʒə sɥi etydjɑ̃(t) / 즈 쉬 에튀디앙(트)],나는 학생이에요.,
6,32,,"Vous êtes professeur(e), Madame Martin?","[vu z‿ɛt pʁɔfesœʁ, madam maʁtɛ̃ / 부‿제트 프로페써, 마담 마르탱]","마르탱 부인, 교수이세요?",
7,32,,Louis est artiste. Il est musicien.,[lwi ɛ aʁtist il ɛ myzisjɛ̃ / 루이 에 아르티스트 일 에 뮈지시앙],루이는 예술가예요. 그는 음악가예요.,
8,32,,Lina est artiste. Elle est musicienne.,[lina ɛ aʁtist ɛl ɛ myzisjɛn / 리나 에 아르티스트 엘 에 뮈지시엔],리나는 예술가예요. 그녀는 음악가예요.,
9,32,,Je suis coréen.,[ʒə sɥi kɔʁeɛ̃ / 즈 쉬 코레앙],나는 한국 남성이에요.,
10,32,,Je suis coréenne.,[ʒə sɥi kɔʁeɛn / 즈 쉬 코레엔],나는 한국 여성이에요.,
11,32,,Vous êtes français ?,[vu z‿ɛt fʁɑ̃sɛ / 부‿제트 프랑쎄],프랑스 남성이세요?,
12,32,,Vous êtes française?,[vu z‿ɛt fʁɑ̃sɛz / 부‿제트 프랑쎄즈],프랑스 여성이세요?,
13,32,,Il est japonais.,[il ɛ ʒapɔnɛ / 일 에 자포네],그는 일본 남성이에요.,
14,32,,Elle est japonaise.,[ɛl ɛ ʒapɔnɛz / 엘 에 자포네즈],그녀는 일본 여성이에요.,
15,32,,Il est américain.,[il ɛ ameʁikɛ̃ / 일 에 아메리켕],그는 미국 남성이에요.,
16,32,,Elle est américaine.,[ɛl ɛ ameʁikɛn / 엘 에 아메리켄],그녀는 미국 여성이에요.,
17,32,,Louis est grand. Il est blond.,[lwi ɛ gʁɑ̃ il ɛ blɔ̃ / 루이 에 그랑 일 에 블롱],루이는 키가 크다. 그는 금발이다.,
18,32,,Lina est grande. Elle est blonde.,[lina ɛ gʁɑ̃d ɛl ɛ blɔnd / 리나 에 그랑드 엘 에 블롱드],리나는 키가 크다. 그녀는 금발이다.,
