no,group,speaker,original,pron,trans,comment
1,1,word,Paris,[paʁi / 파히],파리,[s muet]
2,1,sentence,tous les jours,[tu le ʒuʁ / 투 레 주흐],매일,[s muet]
3,1,word,jambon-beurre,[ʒɑ̃bɔ̃ bœʁ / 잠봉 뵈흐],햄버터 샌드위치,[œʁ]
4,1,word,lingerie,[lɛ̃ʒʁi / 랭주히],란제리,[ʒ]
5,1,word,Versailles,[vɛʁsaj / 베흐사이],베르사유,[j]
6,1,sentence,mon ami,[mɔ̃nami / 몽나미],내 친구,[n liaison]
7,1,word,gomme,[ɡɔm / 곰],지우개,[g]
8,1,word,manteau,[mɑ̃to / 망토],코트,[o]
9,1,word,A,[a / 아],알파벳 A,[a]
10,1,word,B,[be / 베],알파벳 B,[e]
11,1,word,C,[se / 세],알파벳 C,[e]
12,1,word,D,[de / 데],알파벳 D,[e]
13,1,word,E,[ə / 으],알파벳 E,[ə]
14,1,word,F,[ɛf / 에프],알파벳 F,[ɛ]
15,1,word,G,[ʒe / 제],알파벳 G,[ʒ]
16,1,word,H,[aʃ / 아슈],알파벳 H,[ʃ]
17,1,word,I,[i / 이],알파벳 I,[i]
18,1,word,J,[ʒi / 지],알파벳 J,[ʒ]
19,1,word,K,[ka / 카],알파벳 K,[k]
20,1,word,L,[ɛl / 엘],알파벳 L,[l]
21,1,word,M,[ɛm / 엠],알파벳 M,[ɛm]
22,1,word,N,[ɛn / 엔],알파벳 N,[ɛn]
23,1,word,O,[o / 오],알파벳 O,[o]
24,1,word,P,[pe / 페],알파벳 P,[e]
25,1,word,Q,[ky / 큐],알파벳 Q,[k]
26,1,word,R,[ɛʁ / 에흐],알파벳 R,[ʁ]
27,1,word,S,[ɛs / 에스],알파벳 S,[s]
28,1,word,T,[te / 테],알파벳 T,[t]
29,1,word,U,[y / 위],알파벳 U,[y]
30,1,word,V,[ve / 베],알파벳 V,[v]
31,1,word,W,[dubləve / 두블브],알파벳 W,[v]
32,1,word,X,[iks / 익스],알파벳 X,[ks]
33,1,word,Y,[iɡʁɛk / 이그헥],알파벳 Y,[ɡʁ]
34,1,word,Z,[zɛd / 제드],알파벳 Z,[z]
35,1,word,six,[sis / 시스],6,[s]
36,1,word,assez,[ase / 아세],충분히,[z]
37,1,word,soixante,[swasɑ̃t / 스와상트],60,[s]
38,1,word,ciel,[sjɛl / 씨엘],하늘,[sj]
39,1,word,ça,[sa / 싸],그것,[s]
40,1,word,science,[sjɑ̃s / 씨앙스],과학,[sj]
41,1,word,nation,[nasjɔ̃ / 나씨옹],국가,[sjɔ̃]
42,1,word,quartz,[kwaʁts / 쿠아흐츠],석영,[ts]
43,1,word,arrivent,[aʁiv / 아히브],도착하다,[v]
44,1,word,doigts,[dwa / 두아],손가락,[wa]
45,1,word,leçon,[ləsɔ̃ / 르송],수업,[s]
46,1,word,été,[ete / 에테],여름,[e]
47,1,word,café,[kafe / 카페],커피,[e]
48,1,word,père,[pɛʁ / 페흐],아버지,[ɛ]
49,1,word,après,[apʁɛ / 아프헤],후에,[ɛ]
50,1,word,fête,[fɛt / 페트],축제,[ɛ]
51,1,word,pâte,[pat / 파트],반죽,[a]
52,1,word,Noël,[nɔɛl / 노엘],크리스마스,[ɔɛ]
53,1,word,mais,[mɛ / 메],하지만,[ɛ]
