no,group,speaker,original,pron,trans,comment
1,6,word,Il,[il / 일],그,[i]
2,6,word,Mais,[mɛ / 메],하지만,[ɛ]
3,6,word,stylo,[stilo / 스틸로],펜,[i]
4,6,word,cuisine,[kɥizin / 퀴진],부엌,[ɥi]
5,6,word,si,[si / 시],만약,[i]
6,6,word,lit,[li / 리],침대,[i]
7,6,word,y,[i / 이],거기에,[i]
8,6,word,vie,[vi / 비],삶,[i]
9,6,word,lire,[liʁ / 리흐],읽다,[i]
10,6,word,bise,[biz / 비즈],볼키스,[i]
11,6,word,rive,[ʁiv / 히브],강변,[i]
12,6,word,livre,[livʁ / 리브흐],책,[i]
13,6,word,ici,[isi / 이시],여기,[i]
14,6,word,demi,[dəmi / 드미],반,[i]
15,6,word,naïf,[naif / 나이프],순진한,[i]
16,6,word,tu,[ty / 튀],너,[y]
17,6,word,sur,[syʁ / 쉬흐],~위에,[y]
18,6,word,rue,[ʁy / 뤼],거리,[y]
19,6,word,nu,[ny / 뉘],벌거벗은,[y]
20,6,word,vue,[vy / 뷔],전망,[y]
21,6,word,du,[dy / 뒤],~의 일부,[y]
22,6,word,mur,[myʁ / 뮈흐],벽,[y]
23,6,word,pur,[pyʁ / 퓌흐],순수한,[y]
24,6,word,conclure,[kɔ̃klyʁ / 콩클뤼흐],결론짓다,[y]
25,6,word,sur,[syʁ / 쉬흐],~위에,[y]
26,6,word,menu,[məny / 므뉘],메뉴,[y]
27,6,word,salut,[saly / 살뤼],안녕,[y]
28,6,word,Camus,[kamy / 카뮈],카뮈,[y]
29,6,word,nature,[natyʁ / 나튀흐],자연,[y]
30,6,word,jour,[ʒuʁ / 주흐],날,[u]
31,6,word,ou,[u / 우],또는,[u]
32,6,word,goût,[ɡu / 구],맛,[u]
33,6,word,bout,[bu / 부],끝,[u]
34,6,word,doux,[du / 두],부드러운,[u]
35,6,word,coût,[ku / 쿠],비용,[u]
36,6,word,août,[ut / 우트],8월,[u]
37,6,word,jour,[ʒuʁ / 주흐],날,[u]
38,6,word,douze,[duz / 두즈],12,[u]
39,6,word,cours,[kuʁ / 쿠흐],수업,[u]
40,6,word,rouge,[ʁuʒ / 후주],빨간색,[u]
41,6,word,bonjour,[bɔ̃ʒuʁ / 봉주흐],안녕하세요,[u]
42,6,word,beaucoup,[boku / 보쿠],많이,[u]
43,6,word,debout,[dəbu / 드부],서 있는,[u]
44,6,word,surtout,[syʁtu / 쉬흐투],특히,[u]
