no,group,speaker,original,pron,trans,comment
1,102,,je bois,[ʒə bwa / 즈 브와],나는 마신다 (boire),
2,102,,nous buvons,[nu byvɔ̃ / 누 뷔봉],우리는 마신다 (boire),
3,102,,tu bois,[ty bwa / 튀 브와],너는 마신다 (boire),
4,102,,vous buvez,[vu byve / 부 뷔베],당신(들)은 마신다 (boire),
5,102,,il/elle/on boit,[il/ɛl/ɔ̃ bwa / 일·엘·옹 브와],그/그녀/우리는 마신다 (boire),
6,102,,ils/elles boivent,[il/ɛl bwav / 일·엘 브완],그들/그녀들은 마신다 (boire),
7,102,,Je bois un café.,[ʒə bwa œ̃ kafe / 즈 브와 엉 카페],커피를 마십니다.,
8,102,,Qu'est-ce que vous buvez ?,[kɛs kə vu byve / 케스크 부 뷔베],무엇을 드시나요?,
9,102,,Ils boivent beaucoup.,[il bwav boku / 일 브완 보쿠],그들은 많이 마십니다.,
10,102,,Elle boit un café.,[ɛl bwa œ̃ kafe / 엘 브와 엉 카페],그녀는 커피를 마십니다.,
11,102,,je prends,[ʒə pʁɑ̃ / 즈 프랑],나는 ~한다/잡는다 (prendre),
12,102,,nous prenons,[nu pʁənɔ̃ / 누 프러논],우리는 ~한다/잡는다 (prendre),
13,102,,tu prends,[ty pʁɑ̃ / 튀 프랑],너는 ~한다/잡는다 (prendre),
14,102,,vous prenez,[vu pʁəne / 부 프러네],당신(들)은 ~한다/잡는다 (prendre),
15,102,,il/elle/on prend,[il/ɛl/ɔ̃ pʁɑ̃ / 일·엘·옹 프랑],그/그녀/우리는 ~한다/잡는다 (prendre),
16,102,,ils/elles prennent,[il/ɛl pʁɛn / 일·엘 프헨],그들/그녀들은 ~한다/잡는다 (prendre),
17,102,,Qu'est-ce que tu prends au marché ?,[kɛs kə ty pʁɑ̃ o maʁʃe / 케스크 튀 프랑 오 마르슈],시장에서 뭘 사?,
18,102,,Nous prenons quoi comme boisson ?,[nu pʁənɔ̃ kwa kɔm bwasɔ̃ / 누 프러논 쿠아 콤 부아송],음료로 뭘 마실까?,
19,102,,Prenez ce médicament après le repas.,[pʁəne sə medikamɑ̃ apʁe lə ʁəpa / 프러네 스 메디카망 아프레 르 헤파],식사 후에 이 약을 드세요.,
20,102,,Pour aller au bureau ils prennent le bus ou le métro ?,[puʁ ale o byʁo il pʁɛn lə bys u lə metʁo / 푸르 알레 오 뷔로 일 프헨 르 뷔스 우 르 메트로],사무실에 가려면 버스를 타나요 지하철을 타나요?,
21,102,,Tu bois quoi un café ou un thé ?,[ty bwa kwa œ̃ kafe u œ̃ te / 튀 브와 쿠아 엉 카페 우 엉 테],뭐 마실래 커피 아니면 차?,
22,102,,Qu'est-ce que vous buvez ?,[kɛs kə vu byve / 케스크 부 뷔베],무엇을 드시나요?,
23,102,,Nous ne buvons pas.,[nu nə byvɔ̃ pa / 누 너 뷔봉 파],우리는 마시지 않습니다.,
24,102,,Ils ne boivent pas beaucoup.,[il nə bwav pa boku / 일 너 브완 파 보쿠],그들은 많이 마시지 않습니다.,
25,102,,On prend une pizza ?,[ɔ̃ pʁɑ̃ yn pizza / 옹 프랑 인 피자],피자 시킬까?,
26,102,,Qu'est-ce que vous prenez comme boisson ?,[kɛs kə vu pʁəne kɔm bwasɔ̃ / 케스크 부 프러네 콤 부아송],음료로 무엇을 드시나요?,
27,102,,Tu prends trois baguettes à la boulangerie.,[ty pʁɑ̃ tʁwa bagɛt a la bulɑ̃ʒʁi / 튀 프랑 트와 바게트 아 라 불랑주리],빵집에서 바게트 세 개 사.,
28,102,,Ils prennent l'avion pour aller à Lyon.,[il pʁɛn lavjɔ̃ puʁ ale a ljɔ̃ / 일 프헨 라비옹 푸르 알레 아 리옹],그들은 리옹에 가려고 비행기를 탑니다.,
29,102,,Tu bois un café ?,[ty bwa œ̃ kafe / 튀 브와 엉 카페],커피 마실래?,
30,102,,Je mange un croissant.,[ʒə mɑ̃ʒ œ̃ kʁwasɑ̃ / 즈 망주 엉 크와썽],크루아상을 먹습니다.,
31,102,,Il boit un thé au petit-déjeuner.,[il bwa œ̃ te o pətid eʒøne / 일 브와 엉 테 오 프티데저네],그는 아침에 차를 마십니다.,
32,102,,Ils mangent un sandwich au déjeuner.,[il mɑ̃ʒ œ̃ sɑ̃dwit o deʒøne / 일 망주 엉 썽드위 오 데저네],그들은 점심에 샌드위치를 먹습니다.,
