no,group,speaker,original,pron,trans,comment
1,112,,Tu fais quel sport ?,[ty fɛ kɛl spɔʁ / 튀 페 켈 스포르],무슨 운동을 해?,
2,112,,Quel sport fais-tu ?,[kɛl spɔʁ fɛ ty / 켈 스포르 페 튀],무슨 운동을 해?,
3,112,,Vous aimez quelle saison ?,[vu zɛme kɛl sɛzɔ̃ / 부 제메 켈 세졍],어떤 계절을 좋아하세요?,
4,112,,Quelle saison aimez-vous ?,[kɛl sɛzɔ̃ ɛme vu / 켈 세졍 에메 부],어떤 계절을 좋아하세요?,
5,112,,Ils mangent quels légumes ?,[il mɑ̃ʒ kɛl leɡym / 일 망주 켈 레귬],그들은 어떤 채소를 먹나요?,
6,112,,Quels légumes mangent-ils ?,[kɛl leɡym mɑ̃ʒ til / 켈 레귬 망주 틸],그들은 어떤 채소를 먹나요?,
7,112,,Elles préfèrent quelles couleurs ?,[ɛl pʁefɛʁ kɛl kulœʁ / 엘 프레페르 켈 쿨뢰르],그녀들은 어떤 색을 선호하나요?,
8,112,,Quelles couleurs préfèrent-elles ?,[kɛl kulœʁ pʁefɛʁ tɛl / 켈 쿨뢰르 프레페르 텔],그녀들은 어떤 색을 선호하나요?,
9,112,,Tu as quel âge ?,[ty a kɛl aʒ / 튀 아 켈 아주],몇 살이야?,
10,112,,Quel âge as-tu ?,[kɛl aʒ a ty / 켈 아주 아 튀],몇 살이야?,
11,112,,J'ai ans. trente et un ans.,[ʒe tʁɑ̃t e œ̃z‿ɑ̃ / 제 트랑트 에 엉잉],31살입니다.,
12,112,,Vous avez quel âge ?,[vu zave kɛl aʒ / 부 자베 켈 아주],몇 살이세요?,
13,112,,Quel âge avez-vous ?,[kɛl aʒ avez vu / 켈 아주 아베 부],몇 살이세요?,
14,112,,J'ai ans. soixante et onze ans.,[ʒe swasɑ̃t e ɔ̃z‿ɑ̃ / 제 스와썽트 에 옹잉],71살입니다.,
15,112,,Quel est ton numéro de téléphone ?,[kɛl ɛ tɔ̃ nymeʁo də telefɔn / 켈 에 통 뉴메로 드 텔레폰],전화번호가 뭐야?,
16,112,,Quelle est ton adresse e-mail ?,[kɛl ɛ tɔ̃ nadʁɛs imɛl / 켈 에 통 나드레스 이메일],이메일 주소가 뭐야?,
17,112,,Quels sont tes jeux préférés ?,[kɛl sɔ̃ te ʒø pʁefeʁe / 켈 솽 테 주 프레페레],좋아하는 게임이 뭐야?,
18,112,,Quelles sont tes boissons préférées ?,[kɛl sɔ̃ te bwasɔ̃ pʁefeʁee / 켈 솽 테 부아송 프레페레],좋아하는 음료가 뭐야?,
19,112,,Tu aimes quels fruits ?,[ty zɛm kɛl fʁɥi / 튀 잼 켈 프뤼],어떤 과일을 좋아해?,
20,112,,Tu veux choisir quel dessert ?,[ty vø ʃwaziʁ kɛl desɛʁ / 튀 뵈 슈아지르 켈 데세르],어떤 디저트를 고를래?,
21,112,,Quelle voiture est-ce que tu veux acheter ?,[kɛl vwatyʁ ɛs kə ty vø aʃte / 켈 브와튀르 에스크 튀 뵈 아슈테],어떤 차를 사고 싶어?,
22,112,,Quelles chansons est-ce qu'elles aiment chanter ?,[kɛl ʃɑ̃sɔ̃ ɛs kɛl zɛm ʃɑ̃te / 켈 썽송 에스 켈 잼 썽테],그녀들은 어떤 노래를 부르는 걸 좋아해?,
23,112,,Quel est son prénom ?,[kɛl ɛ sɔ̃ pʁenɔ̃ / 켈 에 송 프헤논],그의 이름이 뭐예요?,
24,112,,Quelle est sa nationalité ?,[kɛl ɛ sa nasjɔnalite / 켈 에 사 나시오날리테],그녀의 국적이 뭐예요?,
25,112,,Quel est son animal préféré ?,[kɛl ɛ sɔ̃n anima pʁefeʁe / 켈 에 송 아니말 프레페레],그가 좋아하는 동물이 뭐예요?,
26,112,,Quels sont ses loisirs préférés ?,[kɛl sɔ̃ se lwaziʁ pʁefeʁe / 켈 솽 세 루아지르 프레페레],그의 취미가 뭐예요?,
