"no","group","speaker","original","pron","trans","comment"
"1","7.1","Animateur","Animateur : Vous avez pas d'accent ?","부 자베 빠 닥쌍","진행자: 억양 없으신가요?","accent=억양"
"2","7.1","Jodie Foster","Jodie Foster : Ah si, un petit peu.","아 씨 엉 쁘띠 쁘","조디 포스터: 아니요, 조금 있어요.","un petit peu=조금"
"3","7.1","A","Un tout petit.","엉 뚜 쁘띠","A: 아주 조금이네요.","tout=아주"
"4","7.1","J","J : Bah, les gens, ils me disent que j'ai un accent belge.","바 레 장 일 므 디즈 끄 제 엉 악쌍 벨쥬","J: 사람들은 제가 벨기에 억양이 있다고 하더라고요.","les gens=사람들"
"5","7.1","A","Ouais, ça c'est bizarre.","우에 싸 쎄 비자흐","A: 그건 좀 이상하네요.","bizarre=이상한"
"6","7.1","J","J : J'ai demandé à Virginie parce qu'elle est belge. Elle a dit non.","제 드망데 아 비흐지니 빠흐스 끌 엘 에 벨쥬 엘 아 디 농","J: 벨기에 사람인 비르지니에게 물어봤는데 아니라고 했어요.","demander à=~에게 묻다"
"7","7.1","A","Salut, c'est Augustin. Je suis avec Jodie Foster qui présente Vie privée de Rebecca Zlotovski, un film dans lequel elle joue en français, ici à Cannes qui est présenté hors compétition.","살뤼 쎄 오귀스땅 쥬 쒸 아벡 조디 포스터 끼 프헤장뜨 비 프히베 드 헤베카 즐로토브스키 엉 필름 당 르껠 엘 주 앙 프헝세 이씨 아 깐 끼 에 프헤장떼 오흐 꽁페띠씨옹","A: 안녕하세요, 저는 오귀스탱입니다. 조디 포스터와 함께 있는데, 그녀는 레베카 즐로토브스키 감독의 영화 ‘비 프리베’를 소개하고 있습니다. 이 영화는 칸 영화제 비경쟁 부문에 초청되었습니다.","hors compétition=비경쟁"
"8","7.1","J","J : Bonjour Augustin.","봉주흐 오귀스땅","J: 안녕하세요, 오귀스탱.",""
"9","7.1","A","Dans Vie privée de Rebecca Zlotovski, ce qui est frappant, c'est quand même que vous parlez français.","당 비 프히베 드 헤베카 즐로토브스키 쓰 끼 에 프하팡 쎄 껑 멤 끄 부 빠흘레 프헝세","A: 이 영화에서 인상적인 점은 프랑스어로 연기하신다는 점입니다.","frappant=인상적인"
"10","7.1","A","Vous le savez, vous le savez mieux que moi, le bilinguisme, l'une de ses spécificités, c'est qu'on n'est pas la même personne en français ou en anglais.","부 르 사베 부 르 사베 뮤 끄 무아 르 빌링귀즘 륀 드 세 스페씨피씨떼 쎄 꽁 네 빠 라 멤 뻬흐손 앙 프헝세 우 앙 앙글레","A: 아시겠지만, 이중언어 사용의 특징 중 하나는 프랑스어와 영어에서 서로 다른 사람이 된다는 점입니다.","bilinguisme=이중언어"
