no,group,speaker,original,pron,trans,comment
1,g1,narrator,I was at the cafeteria with my friends.,아이 워즈 앳 더 캐퍼테리아 위드 마이 프렌즈,나는 친구들과 함께 구내식당에 있었다,
2,g1,narrator,She looks happy.,쉬 룩스 해피,그녀는 행복해 보인다,
3,g1,narrator,My friend mentioned the exhibit.,마이 프렌드 멘션드 디 이그지빗,내 친구가 그 전시회에 대해 언급했다,
4,g1,narrator,He became the editor of the university newspaper.,히 비케임 디 에디터 오브 더 유니버시티 뉴스페이퍼,그는 대학 신문의 편집장이 되었다,
5,g1,narrator,I respect my math teacher.,아이 리스펙트 마이 매스 티처,나는 수학 선생님을 존경한다,
6,g1,narrator,His ability to speak English has improved greatly.,히즈 어빌리티 투 스피크 잉글리시 해즈 임프루브드 그레잇리,그의 영어 말하기 능력은 크게 향상되었다,spelling
7,g1,narrator,I gave my mother flowers.,아이 게이브 마이 마더 플라워즈,나는 어머니께 꽃을 드렸다,
8,g1,narrator,I stayed at home.,아이 스테이드 앳 홈,나는 집에 머물렀다,
9,g1,narrator,The food smells bad.,더 푸드 스멜즈 배드,그 음식은 냄새가 안 좋다,
10,g1,narrator,I discussed a new topic.,아이 디스커스트 어 뉴 토픽,나는 새로운 주제에 대해 논의했다,
11,g1,narrator,My friend gave me the chocolate.,마이 프렌드 게이브 미 더 초콜릿,내 친구가 나에게 초콜릿을 주었다,
12,g1,narrator,I consider it a good idea.,아이 컨시더 잇 어 굿 아이디어,나는 그것을 좋은 생각이라고 여긴다,
13,g1,narrator,He taught me Chinese.,히 토트 미 차이니즈,그는 나에게 중국어를 가르쳐 주었다,
14,g1,narrator,The movie made the audience happy.,더 무비 메이드 디 오디언스 해피,그 영화는 관객들을 행복하게 만들었다,
15,g1,narrator,The cafe is on the third floor of the building.,더 카페 이즈 온 더 써드 플로어 오브 더 빌딩,그 카페는 건물 3층에 있다,
16,g1,narrator,The student seemed disappointed with her grades.,더 스튜던트 심드 디스어포인티드 위드 허 그레이즈,그 학생은 자신의 성적에 실망한 것처럼 보였다,
17,g1,narrator,My sister will improve her computer skills this summer.,마이 시스터 윌 임프루브 허 컴퓨터 스킬즈 디스 서머,내 여동생은 이번 여름에 컴퓨터 실력을 향상시킬 것이다,
18,g1,narrator,I taught an elementary student math.,아이 토트 언 엘러멘터리 스튜던트 매스,나는 초등학생에게 수학을 가르쳤다,spelling
19,g1,narrator,I always called him captain.,아이 올웨이즈 콜드 힘 캡틴,나는 항상 그를 주장이라고 불렀다,spelling
20,g1,narrator,I showed my friends a photo of my pet.,아이 쇼드 마이 프렌즈 어 포토 오브 마이 펫,나는 친구들에게 내 반려동물 사진을 보여주었다,
21,g1,narrator,I asked my parents for advice about my decision.,아이 애스크드 마이 페어런츠 포 어드바이스 어바웃 마이 디시전,나는 내 결정에 대해 부모님께 조언을 구했다,
22,g1,narrator,She is a good listener and a fun person.,쉬 이즈 어 굿 리스너 앤드 어 펀 퍼슨,그녀는 말을 잘 들어주고 재미있는 사람이다,
23,g1,narrator,I take the subway because it is fast.,아이 테이크 더 서브웨이 비커즈 잇 이즈 패스트,나는 빠르기 때문에 지하철을 탄다,
24,g1,narrator,I attend fund-raising events for orphanages.,아이 어텐드 펀드 레이징 이벤트즈 포 오펀리지즈,나는 고아원을 위한 모금 행사에 참석한다,
25,g1,narrator,I think writing reports is the hardest part.,아이 띵크 라이팅 리포츠 이즈 더 하디스트 파트,나는 보고서 작성이 가장 어렵다고 생각한다,
26,g1,narrator,Modern apartments are better because they are more secure.,모던 어파트먼츠 아 베터 비커즈 데이 아 모어 시큐어,현대식 아파트는 더 안전해서 더 낫다,
27,g1,narrator,She plays tennis every morning.,쉬 플레이즈 테니스 에브리 모닝,그녀는 매일 아침 테니스를 친다,
