no,group,speaker,original,pron,trans,comment
1,15,word,cédille,[sedij / 세디유],ç,[s]
2,15,word,accent aigu,[aksɑ̃ eɡy / 악상 에귀],é,[e]
3,15,word,accent grave,[aksɑ̃ ɡʁav / 악상 그하브],è,[ɛ]
4,15,word,accent circonflexe,[aksɑ̃ siʁkɔ̃flɛks / 악상 시흐콩플렉스],â ê î ô û,[ɛ] 모음 길이/강조
5,15,word,tréma,[tʁema / 트헤마],ë ï ü,앞 모음과 분리
6,15,word,aimer,[eme / 에메],좋아하다,[e]
7,15,word,faire,[fɛʁ / 페흐],하다,[ɛ]
8,15,word,quai,[ke / 케],부두,[e]
9,15,word,maître,[mɛtʁ / 메트흐],주인/선생,[ɛ]
10,15,word,naître,[nɛtʁ / 네트흐],태어나다,[ɛ]
11,15,word,neige,[nɛʒ / 네쥬],눈,[ɛ]
12,15,word,Paul,[pɔl / 폴],이름,[o]
13,15,word,aubergine,[obɛʁʒin / 오베흐진],가지,[o]
14,15,word,aussi,[osi / 오씨],또한,[o]
15,15,word,automne,[otɔn / 오톤],가을,[o]
16,15,word,aujourd'hui,[oʒuʁdɥi / 오주흐뒤],오늘,[o]
17,15,word,eau,[o / 오],물,[o]
18,15,word,gâteau,[gato / 가토],케이크,[o]
19,15,word,faute,[fot / 포트],잘못,[o]
20,15,word,beauté,[bote / 보테],아름다움,[o]
21,15,word,bateau,[bato / 바토],배,[o]
22,15,word,château,[ʃato / 샤토],성,[o]
23,15,word,peu,[pø / 푀],적은,[ø]
24,15,word,feu,[fø / 푀],불,[ø]
25,15,word,bleu,[blø / 블뢰],파란색,[ø]
26,15,word,heureux,[øʁø / 외흐외],행복한,[ø]
27,15,word,neuf,[nœf / 뇌프],아홉,[œ]
28,15,word,œuf,[œf / 외프],계란,[œ]
29,15,word,bœuf,[bœf / 뵈프],소고기,[œ]
30,15,word,vœu,[vø / 뵈],소원,[ø]
31,15,word,amoureux,[amuʁø / 아무흐뢰],사랑에 빠진,[ø]
32,15,word,ou,[u / 우],또는,[u]
33,15,word,cou,[ku / 쿠],목,[u]
34,15,word,mou,[mu / 무],부드러운,[u]
35,15,word,coux,[ku / 쿠],양배추(복수),[u]
36,15,word,couche,[kuʃ / 쿠슈],층/눕다,[u]
37,15,word,mouche,[muʃ / 무슈],파리,[u]
38,15,word,coucher,[kuʃe / 쿠셰],눕히다/잠자리에 들다,[u]
39,15,word,moi,[mwa / 므와],나,[wa]
40,15,word,toi,[twa / 트와],너,[wa]
41,15,word,quoi,[kwa / 콰],무엇,[wa]
42,15,word,roi,[ʁwa / 후아],왕,[wa]
43,15,word,loi,[lwa / 르와],법,[wa]
44,15,word,bois,[bwa / 브와],나무,[wa]
45,15,word,soir,[swaʁ / 스와흐],저녁,[wa]
46,15,word,voir,[vwaʁ / 부아흐],보다,[wa]
47,15,word,revoir,[ʁəvwaʁ / 흐부아흐],다시 보다,[wa]
48,15,word,tante,[tɑ̃t / 탕트],이모/고모,[ɑ̃]
49,15,word,distance,[distɑ̃s / 디스탕스],거리,[ɑ̃]
50,15,word,danse,[dɑ̃s / 당스],춤,[ɑ̃]
51,15,word,jambe,[ʒɑ̃b / 잠브],다리,[ɑ̃]
