no,group,speaker,original,pron,trans,comment
1,83,,Tu vas où ?,[ty va u / tu vas où],어디 가?,
2,83,,Où vas-tu ?,[u va ty / où vas-tu],어디 가?,
3,83,,Où est-ce que tu vas ?,[u ɛs kə ty va / où est-ce que tu vas],어디 가?,
4,83,,Où vas-tu ?,[u va ty / où vas-tu],어디 가?,
5,83,,Je vais au cinéma.,[ʒə vɛ o sinema / je vais au cinéma],영화관에 가.,
6,83,,Je vais à la gare.,[ʒə vɛ a la gaʁ / je vais a la gare],기차역에 가.,
7,83,,Je vais à l'aéroport.,[ʒə vɛ a laeʁopɔʁ / je vais a laéroport],공항에 가.,
8,83,,Je vais aux Champs-Élysées.,[ʒə vɛ o ʃɑ̃z‿elize / je vais aux Champs-Élysées],샹젤리제에 가.,
9,83,,Vous venez d'où ?,[vu vəne du / vous venez doù],어디에서 오세요?,
10,83,,D'où venez-vous ?,[du vəne vu / doù venez-vous],어디에서 오세요?,
11,83,,D'où est-ce que vous venez ?,[du ɛs kə vu vəne / doù est-ce que vous venez],어디에서 오세요?,
12,83,,D'où venez-vous ?,[du vəne vu / doù venez-vous],어디에서 오세요?,
13,83,,Nous venons du cinéma.,[nu vənɔ̃ dy sinema / nous venons du cinéma],영화관에서 왔어요.,
14,83,,Nous venons de la gare.,[nu vənɔ̃ də la gaʁ / nous venons de la gare],기차역에서 왔어요.,
15,83,,Nous venons de l'aéroport.,[nu vənɔ̃ də laeʁopɔʁ / nous venons de laéroport],공항에서 왔어요.,
16,83,,Nous venons des Champs-Élysées.,[nu vənɔ̃ de ʃɑ̃z‿elize / nous venons des Champs-Élysées],샹젤리제에서 왔어요.,
17,83,,Q : Tu vas où ?,[kyɛ ty va u / Q: tu vas où],Q: 어디 가?,
18,83,,R : Je vais au cinéma.,[ɛʁ ʒə vɛ o sinema / R: je vais au cinéma],R: 영화관에 가.,
19,83,,Q : Tu viens d'où ?,[kyɛ ty vjɛ̃ du / Q: tu viens doù],Q: 어디에서 왔어?,
20,83,,R : Je viens de la bibliothèque.,[ɛʁ ʒə vjɛ̃ də la biblijotɛk / R: je viens de la bibliothèque],R: 도서관에서 왔어.,
21,83,,Q : On va où ?,[kyɛ ɔ̃ va u / Q: on va où],Q: 우리 어디 가?,
22,83,,R : On va à Paris.,[ɛʁ ɔ̃ va a paʁi / R: on va a Paris],R: 파리에 가.,
23,83,,Q : Où allez-vous ?,[kyɛ u ale vu / Q: où allez-vous],Q: 어디 가세요?,
24,83,,R : Nous allons en France.,[ɛʁ nu zalɔ̃ ɑ̃ fʁɑ̃s / R: nous allons en France],R: 프랑스에 갑니다.,
25,83,,Q : D'où est-ce que vous venez ?,[kyɛ du ɛs kə vu vəne / Q: doù est-ce que vous venez],Q: 어디에서 오셨어요?,
26,83,,R : Nous venons de Paris. Nous sommes parisiens.,[ɛʁ nu vənɔ̃ də paʁi. nu sɔm paʁizjɛ̃ / R: nous venons de Paris. nous sommes parisiens],R: 파리에서 왔어요. 파리 사람입니다.,
27,83,,Q : D'où est-ce qu'ils viennent ?,[kyɛ du ɛs kil vjɛn / Q: doù est-ce quils viennent],Q: 그들 어디서 왔어?,
28,83,,R : Ils viennent des États-Unis. Ils sont américains.,[ɛʁ il vjɛn de zetazyni. il sɔ̃ zameʁikɛ̃ / R: ils viennent des États-Unis. ils sont américains],R: 미국에서 왔어. 미국인이야.,
29,83,,Q : Où vas-tu ?,[kyɛ u va ty / Q: où vas-tu],Q: 어디 가? [cinéma],
30,83,,R : Je vais au cinéma. [cinéma],[ɛʁ ʒə vɛ o sinema / R: je vais au cinéma],R: 영화관에 가. [cinéma],
31,83,,Q : Où allez-vous ?,[kyɛ u ale vu / Q: où allez-vous],Q: 어디 가세요? [bibliothèque],
32,83,,R : Je vais à la bibliothèque. [bibliothèque],[ɛʁ ʒə vɛ a la biblijotɛk / R: je vais a la bibliothèque],R: 도서관에 갑니다. [bibliothèque],
33,83,,Nous allons à la bibliothèque.,[nu zalɔ̃ a la biblijotɛk / nous allons a la bibliothèque],도서관에 갑니다.,
34,83,,Q : Où va-t-il ?,[kyɛ u va til / Q: où va-t-il],Q: 그는 어디 가? [France],
35,83,,R : Il va en France. [France],[ɛʁ il va ɑ̃ fʁɑ̃s / R: il va en France],R: 프랑스에 갑니다. [France],
36,83,,Q : Où vont-ils ?,[kyɛ u vɔ̃ til / Q: où vont-ils],Q: 그들 어디 가? [Paris],
37,83,,R : Ils vont à Paris. [Paris],[ɛʁ il vɔ̃ a paʁi / R: ils vont a Paris],R: 파리에 갑니다. [Paris],
38,83,,Q : D'où est-ce que vous venez ?,[kyɛ du ɛs kə vu vəne / Q: doù est-ce que vous venez],Q: 어디서 오셨어요? [aéroport],
39,83,,R : Je viens de l'aéroport. [aéroport],[ɛʁ ʒə vjɛ̃ də laeʁopɔʁ / R: je viens de laéroport],R: 공항에서 왔어. [aéroport],
40,83,,Nous venons de l'aéroport.,[nu vənɔ̃ də laeʁopɔʁ / nous venons de laéroport],공항에서 왔습니다.,
41,83,,Q : D'où viennent-ils ?,[kyɛ du vjɛn til / Q: doù viennent-ils],Q: 그들 어디서 왔어? [États-Unis],
42,83,,R : Ils viennent des États-Unis. [États-Unis],[ɛʁ il vjɛn de zetazyni / R: ils viennent des États-Unis],R: 미국에서 왔어. [États-Unis],
