no,group,speaker,original,pron,trans,comment
1,114,,J'ai un chat.,[ʒe œ̃ ʃa / 제 엉 샤],고양이가 있습니다.,
2,114,,Je n'ai pas de chat.,[ʒə n‿e pa də ʃa / 즈 네 파 드 샤],고양이가 없습니다.,
3,114,,Tu fais une pizza.,[ty fɛ yn pizza / 튀 페 인 피자],피자를 만들어.,
4,114,,Tu ne fais pas de pizza.,[ty nə fɛ pa də pizza / 튀 너 페 파 드 피자],피자를 만들지 않아.,
5,114,,Il achète des baguettes.,[il aʃt de bagɛt / 일 아슈트 데 바게트],그는 바게트를 삽니다.,
6,114,,Il n'achète pas de baguettes.,[il naʃt pa də bagɛt / 일 나슈트 파 드 바게트],그는 바게트를 사지 않습니다.,
7,114,,Tu veux du pain ?,[ty vø dy pɛ̃ / 튀 뵈 뒤 팽],빵 먹을래?,
8,114,,Tu ne veux pas de pain ?,[ty nə vø pa də pɛ̃ / 튀 너 뵈 파 드 팽],빵 안 먹을래?,
9,114,,Vous prenez de l'eau ?,[vu pʁəne də lo / 부 프러네 드 로],물 드시나요?,
10,114,,Vous ne prenez pas d'eau ?,[vu nə pʁəne pa do / 부 너 프러네 파 도],물 안 드시나요?,
11,114,,Elle fait du piano.,[ɛl fɛ dy pjano / 엘 페 뒤 피아노],그녀는 피아노를 칩니다.,
12,114,,Elle ne fait pas de piano.,[ɛl nə fɛ pa də pjano / 엘 너 페 파 드 피아노],그녀는 피아노를 치지 않습니다.,
13,114,,Ils font du football.,[il fɔ̃ dy futbɔl / 일 평 뒤 풋볼],그들은 축구를 합니다.,
14,114,,Ils ne font pas de football.,[il nə fɔ̃ pa də futbɔl / 일 너 평 파 드 풋볼],그들은 축구를 하지 않습니다.,
15,114,,Il y a un sac sur la table.,[il ja œ̃ sak syʁ la tabl / 일리아 엉 싹 쉬르 라 타블],테이블 위에 가방이 있습니다.,
16,114,,Il n'y a pas de sac sur la table.,[il nja pa də sak syʁ la tabl / 일니아 파 드 싹 쉬르 라 타블],테이블 위에 가방이 없습니다.,
17,114,,Il y a des enfants dans le jardin.,[il ja de zɑ̃fɑ̃ dɑ̃ lə ʒaʁdɛ̃ / 일리아 데 잉팡 당 르 자르댕],정원에 아이들이 있습니다.,
18,114,,Il n'y a pas d'enfants dans le jardin.,[il nja pa dɑ̃fɑ̃ dɑ̃ lə ʒaʁdɛ̃ / 일니아 파 댕팡 당 르 자르댕],정원에 아이들이 없습니다.,
19,114,,Il y a du vent aujourd'hui.,[il ja dy vɑ̃ oʒuʁdɥi / 일리아 뒤 방 오주르뒤],오늘 바람이 붑니다.,
20,114,,Il n'y a pas de vent aujourd'hui.,[il nja pa də vɑ̃ oʒuʁdɥi / 일니아 파 드 방 오주르뒤],오늘 바람이 없습니다.,
21,114,,Il y a de l'argent dans ton sac ?,[il ja də laʁʒɑ̃ dɑ̃ tɔ̃ sak / 일리아 드 라르장 당 통 싹],가방에 돈이 있어?,
22,114,,Il n'y a pas d'argent dans ton sac ?,[il nja pa daʁʒɑ̃ dɑ̃ tɔ̃ sak / 일니아 파 다르장 당 통 싹],가방에 돈이 없어?,
23,114,,J'aime le chocolat,[ʒɛm lə ʃɔkɔla / 잼 르 쇼코라],초콜릿을 좋아합니다.,
24,114,,Je n'aime pas le chocolat.,[ʒə nɛm pa lə ʃɔkɔla / 즈 넴 파 르 쇼코라],초콜릿을 좋아하지 않습니다.,
25,114,,Tu prends ton déjeuner ?,[ty pʁɑ̃ tɔ̃ deʒøne / 튀 프랑 통 데저네],점심 먹어?,
26,114,,Tu ne prends pas ton déjeuner ?,[ty nə pʁɑ̃ pa tɔ̃ deʒøne / 튀 너 프랑 파 통 데저네],점심 안 먹어?,
27,114,,Elle veut cette jupe.,[ɛl vœ sɛt ʒyp / 엘 뵈 쎄 쥅],그녀는 이 치마를 원합니다.,
28,114,,Elle ne veut pas cette jupe.,[ɛl nə vœ pa sɛt ʒyp / 엘 너 뵈 파 쎄 쥅],그녀는 이 치마를 원하지 않습니다.,
29,114,,C'est un restaurant ?,[sɛt œ̃ ʁɛstoʁɑ̃ / 쎃 엉 헤스토랑],레스토랑이에요?,
30,114,,Non ce n'est pas un restaurant.,[nɔ̃ sə n‿ɛ pa œ̃ ʁɛstoʁɑ̃ / 논 스 네 파 엉 헤스토랑],아니요 레스토랑이 아닙니다.,
31,114,,C'est un café.,[sɛt œ̃ kafe / 쎃 엉 카페],카페입니다.,
32,114,,Vous avez des enfants ?,[vu zave de zɑ̃fɑ̃ / 부 자베 데 잉팡],자녀가 있으세요?,
33,114,,Vous n'avez pas d'enfants ?,[vu nave pa dɑ̃fɑ̃ / 부 나베 파 댕팡],자녀가 없으세요?,
34,114,,Tu veux du vin ?,[ty vø dy vɛ̃ / 튀 뵈 뒤 뱅],와인 마실래?,
35,114,,Tu ne veux pas de vin ?,[ty nə vø pa də vɛ̃ / 튀 너 뵈 파 드 뱅],와인 안 마실래?,
36,114,,Le dimanche ils font du football.,[lə dimɑ̃ʃ il fɔ̃ dy futbɔl / 르 디망슈 일 평 뒤 풋볼],일요일에 그들은 축구를 합니다.,
37,114,,Le dimanche ils ne font pas de football.,[lə dimɑ̃ʃ il nə fɔ̃ pa də futbɔl / 르 디망슈 일 너 평 파 드 풋볼],일요일에 그들은 축구를 하지 않습니다.,
38,114,,Il y a des nuages dans le ciel.,[il ja de nɥaʒ dɑ̃ lə sjɛl / 일리아 데 뉘아주 당 르 시엘],하늘에 구름이 있습니다.,
39,114,,Il n'y a pas de nuages dans le ciel.,[il nja pa də nɥaʒ dɑ̃ lə sjɛl / 일니아 파 드 뉘아주 당 르 시엘],하늘에 구름이 없습니다.,
40,114,,Je veux manger une crêpe.,[ʒə vø mɑ̃ʒe yn kʁɛp / 즈 뵈 망제 인 크렙],크레페를 먹고 싶어요.,
41,114,,Je ne veux pas manger de crêpe.,[ʒə nə vø pa mɑ̃ʒe də kʁɛp / 즈 너 뵈 파 망제 드 크렙],크레페를 먹고 싶지 않아요.,
42,114,,Nous faisons la cuisine.,[nu fəzɔ̃ la kɥizin / 누 페종 라 퀴진],우리는 요리를 합니다.,
43,114,,Nous ne faisons pas la cuisine.,[nu nə fəzɔ̃ pa la kɥizin / 누 너 페종 파 라 퀴진],우리는 요리를 하지 않습니다.,
44,114,,Ce sont des carottes.,[sə sɔ̃ de kaʁɔt / 스 솽 데 카로트],당근입니다.,
45,114,,Ce ne sont pas des carottes.,[sə nə sɔ̃ pa de kaʁɔt / 스 너 솽 파 데 카로트],당근이 아닙니다.,
46,114,,Dans le panier il y a des fruits.,[dɑ̃ lə panje il ja de fʁɥi / 당 르 파니에 일리아 데 프뤼],바구니에 과일이 있습니다.,
47,114,,Dans le panier il n'y a pas de fruits.,[dɑ̃ lə panje il nja pa də fʁɥi / 당 르 파니에 일니아 파 드 프뤼],바구니에 과일이 없습니다.,
