no,group,speaker,original,pron,trans,comment
1,1,word,Paris,[paʁi / 빠히],파리,[s muet]
2,1,sentence,tous les jours,[tu le ʒuʁ / 뚤레쥬흐],매일,[s muet]
3,1,word,jambon beurre,[ʒɑ̃bɔ̃ bœʁ / 졍봉 뵈흐],햄버터 샌드위치,[œʁ]
4,1,word,lingerie,[lɛ̃ʒʁi / 랑쥬히],란제리,[ʒ]
5,1,word,Versailles,[vɛʁsaj / 베흐싸이],베르사유,[j]
6,1,sentence,mon ami,[mɔ̃nami / 모나미],내 친구,[n liaison]
7,1,word,gomme,[ɡɔm / 곰ㅁ],지우개,[g]
8,1,word,manteau,[mɑ̃to / 멍또],코트,[o]
9,1,word,A,[a / 아],알파벳 A,
10,1,word,B,[be / 베],알파벳 B,
11,1,word,C,[se / 쎄],알파벳 C,
12,1,word,D,[de / 데],알파벳 D,
13,1,word,E,[ə / 으],알파벳 E,입모양은 둥글게
14,1,word,F,[ɛf / 에프],알파벳 F,
15,1,word,G,[ʒe / 줴],알파벳 G,
16,1,word,H,[aʃ / 아쉬],알파벳 H,
17,1,word,I,[i / 이],알파벳 I,[i]
18,1,word,J,[ʒi / 쥐],알파벳 J,[ʒ]
19,1,word,K,[ka / 꺄],알파벳 K,[k]
20,1,word,L,[ɛl / 엘],알파벳 L,[l]가볍게 엘
21,1,word,M,[ɛm / 엠],알파벳 M,[ɛm]
22,1,word,N,[ɛn / 엔],알파벳 N,[ɛn]
23,1,word,O,[o / 오],알파벳 O,[o]
24,1,word,P,[pe / 뻬],알파벳 P,[e]
25,1,word,Q,[ky / 뀌],알파벳 Q,[k]
26,1,word,R,[ɛʁ / 에흐],알파벳 R,[ʁ]
27,1,word,S,[ɛs / 에스],알파벳 S,[s]
28,1,word,T,[te / 떼],알파벳 T,[t]
29,1,word,U,[y / 위],알파벳 U,[y]
30,1,word,V,[ve / 베],알파벳 V,[v]
31,1,word,W,[dubləve / 두블르베],알파벳 W,[v]
32,1,word,X,[iks / 익쓰],알파벳 X,[ks]
33,1,word,Y,[iɡʁɛk / 이그헥],알파벳 Y,[ɡʁ]
34,1,word,Z,[zɛd / 제드],알파벳 Z,[z]
35,1,word,six,[sis / 씨쓰],6,[s]
36,1,word,assez,[ase / 아쎄],충분히,[z]
37,1,word,soixante,[swasɑ̃t / 쑤와쌍뜨],60,[s]
38,1,word,ciel,[sjɛl / 씨얠르],하늘,[sj]
39,1,word,ça,[sa / 싸],그것,쎄디으: 철자c 아래 붙이는 작은 s \n [k]를 [s]로 발음
40,1,word,science,[sjɑ̃s / 씨양쓰],과학,
41,1,word,nation,[nasjɔ̃ / 나씨용],국가, 
42,1,word,quartz,[kwaʁts / 꾸와흐츠],석영/수정,[ts]
43,1,word,arrivent,[aʁiv / 아히브],도착하다,[v]
44,1,word,doigts,[dwa / 두와],손가락,[wa]
45,1,word,leçon,[ləsɔ̃ / 르쏭],수업,쎄디으: 철자c 아래 붙이는 작은 s \n [k]를 [s]로 발음
46,1,word,été,[ete / 에떼],여름,악쌍 떼귀 e를 폐음[e]으로 발음
47,1,word,café,[kafe / 까페],커피,악쌍 떼귀 e를 폐음[e]으로 발음
48,1,word,père,[pɛʁ / 빼흐],아버지,악쌍 그라브: e를 개음[ɛ]으로 발음
49,1,word,après,[apʁɛ / 아프해],후에,악쌍 그라브 e를 개음[ɛ]으로 발음
50,1,word,fête,[fɛt / 패뜨],축제, 악쌍 씨르꽁플랙스: 모음을 개음과 장음으로 발음
51,1,word,pâte,[pat / 빠뜨],반죽, 악쌍 씨르꽁플랙스: 모음을 개음과 장음으로 발음
52,1,word,Noël,[nɔɛl / 노앨르],크리스마스,트레마: 두 모음을 분리하여 발음
53,1,word,maïs,[mais / 마이쓰],옥수수,트레마: 두 모음을 분리하여 발음
