no,group,speaker,original,pron,trans,comment
1,111,,Tu fais quoi ?,[ty fɛ kwa / 튀 페 쿠아],뭐 해?,
2,111,,Vous faites quoi ?,[vu fɛt kwa / 부 페트 쿠아],무엇을 하세요?,
3,111,,Que fais-tu ?,[kə fɛ ty / 커 페 튀],뭐 해?,
4,111,,Que faites-vous ?,[kə fɛt vu / 커 페트 부],무엇을 하세요?,
5,111,,Qu'est-ce que tu fais ?,[kɛs kə ty fɛ / 케스크 튀 페],뭐 해?,
6,111,,Qu'est-ce que vous faites ?,[kɛs kə vu fɛt / 케스크 부 페트],무엇을 하세요?,
7,111,,Il fait quoi ?,[il fɛ kwa / 일 페 쿠아],그는 뭐 해?,
8,111,,Elles font quoi ?,[ɛl fɔ̃ kwa / 엘 평 쿠아],그녀들은 뭐 해?,
9,111,,Que fait-il ?,[kə fɛ til / 커 페 틸],그는 뭐 해?,
10,111,,Que font-elles ?,[kə fɔ̃ tɛl / 커 평 텔],그녀들은 뭐 해?,
11,111,,Qu'est-ce qu'il fait ?,[kɛs kil fɛ / 케스 킬 페],그는 뭐 해?,
12,111,,Qu'est-ce qu'elles font ?,[kɛs tɛl fɔ̃ / 케스 텔 평],그녀들은 뭐 해?,
13,111,,Je fais du café.,[ʒə fɛ dy kafe / 즈 페 뒤 카페],커피를 만들어요.,
14,111,,Le boulanger fait des baguettes.,[lə bulɑ̃ʒe fɛ de bagɛt / 르 불랑주에 페 데 바게트],빵집 주인은 바게트를 만듭니다.,
15,111,,Les oiseaux font leur nid.,[le wazo fɔ̃ lœʁ ni / 레 우아조 평 뢰르 니],새들은 둥지를 짓습니다.,
16,111,,Vous faites quoi ce soir ?,[vu fɛt kwa sə swaʁ / 부 페트 쿠아 스 수아르],오늘 밤 뭐 하세요?,
17,111,,Que faites-vous ce soir ?,[kə fɛt vu sə swaʁ / 커 페트 부 스 수아르],오늘 밤 무엇을 하세요?,
18,111,,Nous faisons les courses.,[nu fəzɔ̃ le kuʁs / 누 페종 레 쿠르스],우리는 장을 봅니다.,
19,111,,Il fait la cuisine.,[il fɛ la kɥizin / 일 페 라 퀴진],그는 요리를 합니다.,
20,111,,Ils font du sport ?,[il fɔ̃ dy spɔʁ / 일 평 뒤 스포르],그들은 운동하나요?,
21,111,,Elles font du piano.,[ɛl fɔ̃ dy pjano / 엘 평 뒤 피아노],그녀들은 피아노를 칩니다.,
22,111,,Qu'est-ce que vous faites comme sport ?,[kɛs kə vu fɛt kɔm spɔʁ / 케스크 부 페트 콤 스포르],무슨 운동을 하세요?,
23,111,,Nous faisons du tennis.,[nu fəzɔ̃ dy tɛnis / 누 페종 뒤 테니스],우리는 테니스를 합니다.,
24,111,,Nous faisons de la natation.,[nu fəzɔ̃ də la natasjɔ̃ / 누 페종 드 라 나타시옹],우리는 수영을 합니다.,
25,111,,Vous faites de la musique ?,[vu fɛt də la myzik / 부 페트 드 라 뮈지크],음악을 하세요?,
26,111,,Oui on fait du violon.,[wi ɔ̃ fɛ dy vjɔlɔ̃ / 위 옹 페 뒤 비올롱],네 바이올린을 켭니다.,
27,111,,Nous faisons de la guitare.,[nu fəzɔ̃ də la gitar / 누 페종 드 라 기타르],우리는 기타를 칩니다.,
28,111,,Qu'est-ce que vous faites (dans la vie) ?,[kɛs kə vu fɛt / 케스크 부 페트],직업이 뭐예요?,
29,111,,Je suis étudiant.,[ʒə sɥi etydjɑ̃ / 즈 쉬 에튀디앙],저는 학생입니다.,
30,111,,Je suis employé.,[ʒə sɥi ɑ̃plwaje / 즈 쉬 앙플로와예],저는 직원입니다.,
31,111,,Je suis retraité.,[ʒə sɥi ʁətʁete / 즈 쉬 헤트헤테],저는 은퇴했습니다.,
32,111,,Je suis étudiante.,[ʒə sɥi etydjɑ̃t / 즈 쉬 에튀디앙트],저는 여학생입니다.,
33,111,,Je suis employée.,[ʒə sɥi ɑ̃plwaje / 즈 쉬 앙플로와예],저는 여직원입니다.,
34,111,,Je suis retraitée.,[ʒə sɥi ʁətʁetee / 즈 쉬 헤트헤테],저는 은퇴했습니다.,
35,111,,Qu'est-ce que tu fais demain ?,[kɛs kə ty fɛ dəmɛ̃ / 케스크 튀 페 드망],내일 뭐 해?,
