no,group,speaker,original,pron,trans,comment
1,1,,"Monsieur, vous êtes chinois ?","므쇠, 부젯 쉬누아?","선생님, 당신은 중국인인가요?",
2,1,,"Non, je ne suis pas chinois.","농, 즈느 스위 빠 쉬누아.","아니요, 저는 중국인이 아닙니다.",
3,1,,Je suis coréen.,즈 스위 코레앙.,저는 한국인입니다. (남성),
4,1,,"Madame, vous êtes de Paris ?","마다므, 부젯 드 파리?","부인, 파리 출신이신가요?",
5,1,,"Non, je ne suis pas parisienne.","농, 즈느 스위 빠 파리지엔느.","아니요, 저는 파리 여성 출신이 아닙니다.",
6,1,,Je suis lyonnaise.,즈 스위 리요네즈.,저는 리옹 여성 출신입니다.,
7,1,,"Léon, il est journaliste ?","레옹, 일레 주르날리스트?","레옹, 그는 기자인가요?",
8,1,,"Non, il n’est pas journaliste.","농, 일네 빠 주르날리스트.","아니요, 그는 기자가 아닙니다.",
9,1,,Il est acteur.,일레 악퇴르.,그는 배우입니다.,
10,1,,C’est un avocat ?,쎄 땅 아보카?,그는 변호사인가요?,
11,1,,"Non, ce n’est pas un avocat.","농, 스네 빠 앙 아보카.","아니요, 변호사가 아닙니다.",
12,1,,C’est un citron vert.,쎄 땅 시트홍 베르.,그것은 라임(초록 레몬)입니다.,
13,1,,Je suis désolé.,즈 스위 데졸레.,죄송합니다. (남성 화자),
14,1,,Je suis désolée.,즈 스위 데졸레.,죄송합니다. (여성 화자),
15,1,,Nous sommes désolés.,누 솜 데졸레.,저희가 죄송합니다.,
16,1,,Ce n’est pas grave.,스네 빠 그라브.,괜찮습니다. (심각하지 않아요),
17,1,,"Oh, pardon, Monsieur, je suis désolée.","오, 파흐동, 므쇠, 즈 스위 데졸레.","아, 실례합니다, 선생님. 죄송합니다. (여성)",
18,1,,"Non, ce n’est pas grave, Madame.","농, 스네 빠 그라브, 마담.","아니요, 괜찮습니다, 부인.",
19,1,,Je ne suis pas chinoise.,즈느 스위 빠 쉬누아즈.,저는 중국인이 아닙니다. (여성),
20,1,,Tu es content ?,튀 에 꽁땅?,너 기뻐?,
21,1,,Tu n’es pas content ?,튀 네 빠 꽁땅?,너 기쁘지 않아?,
