no,group,speaker,original,pron,trans,comment
1,24,,Voici un chat.,[vwasi œ̃ ʃa / 브와시 엉 샤],여기 고양이 한 마리가 있어요.,
2,24,,Voici des chats.,[vwasi de ʃa / 브와시 데 샤],여기 고양이들이 있어요.,
3,24,,Voilà un chien.,[vwala œ̃ ʃjɛ̃ / 브와라 엉 셰앙],저기 개 한 마리가 있어요.,
4,24,,Voilà des chiens.,[vwala de ʃjɛ̃ / 브와라 데 셰앙],저기 개들이 있어요.,
5,24,,Voici un chat. Voilà un chien.,[vwasi œ̃ ʃa vwala œ̃ ʃjɛ̃ / 브와시 엉 샤 브와라 엉 셰앙],"여기 고양이 한 마리, 저기 개 한 마리.",
6,24,,Voici le père de Léo. Voilà la mère de Léo.,[vwasi lə pɛʁ də leo vwala la mɛʁ də leo / 브와시 르 페르 드 레오 브와라 라 메르 드 레오],"여기 레오의 아버지, 저기 레오의 어머니.",
7,24,,Voilà des chiens et des chats.,[vwala de ʃjɛ̃ e de ʃa / 브와라 데 셰앙 에 데 샤],저기 개들과 고양이들이 있어요.,
8,24,,Voilà les parents de Léo.,[vwala le paʁɑ̃ də leo / 브와라 레 파랑 드 레오],저기 레오의 부모님이 계세요.,
9,24,,"Ici, c’est Paris.",[isi sɛ paʁi / 이시 세 빠리],"여기는 파리예요.",
10,24,,C’est une tour.,[sɛ t‿yn tuʁ / 세‿틴 투르],탑이에요.,
11,24,,C’est la Tour Eiffel.,[sɛ la tuʁ ɛfɛl / 세 라 투르 에펠],에펠탑이에요.,
12,24,,C’est un homme.,[sɛ t‿œ̃ n‿ɔm / 세‿틴‿엉‿옴],남자예요.,
13,24,,C’est une voiture.,[sɛ t‿yn vwatyʁ / 세‿틴 브와튀르],자동차예요.,
14,24,,Ce sont des hommes,[sə sɔ̃ de z‿ɔm / 스 송 데‿옴],남자들이에요.,
15,24,,Ce sont des voitures,[sə sɔ̃ de vwatyʁ / 스 송 데 브와튀르],자동차들이에요.,
16,24,,Voici un sac.,[vwasi œ̃ sak / 브와시 엉 싹],여기 가방이 있어요.,
17,24,,Voici des sacs,[vwasi de sak / 브와시 데 싹],여기 가방들이 있어요.,
18,24,,Voilà une voiture.,[vwala yn vwatyʁ / 브와라 윈 브와튀르],저기 자동차가 있어요.,
19,24,,Voilà des voitures.,[vwala de vwatyʁ / 브와라 데 브와튀르],저기 자동차들이 있어요.,
20,24,,C’est une baguette.,[sɛ t‿yn bagɛt / 세‿틴 바게트],바게트예요.,
21,24,,Ce sont des baguettes,[sə sɔ̃ de bagɛt / 스 송 데 바게트],바게트들이에요.,
22,24,,C’est un croissant.,[sɛ t‿œ̃ kʁwasɑ̃ / 세‿틴‿엉 크와송],크루아상이에요.,
23,24,,Ce sont des croissants.,[sə sɔ̃ de kʁwasɑ̃ / 스 송 데 크와송],크루아상들이에요.,
24,24,,C’est le sac de Lina.,[sɛ lə sak də lina / 세 르 싹 드 리나],리나의 가방이에요.,
25,24,,Ce sont les sacs de Lina.,[sə sɔ̃ le sak də lina / 스 송 레 싹 드 리나],리나의 가방들이에요.,
26,24,,C’est l’enfant de Louis.,[sɛ lɑ̃fɑ̃ də lwi / 세 랑팽 드 루이],루이의 아이예요.,
27,24,,Ce sont les enfants de Louis.,[sə sɔ̃ le z‿ɑ̃fɑ̃ də lwi / 스 송 레‿장팽 드 루이],루이의 아이들이에요.,
28,24,,Voici une voiture.,[vwasi yn vwatyʁ / 브와시 윈 브와튀르],여기 자동차가 있어요.,
29,24,,C’est la voiture de Léa.,[sɛ la vwatyʁ də lea / 세 라 브와튀르 드 레아],레아의 자동차예요.,
30,24,,Voici un manteau.,[vwasi œ̃ mɑ̃to / 브와시 엉 멍토],여기 코트가 있어요.,
31,24,,C’est le manteau de Léo.,[sɛ lə mɑ̃to də leo / 세 르 멍토 드 레오],레오의 코트예요.,
32,24,,Voici des chats. Ce sont les chats de Paul.,[vwasi de ʃa sə sɔ̃ le ʃa də pol / 브와시 데 샤 스 송 레 샤 드 폴],"여기 고양이들, 폴의 고양이들이에요.",
33,24,,Voilà un garçon et une fille.,[vwala œ̃ gaʁsɔ̃ e yn fij / 브와라 엉 가르송 에 윈 필],저기 소년과 소녀가 있어요.,
34,24,,Ce sont les enfants de Louis.,[sə sɔ̃ le z‿ɑ̃fɑ̃ də lwi / 스 송 레‿장팽 드 루이],루이의 아이들이에요.,
35,24,,Voilà un opéra. C’est l'Opéra Garnier.,[vwala œ̃ n‿opeʁa sɛ lopeʁa ɡaʁnje / 브와라 엉‿노페라 세 lopeʁa 가르니에],"저기 오페라 극장, 가르니에 오페라예요.",
36,24,,Voilà une tour. C’est la Tour Eiffel.,[vwala yn tuʁ sɛ la tuʁ ɛfɛl / 브와라 윈 투르 세 라 투르 에펠],"저기 탑, 에펠탑이에요.",
