no,group,speaker,original,pron,trans,comment
1,1,,"J’espère que vous allez bien et que notre petit chien, Loulou, ne fait pas trop de bêtises !","제스페흐 꺄 부 자레 빼엉 에 꺄 노뜨흐 쁘띠 시엥, 룰루, 느 페 파 트로 드 베티즈!",당신이 잘 지내고 있고 우리 작은 강아지 룰루가 너무 말썽 부리지 않길 바라요!,
2,1,,C’est enfin le week-end !,쎄 앙팡 르 위캉드!,드디어 주말이에요!,
3,1,,Je suis contente.,쥬 스위 꽁땅뜨.,저는 기뻐요.,
4,1,,"J’attendais le week-end avec impatience, parce que c’était une mauvaise semaine au travail…","자똥데 르 위캉 아벡 앙빠띠엥스, 파흐스 꺄 쎄떼 윤 모베즈 스메느 오 뜨라바이...","주말을 손꼽아 기다렸어요, 왜냐하면 직장에서 정말 힘든 한 주였거든요…",
5,1,,On avait beaucoup de boulot à faire…,옹 아베 보꾸 드 불로 아 페흐...,해야 할 일이 정말 많았어요…,
6,1,,"Tous les jours, je me levais à 4 heures du matin et je finissais à 10 heures du soir.","투 레 주흐, 쥬므 르베 아 카흐 흐어 뒤 마땅 에 쥬 피니쎄 아 디즈 흐어 뒤 스와흐.",매일 아침 4시에 일어나서 밤 10시에 일을 끝냈어요.,
7,1,,Je n’avais même pas le temps pour aller manger.,즈 나베 멤 파 르 땅 푸흐 알레 망제.,밥 먹으러 갈 시간조차 없었어요.,
8,1,,Les journées étaient épuisantes.,레 주흐네 에떼 에퓌종뜨.,하루하루가 매우 지쳤어요.,
9,1,,"Mes collègues et moi, nous étions tous très fatigués.","메 꼴렉 에 무아, 누 제띠옹 투 트레 파티게.",제 동료들과 저는 모두 많이 피곤했어요.,
10,1,,"Mais heureusement, Jaemin était là pour me soutenir.","메 흐허즈므옹, 재민 에떼 라 푸흐 므 수뜨니흐.",하지만 다행히 재민이 저를 많이 도와줬어요.,
11,1,,Tout se passe bien en Corée du Sud ?,투 쓰 파스 뱡 앙 코헤 뒤 쓷?,한국에서는 잘 지내고 계신가요?,
12,1,,Vous nous manquez beaucoup !,부 누 망께 보꾸!,우리는 당신이 많이 보고 싶어요!,
13,1,,"Jaemin et moi, nous avons l’intention de venir vous voir pendant les vacances d’hiver.","재민 에 무아, 누 자봉 랑땅시옹 드 브느흐 부 부아흐 뽕당 레 바꽁스 디베흐.",재민과 저는 겨울 방학 때 당신을 뵈러 갈 예정이에요.,
14,1,,Prenez bien soin de vous.,프흐네 븡 수엥 드 부.,몸 건강 잘 챙기세요.,
15,1,,"Votre fille adorée, Mina.","보뜨흐 피유 아도레, 미나.","당신의 사랑하는 딸, 미나.",
