no,group,speaker,original,pron,trans,comment
1,11강,français,tableau,따블로,표/그림,
2,11강,français,attention,아떵씨옹,주의/집중,
3,11강,français,thème,땜므ㅇ,주제,
4,11강,français,quand il,껑띨,~할 때 (그가),
5,11강,français,doux,두,부드러운/달콤한,
6,11강,français,douce,두스,부드러운 (여성형),
7,11강,français,addition,아디씨용,덧셈/계산서,
8,11강,français,adhésion,아데지용,접착/가입,
9,11강,français,thon,통,참치,
10,11강,français,trou,트후,구멍,
11,11강,français,thé,떼,차(tea),
12,11강,français,motte,모트,덩어리,
13,11강,français,des,데,복수관사(~들),
14,11강,français,doux,두,부드러운,
15,11강,français,chaude,쇼드,따뜻한,
16,11강,français,grande,그ㄹ항드,큰 (여성형),
17,11강,français,content,꽁떵,만족한,
18,11강,français,question,께쓰띠용,질문,
19,11강,français,attendre,아떵드ㅎ,기다리다,
20,11강,français,synthèse,쌍때즈,종합/합성,
21,11강,français,pardon,빠ㅎ동,용서/미안,
22,11강,français,modèle,모댈,모형,
23,11강,français,samedi,사므디,토요일,
24,11강,français,donner,도네,주다,
25,11강,français,quand elle,껑땔,~할 때 (그녀가),
26,11강,français,grand homme,그ㄹ헝똠므,위대한 사람,
27,11강,français,second étage,스공데따쥬,2층,
28,11강,français,café,꺄풰,커피,
29,11강,français,conte,꽁트,이야기,
30,11강,français,cuisine,퀴진,요리/부엌,
31,11강,français,accord,아코ㅎ,합의,
32,11강,français,chrétien,크ㄹ헤티앙,기독교인,
33,11강,français,ski,스끼,스키,
34,11강,français,bifteck,비프때ㄲ,스테이크,
35,11강,français,qui,끼,누구/어떤,
36,11강,français,car,꺄ㅎ,왜냐하면/차,
37,11강,français,corps,코ㅎ,몸,
38,11강,français,cou,쿠,목,
39,11강,français,sac,싸ㅋ,가방,
40,11강,français,coca,코캬,코카콜라,
41,11강,français,vécu,베퀴,경험,
42,11강,français,contact,꽁딱ㅌ,접촉,
43,11강,français,kaki,꺄키,카키색,
44,11강,français,gare,갸ㅎ,역,
45,11강,français,gomme,곰므,지우개,
46,11강,français,guerre,개ㅎ,전쟁,
47,11강,français,aggraver,아그ㄹ하베,악화시키다,
48,11강,français,examen,애그자망,시험,
49,11강,français,gant,겅,장갑,
50,11강,français,goût,구,맛,
51,11강,français,longue,롱그,긴,
52,11강,français,bague,바그,반지,
53,11강,français,bagage,바갸쥬,짐,
54,11강,français,goûter,구떼,맛보다,
55,11강,français,légume,레귐므,채소,
56,11강,français,chagrin,샤그ㄹ항,슬픔,
57,11강,français,fatiguant,파띠강,피곤하게 하는,
58,11강,français,élégant,엘레겅,우아한,
