no,group,speaker,original,pron,trans,comment
1,53,,Tu as un grand appartement.,[ty a œ̃ gʁɑ̃ napartəmɑ̃ / 튀 아 엉 그랑 나파르트먼],큰 아파트 있니?,
2,53,,Ma soeur a une grande maison.,[ma sœʁ a yn gʁɑ̃d mɛzɔ̃ / 마 쇠르 아 인 그랑드 메종],내 여동생은 큰 집이 있어요.,
3,53,,J'ai un gros chat.,[ʒe œ̃ gʁo ʃa / 제 엉 그로 샤],뚱뚱한 고양이가 있어요.,
4,53,,Il a une grosse voiture.,[il a yn gʁos vwatyʁ / 일 아 인 그로스 브와튀르],그는 큰 차가 있어요.,
5,53,,Nous avons un bon projet.,[nu zavɔ̃ œ̃ bɔ̃ pʁɔʒɛ / 누 자봉 엉 봉 프로젤],우리는 좋은 프로젝트가 있어요.,
6,53,,Vous avez une bonne idée ?,[vu zave yn bɔn ide / 부 자베 인 본 이데],좋은 아이디어 있으세요?,
7,53,,Elle a une robe bleue.,[ɛl a yn ʁɔb blø / 엘 아 인 호브 블뢰],그녀는 파란 드레스가 있어요.,
8,53,,Vous avez une table ronde ?,[vu zave yn tabl ʁɔ̃d / 부 자베 인 타블 롱드],둥근 탁자 있으세요?,
9,53,,Ils ont des amis français.,[il zɔ̃ de zami fʁɑ̃sɛ / 일존 데 자미 프랑세],그들은 프랑스 친구들이 있어요.,
10,53,,Voilà une église catholique.,[vwala yn eɡliz katɔlik / 브와라 인 에글리즈 카톨릭],저기 가톨릭 교회가 있어요.,
11,53,,Il a un passeport. [français],[il a œ̃ paspoʁ / 일 아 엉 파스포르],그는 여권이 있어요. [français],
12,53,,Il a un passeport français.,[il a œ̃ paspoʁ fʁɑ̃sɛ / 일 아 엉 파스포르 프랑세],그는 프랑스 여권이 있어요.,
13,53,,Vous avez une idée ? [bon],[vu zave yn ide / 부 자베 인 이데],아이디어 있으세요? [bon],
14,53,,Vous avez une bonne idée ?,[vu zave yn bɔn ide / 부 자베 인 본 이데],좋은 아이디어 있으세요?,
15,53,,Ils ont une maison. [beau],[il zɔ̃ yn mɛzɔ̃ / 일존 인 메종],그들은 집이 있어요. [beau],
16,53,,Ils ont une belle maison.,[il zɔ̃ yn bɛl mɛzɔ̃ / 일존 인 벨 메종],그들은 아름다운 집이 있어요.,
17,53,,C'est une église ? [catholique],[sɛ tyn eɡliz / 세튄 에글리즈],교회예요? [catholique],
18,53,,C'est une église catholique ?,[sɛ tyn eɡliz katɔlik / 세튄 에글리즈 카톨릭],가톨릭 교회예요?,
19,53,,C'est une chanson. [beau / français],[sɛ tyn ʃɑ̃sɔ̃ / 세튄 샹송],노래예요. [beau / français],
20,53,,C'est une belle chanson française.,[sɛ tyn bɛl ʃɑ̃sɔ̃ fʁɑ̃sɛz / 세튄 벨 샹송 프랑세즈],아름다운 프랑스 노래예요.,
21,53,,Il a un nez. [gros / rouge],[il a œ̃ ne / 일 아 엉 네],그는 코가 있어요. [gros / rouge],
22,53,,Il a un gros nez rouge.,[il a œ̃ gʁo ne ʁuʒ / 일 아 엉 그로 네 루주],그는 크고 빨간 코가 있어요.,
23,53,,Elle a une robe. [blanc / joli],[ɛl a yn ʁɔb / 엘 아 인 호브],그녀는 드레스가 있어요. [blanc / joli],
24,53,,Elle a une jolie robe blanche.,[ɛl a yn ʒoli ʁɔb blɑ̃ʃ / 엘 아 인 졸리 호브 블랑쉬],그녀는 예쁜 흰 드레스가 있어요.,
25,53,,Nous avons une voiture. [électrique / petit],[nu zavɔ̃ yn vwatyʁ / 누 자봉 인 브와튀르],우리는 차가 있어요. [électrique / petit],
26,53,,Nous avons une petite voiture électrique.,[nu zavɔ̃ yn pətit vwatyʁ elektʁik / 누 자봉 인 쁘티 브와튀르 엘렉트리크],우리는 작은 전기차가 있어요.,
