no,group,speaker,original,pron,trans,comment
1,6,word,Il,[il / 일],그,[i] 폐모음/전설모음/평순모음 웃는 표정에 가까운 [이]
2,6,word,maïs,[mais / 마이쓰],옥수수,[i]
3,6,word,stylo,[stilo / 스띨로],펜,[i]
4,6,word,cuisine,[kɥizin / 뀌진느],부엌/요리,[i]
5,6,word,si,[si / 씨],만약,[i]
6,6,word,lit,[li / 리],침대,[i]
7,6,word,y,[i / 이],거기에,[i]
8,6,word,vie,[vi / 비],삶,[i]
9,6,word,lire,[liʁ / 리흐],읽다,[i]
10,6,word,bise,[biz / 비즈],볼키스,[i]
11,6,word,rive,[ʁiv / 히브],강변,[i]
12,6,word,livre,[livʁ / 리브흐],책,[i]
13,6,word,ici,[isi / 이씨],여기,[i]
14,6,word,demi,[dəmi / 드미],반,[i]
15,6,word,naïf,[naif / 나이프],순진한,[i]
16,6,word,tu,[ty / 뛰],너,[y] 폐모음/전설모음/원순모음 입을 좁고 둥글게 한 뒤 [위]
17,6,word,sur,[syʁ / 쒸흐],~위에,[y]
18,6,word,rue,[ʁy / 휘],거리,[y]
19,6,word,nu,[ny / 뉘],벌거벗은,[y]
20,6,word,vue,[vy / 뷔],전망,[y]
21,6,word,du,[dy / 뒤],~의 일부,[y]
22,6,word,mur,[myʁ / 뮈흐],벽,[y]
23,6,word,pur,[pyʁ / 쀠흐],순수한,[y]
24,6,word,conclure,[kɔ̃klyʁ / 꽁 크뤼흐],결론짓다,[y]
25,6,word,sur,[syʁ / 쒸흐],~위에,[y]
26,6,word,menu,[məny / 므뉘],메뉴,[y]
27,6,word,salut,[saly / 쌀뤼],안녕,[y]
28,6,word,Camus,[kamy / 꺄뮈],카뮈,[y]
29,6,word,nature,[natyʁ / 나뛰흐],자연,[y]
30,6,word,jour,[ʒuʁ / 쥬우ㅎ],날,[u] 폐모음/후설모음/원순모음 [우]에 일치하는 발음
31,6,word,ou,[u / 우],또는,[u]
32,6,word,goût,[ɡu / 구],맛,[u]
33,6,word,bout,[bu / 부],끝,[u]
34,6,word,doux,[du / 두],부드러운,[u]
35,6,word,coût,[ku / 꾸],비용,[u]
36,6,word,août,[ut / 우(ㄸ)],8월,[u]
37,6,word,jour,[ʒuʁ / 쥬우ㅎ],날,[u]
38,6,word,douze,[duz / 두즈],12,[u]
39,6,word,cours,[kuʁ / 꾸흐],수업,[u]
40,6,word,rouge,[ʁuʒ / 후쥬],빨간색,[u]
41,6,word,bonjour,[bɔ̃ʒuʁ / 봉쥬흐],안녕하세요,[u]
42,6,word,beaucoup,[boku / 보꾸],많이,[u]
43,6,word,debout,[dəbu / 드부],서 있는,[u]
44,6,word,surtout,[syʁtu / 쒸ㅎ뚜],특히,[u]
