no,group,speaker,original,pron,trans,comment
1,12,word,santé,[sɑ̃te / 썽떼],건강/건배할 때도 사용,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
2,12,word,aussi,[osi / 오씨],또한,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
3,12,word,place,[plas / 쁠라쓰],장소/좌석/공간/광장,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
4,12,word,cinéma,[sinema / 씨네마],영화(관),"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
5,12,word,cycle,[sikl / 씨끌],순환/주기/학사과정,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
6,12,word,scène,[sɛn / 쌘ㄴ],무대/장면/광경,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
7,12,word,science,[sjɑ̃s / 씨영쓰],과학/기술/학문,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
8,12,word,nation,[nasjɔ̃ / 나씨용],국민/민족/국가,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
9,12,word,six,[sis / 씨쓰],6,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
10,12,word,si,[si / 씨],만약,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
11,12,word,cidre,[sidʁ / 씨드흐],사과주,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
12,12,word,sceau,[so / 쏘],봉인/인감/관인,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
13,12,word,dix,[dis / 디쓰],10,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
14,12,word,leçon,[ləsɔ̃ / 르쏭],수업/강의,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
15,12,word,assez,[ase / 아쎄],충분히,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
16,12,word,bicycle,[bisikl / 비씨 끌르],자전거,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
17,12,word,piscine,[pisin / 삐씬느],수영장,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
18,12,word,commerçant,[kɔmɛʁsɑ̃ / 꼬매흐썽],상인,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
19,12,word,initial,[inisjal / 이니씨얄],원래의/초기의,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
