no,group,speaker,original,pron,trans,comment
1,1,,"Léo, en France, les lycéens font-ils des voyages scolaires ?","leo, on frans, le lisé-an font-il dé voayaj skolair ?","레오, 프랑스에서는 고등학생들이 수학여행을 가나요?",
2,1,,"Oui, bien sûr. Quand j’étais au lycée, j’en ai fait.","위, 비앙 쉬르. 꽝 제테 오 리세, 쟝 에 페.","응, 물론이지. 내가 고등학생이었을 때 갔었어.",
3,1,,Ma professeure de latin organisait un séjour en Italie chaque année pour les élèves qui étudiaient le latin.,마 프로페써르 드 라탱 오르가니제 앙 세주흐 앙 이탈리 샤크 아네 푸를레 엘래브 키 에튀디에 르 라탱.,내 라틴어 선생님은 매년 라틴어를 배우는 학생들을 위해 이탈리아로 연수를 조직하셨어.,
4,1,,La chance… je ne suis jamais allée en Italie. C’était comment ?,라 샹스… 즈느 스위 자메 알레 앙 이탈리. 세테 코망?,운 좋다… 나는 이탈리아에 한 번도 가본 적 없어. 어땠어?,
5,1,,C’était super !,세테 수페르!,정말 최고였어!,
6,1,,On a visité beaucoup de monuments et on a mangé plein de bonnes choses.,온 아 비지테 보쿠 드 모뉘망 에 온 아 망же 플랭 드 본 쇼즈.,우리는 많은 기념물들을 방문했고 맛있는 것도 많이 먹었어.,
7,1,,On s’est bien amusés.,온 세 비앙 아뮤제.,우리는 정말 재미있게 놀았어.,
8,1,,"La chance… Donc, quand tu étais lycéen, tu y allais tous les ans ?","라 샹스… 동크, 꽝 튀 에테 리세앙, 튀 이 알레 투 레 자ŋ?",운 좋다… 그럼 너는 고등학생 때 매년 갔던 거야?,
9,1,,J’y suis allé seulement quand j’étais en seconde et en première.,지 스위 알레 쓸르몽 꽝 제테 앙 승공드 에 앙 프르미에르.,나는 2학년과 1학년일 때만 갔어.,
10,1,,"Ah bon, pourquoi ?","아 봉, 뿌르콰?",아 그래? 왜?,
11,1,,Parce que j’ai préféré me concentrer sur les révisions du bac quand je suis passé en terminale.,파르스끄 제 프레페레 므 콩쏭트레 술 레 헤비지옹 뒤 박 꽝 즈스위 파세 앙 테르미날.,수능 준비에 집중하고 싶어서 고3 때는 안 갔어.,
12,1,,Je n’avais pas beaucoup de temps libre à cause de mes cours.,즈 나베 파 보쿠 드 톙 리브 아 코즈 드 메 쿠르.,수업 때문에 자유 시간이 많지 않았어.,
13,1,,Tu avais beaucoup de cours ?,튀 아베 보쿠 드 쿠르?,너 수업이 많았어?,
14,1,,"Oui, j’allais au lycée du lundi au samedi…","위, 잘레 오 리세 뒤 렁디 오 사므디…","응, 나는 월요일부터 토요일까지 학교 갔어…",
15,1,,Quoi ?,콰?,뭐라고?,
16,1,,Tu allais aussi en cours le samedi ?,튀 알레 오시 앙 쿠르 르 사므디?,토요일에도 수업을 들으러 갔어?,
17,1,,"Oui, mais les cours du mercredi et du samedi finissaient à 13 heures.","위, 메 레 쿠르 듀 메르크르디 에 듀 사므디 피니쎄 아 트레즈 얼.","응, 하지만 수요일과 토요일 수업은 1시에 끝났어.",
18,1,,"Après tes cours, tu n’avais pas faim ?","아프레 테 쿠르, 튀 나베 파 팽?",수업 끝나고 배고프지 않았어?,
19,1,,"Si, trop ! En plus, mon lycée se situait à une heure de chez moi…","시, 트로! 앙 플뤼, 몽 리세 스 시튀에타 윈 느흐 드 셰 무아…","맞아, 엄청! 게다가 우리 집에서 학교까지 한 시간 걸렸어…",
20,1,,"Oh, tu habitais loin de ton lycée, dis donc… Le samedi et le mercredi, tu ne pouvais pas manger à la cantine ?","오, 튀 아비테 루앙 드 톤 리세, 디 동… 르 사므디 에 르 메르크르디, 튀 느 푸베 파 망제 아 라 꽁틴?","오, 너 학교랑 엄청 멀리 살았구나… 토요일과 수요일에는 식당에서 못 먹었어?",
21,1,,"Non, tous les jours, le lycée fermait ses portes à la fin du dernier cours de la journée.","농, 투 레 주르, 르 리세 페르메 세 포르트 아 라 팽 뒤 데르니에 쿠르 드 라 주르네.","아니, 매일 마지막 수업이 끝나면 학교 문을 닫았어.",
22,1,,Les élèves ne pouvaient pas étudier au lycée le soir ?,레 엘레브 느 푸베 파 제튀디에 오 리세 르 수아르?,학생들은 저녁에 학교에서 공부할 수 없었어?,
23,1,,"Non, on devait tous sortir du lycée. Personne n’avait le droit de rester dans l’établissement.","농, 온 드베 투 쏘르티르 뒤 리세. 페르손 나베 르 드루아 드 레스테 당 레타블리스망.","아니, 우리는 모두 학교에서 나가야 했어. 아무도 학교 안에 머무를 권리가 없었어.",
