no,group,speaker,original,pron,trans,comment
1,1,A,I was happy to begin jogging.,아이 워즈 해피 투 비긴 조깅,나는 조깅을 시작하게 되어 기뻤다,
2,1,A,My baby brother took a bus to come here.,마이 베이비 브라더 툭 어 버스 투 컴 히어,내 남동생은 버스를 타고 여기로 왔다,
3,1,A,I go to bed quietly when I get home late.,아이 고 투 베드 콰이어틀리 웬 아이 겟 홈 레이트,나는 늦게 집에 오면 조용히 잠자리에 든다,
4,1,A,Some people were against the government's smoking ban.,썸 피플 워 어게인스트 더 거번먼츠 스모킹 밴,몇몇 사람들은 정부의 금연 정책에 반대했다,
5,1,A,The teacher was angry with the students who broke the rules.,더 티처 워즈 앵그리 윗 더 스튜던츠 후 브로크 더 룰즈,그 교사는 규칙을 어긴 학생들에게 화가 나 있었다,
6,1,A,I want to quit my job at the bank.,아이 원트 투 퀴트 마이 잡 앳 더 뱅크,나는 은행 일을 그만두고 싶다,
7,1,A,"If I had time, I would attend the banquet.",이프 아이 해드 타임 아이 우드 어텐드 더 뱅큇,시간이 있다면 연회에 참석할 텐데,
8,1,A,The guest speaker quoted a famous book.,더 게스트 스피커 쿼티드 어 페이머스 북,초청 연사는 유명한 책을 인용했다,
9,1,A,"I want to watch a movie, but I don't have time.",아이 원트 투 워치 어 무비 벗 아이 돈 해브 타임,나는 영화를 보고 싶지만 시간이 없다,
10,1,A,My brother asked my father a few questions.,마이 브라더 애스크드 마이 파더 어 퓨 퀘스천즈,내 형은 아버지께 몇 가지 질문을 했다,
11,1,A,The teacher talked about the importance of transportation.,더 티처 톡트 어바웃 디 임포턴스 오브 트랜스포테이션,그 교사는 교통의 중요성에 대해 이야기했다,
12,1,A,I have two types of jeans.,아이 해브 투 타입즈 오브 진즈,나는 두 종류의 청바지가 있다,
13,1,A,A trip across the United States by train takes a long time.,어 트립 어크로스 디 유나이티드 스테이츠 바이 트레인 테익스 어 롱 타임,기차로 미국을 횡단하는 여행은 시간이 오래 걸린다,
14,1,A,She felt bad about the terrible fight with her friend.,쉬 펠트 배드 어바웃 더 테러블 파이트 윗 허 프렌드,그녀는 친구와의 끔찍한 싸움에 대해 마음이 아팠다,
15,1,A,Doctors suggest that we sleep at least seven hours every night.,닥터즈 서제스트 댓 위 슬립 앳 리스트 세븐 아워즈 에브리 나이트,의사들은 매일 밤 최소 7시간은 자라고 권한다,
16,1,A,I won't quit asking questions.,아이 원트 퀴트 애스킹 퀘스천즈,나는 질문하는 것을 그만두지 않을 것이다,
17,1,A,The woman quotes her English professor.,더 우먼 쿼츠 허 잉글리시 프로페서,그 여성은 자신의 영어 교수의 말을 인용한다,
18,1,A,My quilt is dirty and needs to be dry-cleaned.,마이 퀼트 이즈 더티 앤 니즈 투 비 드라이 클린드,내 이불은 더러워서 드라이클리닝이 필요하다,
19,1,A,A friend is someone who tells you the truth.,어 프렌드 이즈 썸원 후 텔즈 유 더 트루스,친구란 진실을 말해주는 사람이다,
20,1,A,My team won the math competition last week.,마이 팀 원 더 매스 컴피티션 라스트 위크,우리 팀은 지난주 수학 경시대회에서 우승했다,
21,1,A,My keys and wallet were in the bag I lost.,마이 키즈 앤 월릿 워 인 더 백 아이 로스트,내가 잃어버린 가방 안에 열쇠와 지갑이 있었다,
22,1,A,"In order to go camping, you must have the right gear.",인 오더 투 고 캠핑 유 머스트 해브 더 라이트 기어,캠핑을 가려면 적절한 장비가 필요하다,
23,1,A,The trash can was full of litter.,더 트래시 캔 워즈 풀 오브 리터,쓰레기통은 쓰레기로 가득 차 있었다,
24,1,A,My favorite food is hamburgers.,마이 페이버릿 푸드 이즈 햄버거즈,내가 가장 좋아하는 음식은 햄버거다,
25,1,A,I like to read biographies and stories about battles.,아이 라이크 투 리드 바이오그래피즈 앤 스토리즈 어바웃 배틀즈,나는 전기와 전투에 관한 이야기를 읽는 것을 좋아한다,
26,1,A,I like to take walks in the woods.,아이 라이크 투 테이크 워크스 인 더 우즈,나는 숲에서 산책하는 것을 좋아한다,
27,1,A,I think students should be curious.,아이 씽크 스튜던츠 슈드 비 큐리어스,나는 학생들이 호기심을 가져야 한다고 생각한다,
28,1,A,What works best for me is watching someone do something.,왓 워크스 베스트 포 미 이즈 워칭 썸원 두 썸씽,나에게 가장 잘 맞는 방법은 누군가가 하는 것을 지켜보는 것이다,
29,1,A,I jog and play volleyball often to stay in shape.,아이 조그 앤 플레이 발리볼 오픈 투 스테이 인 셰입,나는 몸매 유지를 위해 자주 조깅하고 배구를 한다,
30,1,A,I'm going to graduate school to study engineering.,아임 고잉 투 그래주엇 스쿨 투 스터디 엔지니어링,나는 공학을 공부하기 위해 대학원에 갈 예정이다,
31,1,A,She dislikes the color of the lamps and the wallpaper.,쉬 디스라이크스 더 컬러 오브 더 램프스 앤 더 월페이퍼,그녀는 램프와 벽지의 색을 싫어한다,
32,1,A,Lots of young girls think looking good is important.,랏츠 오브 영 걸즈 씽크 루킹 굿 이즈 임포턴트,많은 어린 소녀들은 외모가 중요하다고 생각한다,
33,1,A,I prefer to have a picnic by the riverside.,아이 프리퍼 투 해브 어 피크닉 바이 더 리버사이드,나는 강가에서 소풍을 가는 것을 더 좋아한다,
34,1,A,I was late for class because there was a long line at the bus stop.,아이 워즈 레이트 포 클래스 비커즈 데어 워즈 어 롱 라인 앳 더 버스 스탑,버스 정류장에 줄이 길어서 수업에 늦었다,
35,1,A,"My father loves to play golf, but he doesn't have much free time.",마이 파더 러브즈 투 플레이 골프 벗 히 더즌트 해브 머치 프리 타임,아버지는 골프를 좋아하지만 여가 시간이 많지 않다,
36,1,A,"When I was a student, I was good at math and science.",웬 아이 워즈 어 스튜던트 아이 워즈 굿 앳 매스 앤 사이언스,학생이었을 때 나는 수학과 과학을 잘했다,
37,1,A,He is going to Jeju Island this weekend.,히 이즈 고잉 투 제주 아일랜드 디스 위켄드,그는 이번 주말에 제주도에 간다,
38,1,A,I like to eat delicious food with my family.,아이 라이크 투 잇 딜리셔스 푸드 윗 마이 패밀리,나는 가족과 함께 맛있는 음식을 먹는 것을 좋아한다,
39,1,A,She started playing the violin when she was thirteen.,쉬 스타티드 플레이잉 더 바이얼린 웬 쉬 워즈 서틴,그녀는 열세 살 때 바이올린을 시작했다,
40,1,A,I go to the gym with my brother in the evenings.,아이 고 투 더 짐 윗 마이 브라더 인 디 이브닝즈,나는 저녁에 형과 함께 헬스장에 간다,
41,1,A,My favorite subject is zoology.,마이 페이버릿 서브젝트 이즈 주올러지,내가 가장 좋아하는 과목은 동물학이다,
42,1,A,I had to make revisions to my report.,아이 해드 투 메이크 리비전즈 투 마이 리포트,나는 보고서를 수정해야 했다,
43,1,A,I don't want to be lazy about studying Chinese.,아이 돈 원트 투 비 레이지 어바웃 스터디잉 차이니즈,나는 중국어 공부에 게을러지고 싶지 않다,
44,1,A,My parents liked my decision to become a doctor.,마이 페어런츠 라이크드 마이 디시전 투 비컴 어 닥터,부모님은 내가 의사가 되기로 한 결정을 좋아하셨다,
45,1,A,"I usually wear casual clothes, but I sometimes dress up.",아이 유주얼리 웨어 캐주얼 클로즈 벗 아이 썸타임즈 드레스 업,나는 보통 캐주얼한 옷을 입지만 가끔 차려입는다,
46,1,A,I used to play basketball until the gym closed.,아이 유스트 투 플레이 바스켓볼 언틸 더 짐 클로즈드,체육관이 문을 닫을 때까지 농구를 하곤 했다,
47,1,A,"She bought a pearl necklace, but she left it in the taxi.",쉬 보트 어 펄 네클리스 벗 쉬 레프트 잇 인 더 택시,그녀는 진주 목걸이를 샀지만 택시에 두고 내렸다,
48,1,A,He walked out in a rage after his classmates laughed at his story.,히 워크드 아웃 인 어 레이지 애프터 히즈 클래스메이츠 래프트 앳 히즈 스토리,반 친구들이 그의 이야기를 비웃자 그는 분노하며 나갔다,
49,1,A,It's hard to breathe when I run fast.,잇츠 하드 투 브리드 웬 아이 런 패스트,빨리 달리면 숨쉬기가 힘들다,
50,1,A,She was jealous that the teacher complimented a new girl in class.,쉬 워즈 젤러스 댓 더 티처 컴플리먼티드 어 뉴 걸 인 클래스,선생님이 새 여학생을 칭찬해서 그녀는 질투했다,
51,1,A,I listed the items that need to be purchased.,아이 리스티드 디 아이템즈 댓 니드 투 비 퍼체이스트,나는 구매해야 할 물품들을 나열했다,
52,1,A,A brave boy rescued a child from the blaze.,어 브레이브 보이 레스큐드 어 차일드 프럼 더 블레이즈,용감한 소년이 불길 속에서 아이를 구했다,
53,1,A,"When I'm thirsty, I try to drink water instead of soft drinks.",웬 아임 떨스티 아이 트라이 투 드링크 워터 인스테드 오브 소프트 드링크스,목이 마르면 탄산음료 대신 물을 마시려고 한다,
54,1,A,I jog at least an hour every day.,아이 조그 앳 리스트 언 아워 에브리 데이,나는 매일 최소 한 시간 조깅한다,
55,1,A,I like watching comedies because they relieve stress.,아이 라이크 워칭 코미디즈 비커즈 데이 릴리브 스트레스,나는 코미디가 스트레스를 풀어줘서 좋아한다,
56,1,A,I'd like to visit Germany and take the rail across Europe.,아이드 라이크 투 비짓 저머니 앤 테이크 더 레일 어크로스 유럽,나는 독일을 방문하고 유럽을 기차로 여행하고 싶다,
57,1,A,I treasure the watch my parents gave me.,아이 트레저 더 워치 마이 페어런츠 게이브 미,나는 부모님이 주신 시계를 소중히 여긴다,
58,1,A,I think office employees should wear casual clothing.,아이 씽크 오피스 엠플로이즈 슈드 웨어 캐주얼 클로딩,나는 사무직 직원들이 캐주얼 복장을 입어야 한다고 생각한다,
59,1,A,I idolize Bill Gates for his vision.,아이 아이덜라이즈 빌 게이츠 포 히즈 비전,나는 그의 비전 때문에 빌 게이츠를 존경한다,
60,1,A,I'd like to go to a tropical place.,아이드 라이크 투 고 투 어 트로피컬 플레이스,나는 열대 지역에 가고 싶다,
61,1,A,I have to attend a seminar tomorrow.,아이 해브 투 어텐드 어 세미나 투모로우,나는 내일 세미나에 참석해야 한다,
62,1,A,Many students want to reduce the length of the semesters.,메니 스튜던츠 원트 투 리듀스 더 렝스 오브 더 세메스터즈,많은 학생들은 학기 기간을 줄이길 원한다,
63,1,A,The process has both positive and negative side effects.,더 프로세스 해즈 보스 포지티브 앤 네거티브 사이드 이펙츠,그 과정에는 긍정적·부정적 부작용이 모두 있다,
64,1,A,I saw the man wearing a blue shirt.,아이 소 더 맨 웨어링 어 블루 셔츠,나는 파란 셔츠를 입은 남자를 보았다,
65,1,A,I am going to spend my winter vacation in Australia.,아이 엠 고잉 투 스펜드 마이 윈터 베케이션 인 오스트레일리아,나는 겨울 방학을 호주에서 보낼 예정이다,
66,1,A,The article talks about an author of romance novels.,디 아티클 톡스 어바웃 언 오서 오브 로맨스 노블즈,그 기사는 로맨스 소설 작가에 대해 이야기한다,
67,1,A,The construction will cause awful traffic jams.,더 컨스트럭션 윌 코즈 어플 트래픽 잼즈,공사는 심각한 교통 체증을 유발할 것이다,
68,1,A,I bought a new coat for my mother as a present.,아이 보트 어 뉴 코트 포 마이 마더 애즈 어 프레즌트,나는 어머니께 드릴 선물로 새 코트를 샀다,
69,1,A,I could see the water flowing over the dam.,아이 쿠드 씨 더 워터 플로잉 오버 더 댐,나는 물이 댐을 넘어 흐르는 것을 볼 수 있었다,
70,1,A,I turned my mobile phone off during the lecture.,아이 턴드 마이 모바일 폰 오프 듀어링 더 렉처,나는 강의 중에 휴대폰을 껐다,
71,1,A,I think people who break the rules should be punished.,아이 씽크 피플 후 브레이크 더 룰즈 슈드 비 퍼니쉬드,나는 규칙을 어기는 사람들은 처벌받아야 한다고 생각한다,
72,1,A,She went to the hospital to meet the doctor.,쉬 웬트 투 더 호스피털 투 밋 더 닥터,그녀는 의사를 만나러 병원에 갔다,
73,1,A,The woman disagrees with the recent change in policy.,더 우먼 디스어그리즈 윗 더 리슨트 체인지 인 폴리시,그 여성은 최근 정책 변화에 동의하지 않는다,
74,1,A,I waited in line for two hours to see the free concert.,아이 웨이티드 인 라인 포 투 아워즈 투 씨 더 프리 콘서트,나는 무료 콘서트를 보기 위해 두 시간 줄을 섰다,
75,1,A,I visited my friend's dormitory without calling her.,아이 비지티드 마이 프렌즈 도미토리 위다웃 콜링 허,나는 친구에게 연락하지 않고 기숙사를 방문했다,
76,1,A,"When it's rainy and gloomy, people tend to stay indoors.",웬 잇츠 레이니 앤 글루미 피플 텐드 투 스테이 인도어즈,비가 오고 우울한 날엔 사람들은 실내에 머무르려 한다,
77,1,A,I think the blue wallpaper looks great in my room.,아이 씽크 더 블루 월페이퍼 룩스 그레이트 인 마이 룸,나는 파란 벽지가 내 방에 잘 어울린다고 생각한다,
78,1,A,I would find a cheaper place to live in the neighborhood.,아이 우드 파인드 어 치퍼 플레이스 투 리브 인 더 네이버후드,나는 동네에서 더 저렴한 집을 찾을 것이다,
79,1,A,He should look for a job.,히 슈드 룩 포 어 잡,그는 일자리를 찾아야 한다,
80,1,A,My sister was elected president of the student council.,마이 시스터 워즈 일렉티드 프레지던트 오브 더 스튜던트 카운슬,내 여동생은 학생회 회장으로 선출되었다,
81,2,A,Some companies ask employees to wear suits.,썸 컴퍼니즈 애스크 엠플로이즈 투 웨어 수츠,일부 회사는 직원들에게 정장을 입도록 요구한다,
82,2,A,I found the wheel in the garage.,아이 파운드 더 휠 인 더 개러지,나는 차고에서 바퀴를 발견했다,
83,2,A,He set it down behind the desk.,히 셋 잇 다운 비하인드 더 데스크,그는 그것을 책상 뒤에 내려놓았다,
84,2,A,I was supposed to use my mitt at the game.,아이 워즈 서포즈드 투 유즈 마이 밋 앳 더 게임,나는 경기에서 장갑을 사용해야 했다,
85,2,A,I was pleased to buy the house with a lawn.,아이 워즈 플리즈드 투 바이 더 하우스 윗 어 론,나는 잔디가 있는 집을 사게 되어 기뻤다,
86,2,A,My team decided to pool our money to buy a gift for our coach.,마이 팀 디사이디드 투 풀 아워 머니 투 바이 어 기프트 포 아워 코치,우리 팀은 코치에게 줄 선물을 사기 위해 돈을 모으기로 했다,
87,2,A,I was pleased to finally leave.,아이 워즈 플리즈드 투 파이널리 리브,나는 마침내 떠날 수 있어 기뻤다,
88,2,A,I had a pet when I was young.,아이 해드 어 펫 웬 아이 워즈 영,나는 어릴 때 애완동물이 있었다,
89,2,A,I respect my mother because she is kind and sweet.,아이 리스펙트 마이 마더 비커즈 쉬 이즈 카인드 앤 스윗,나는 어머니가 친절하고 다정해서 존경한다,
90,2,A,I believe talent is more crucial to getting a job than good grades.,아이 빌리브 탤런트 이즈 모어 크루셜 투 게팅 어 잡 댄 굿 그레이즈,나는 재능이 성적보다 취업에 더 중요하다고 믿는다,
