no,group,speaker,original,pron,trans,comment
1,63,,Je suis étudiant.,[ʒə sɥi etydjɑ̃ / 즈 쉬 에튀디앙],나는 학생이에요.,
2,63,,Je ne suis pas étudiant.,[ʒə nə sɥi pa etydjɑ̃ / 즈 너 쉬 파 에튀디앙],나는 학생이 아니에요.,
3,63,,Elle parle français.,[ɛl paʁl fʁɑ̃sɛ / 엘 파를 프랑세],그녀는 프랑스어를 해요.,
4,63,,Elle ne parle pas français.,[ɛl nə paʁl pa fʁɑ̃sɛ / 엘 너 파를 파 프랑세],그녀는 프랑스어를 하지 않아요.,
5,63,,Ils regardent la télé ?,[il rəgaʁd la tele / 일 헤가르드 라 텔레],그들 TV 봐요?,
6,63,,Ils ne regardent pas la télé ?,[il nə rəgaʁd pa la tele / 일 너 헤가르드 파 라 텔레],그들 TV 안 봐요?,
7,63,,Tu as ta carte d'étudiant ?,[ty a ta kaʁt detydjɑ̃ / 튀 아 타 카르트 데튀디앙],학생증 있니?,
8,63,,Tu n'as pas ta carte d'étudiant ?,[ty na pa ta kaʁt detydjɑ̃ / 튀 나 파 타 카르트 데튀디앙],학생증 없니?,
9,63,,Nous habitons à Séoul.,[nu zabitɔ̃ a seul / 누 자비통 아 서울],우리는 서울에 살아요.,
10,63,,Nous n'habitons pas à Séoul.,[nu nabitɔ̃ pa a seul / 누 나비통 파 아 서울],우리는 서울에 살지 않아요.,
11,63,,Vous aimez le sport ?,[vu zɛme lə spɔʁ / 부 제므 르 스포르],운동 좋아하세요?,
12,63,,Vous n'aimez pas le sport ?,[vu nɛme pa lə spɔʁ / 부 네므 파 르 스포르],운동 안 좋아하세요?,
13,63,,C'est un stylo ?,[sɛ tœ̃ stilo / 세텅 스틸로],펜이에요?,
14,63,,"Non, ce n'est pas un stylo.","[nɔ̃, sə nɛ pa œ̃ stilo / 논, 스 네 파 엉 스틸로]","아니, 펜이 아니에요.",
15,63,,C'est un crayon.,[sɛ tœ̃ kʁɛjɔ̃ / 세텅 크레용],연필이에요.,
16,63,,Je ne fume pas.,[ʒə nə fym pa / 즈 너 퓀 파],나는 담배를 피우지 않아요.,
17,63,,Je ne fume plus.,[ʒə nə fym ply / 즈 너 퓀 플뤼],나는 더 이상 담배를 피우지 않아요.,
18,63,,Je ne fume jamais.,[ʒə nə fym ʒamɛ / 즈 너 퓀 자메],나는 절대 담배를 피우지 않아요.,
19,63,,Tu n'es pas étudiant ?,[ty nɛ pa etydjɑ̃ / 튀 네 파 에튀디앙],너 학생 아니니?,
20,63,,Vous ne parlez pas français ?,[vu nə paʁle pa fʁɑ̃sɛ / 부 너 파를레 파 프랑세],프랑스어 안 하세요?,
21,63,,Ton père ne fume pas ?,[tɔ̃ pɛʁ nə fym pa / 통 페르 너 퓀 파],네 아버지는 담배 안 피우세요?,
22,63,,Tes frères n'aiment pas la musique ?,[te fʁɛʁ nɛm pa la myzik / 테 프헤르 네므 파 라 뮈지크],네 형제들은 음악 안 좋아해?,
23,63,,Vos parents n'habitent pas à Paris ?,[vo paʁɑ̃ nabit pa a paʁi / 보 파랑 나비트 파 아 파리],부모님은 파리에 안 사세요?,
24,63,,Vos enfants ne regardent pas la télé ?,[vo z‿ɑ̃fɑ̃ nə rəgaʁd pa la tele / 보 잉팡 너 헤가르드 파 라 텔레],아이들 TV 안 봐요?,
25,63,,Q : Tu es étudiante ?,[ky ty ɛ etydjɑ̃t / 큐 : 튀 에 에튀디앙트],Q : 너 학생이니?,
26,63,,Q : Vous parlez français ?,[ky vu paʁle fʁɑ̃sɛ / 큐 : 부 파를레 프랑세],Q : 프랑스어 하세요?,
27,63,,"R : Non, je ne suis pas étudiante.","[ɛʁ : nɔ̃, ʒə nə sɥi pa etydjɑ̃t / R : 논, 즈 너 쉬 파 에튀디앙트]","R : 아니, 나는 학생이 아니에요.",
28,63,,"R : Non, nous ne parlons pas français.","[ɛʁ : nɔ̃, nu nə paʁlɔ̃ pa fʁɑ̃sɛ / R : 논, 누 너 파를롱 파 프랑세]","R : 아니, 우리는 프랑스어를 하지 않아요.",
