no,group,speaker,original,pron,trans,comment
1,84,,avoir faim,[avwaʁ fɛ̃ / avoir faim],배고프다 (표현),
2,84,,J'ai faim.,[ʒe fɛ̃ / jai faim],배고파.,
3,84,,avoir soif,[avwaʁ swaf / avoir soif],목마르다 (표현),
4,84,,Tu as soif?,[ty a swaf / tu as soif],목말라?,
5,84,,avoir chaud,[avwaʁ ʃo / avoir chaud],덥다 (표현),
6,84,,Vous avez chaud?,[vu zave ʃo / vous avez chaud],더우세요?,
7,84,,avoir froid,[avwaʁ fʁwa / avoir froid],춥다 (표현),
8,84,,Ils ont froid.,[il zɔ̃ fʁwa / ils ont froid],그들은 추워.,
9,84,,le ventre(m.),[lə vɑ̃tʁ / le ventre],배 (남성),
10,84,,J'ai mal au ventre.,[ʒe mal o vɑ̃tʁ / jai mal au ventre],배가 아파.,
11,84,,la tête(f.),[la tɛt / la tête],머리 (여성),
12,84,,Tu as mal à la tête?,[ty a mal a la tɛt / tu as mal a la tête],머리 아파?,
13,84,,l'épaule(f.),[lepol / lépaule],어깨 (여성),
14,84,,Il a mal à l'épaule.,[il a mal a lepol / il a mal a lépaule],어깨가 아파.,
15,84,,la dent(f.),[la dɑ̃ / la dent],이 (여성),
16,84,,Vous avez mal aux dents?,[vu zave mal o dɑ̃ / vous avez mal aux dents],이 아프세요?,
17,84,,le changement(m.),[lə ʃɑ̃ʒmɑ̃ / le changement],변화 (남성),
18,84,,J'ai peur du changement.,[ʒe pœʁ dy ʃɑ̃ʒmɑ̃ / jai peur du changement],변화가 무서워.,
19,84,,la mort(f.),[la mɔʁ / la mort],죽음 (여성),
20,84,,Tu as peur de la mort?,[ty a pœʁ də la mɔʁ / tu as peur de la mort],죽음이 무서워?,
21,84,,l'eau(f.),[lo / leau],물 (여성),
22,84,,Il a peur de l'eau.,[il a pœʁ də lo / il a peur de leau],물이 무서워.,
23,84,,le chien(m.),[lə ʃjɛ̃ / le chien],개 (남성),
24,84,,Elle a peur des chiens.,[ɛl a pœʁ de ʃjɛ̃ / elle a peur des chiens],개가 무서워.,
25,84,,Il a peur de son père.,[il a pœʁ də sɔ̃ pɛʁ / il a peur de son père],아버지가 무서워.,
26,84,,Les étudiants ont peur de ce professeur.,[le zetydjɑ̃ ɔ̃ pœʁ də sə pʁɔfɛsœʁ / les étudiants ont peur de ce professeur],학생들은 그 교수가 무서워.,
27,84,,On a peur d'une guerre civile.,[ɔ̃ n‿a pœʁ dyn gɛʁ sivil / on a peur dune guerre civile],내전이 무섭다.,
28,84,,J'ai mal à la tête.,[ʒe mal a la tɛt / jai mal a la tête],머리가 아파.,
29,84,,Tu as mal au ventre ?,[ty a mal o vɑ̃tʁ / tu as mal au ventre],배 아파?,
30,84,,Vous avez mal aux dents ?,[vu zave mal o dɑ̃ / vous avez mal aux dents],이 아프세요?,
31,84,,J'ai peur de l'eau.,[ʒe pœʁ də lo / jai peur de leau],물이 무서워.,
32,84,,On a peur de la mort.,[ɔ̃ n‿a pœʁ də la mɔʁ / on a peur de la mort],죽음이 무섭다.,
33,84,,Ils ont peur des animaux.,[il zɔ̃ pœʁ de z‿nimo / ils ont peur des animaux],그들은 동물이 무서워.,
