no,group,speaker,original,pron,trans,comment
1,91,,je finis,[ʒə fini / 즈 피니],나는 끝낸다 (finir),
2,91,,tu finis,[ty fini / 튀 피니],너는 끝낸다 (finir),
3,91,,il/elle/on finit,[il/ɛl/ɔ̃ fini / 일·엘·옹 피니],그/그녀/우리는 끝낸다 (finir),
4,91,,nous finissons,[nu finisɔ̃ / 누 피니송],우리는 끝낸다 (finir),
5,91,,vous finissez,[vu finise / 부 피니세],당신(들)은 끝낸다 (finir),
6,91,,ils/elles finissent,[il/ɛl finis / 일·엘 피니스],그들/그녀들은 끝낸다 (finir),
7,91,,je viens,[ʒə vjɛ̃ / 즈 비엔],나는 온다 (venir),
8,91,,nous venons,[nu vənɔ̃ / 누 버논],우리는 온다 (venir),
9,91,,tu viens,[ty vjɛ̃ / 튀 비엔],너는 온다 (venir),
10,91,,vous venez,[vu vəne / 부 버네],당신(들)은 온다 (venir),
11,91,,il/elle/on vient,[il/ɛl/ɔ̃ vjɛ̃ / 일·엘·옹 비엔],그/그녀/우리는 온다 (venir),
12,91,,ils/elles viennent,[il/ɛl vjɛn / 일·엘 비엔],그들/그녀들은 온다 (venir),
13,91,,je choisis,[ʒə ʃwazi / 즈 쑈아지],나는 고른다 (choisir),
14,91,,tu choisis,[ty ʃwazi / 튀 쑈아지],너는 고른다 (choisir),
15,91,,il/elle/on choisit,[il/ɛl/ɔ̃ ʃwazi / 일·엘·옹 쑈아지],그/그녀/우리는 고른다 (choisir),
16,91,,nous choisissons,[nu ʃwazisɔ̃ / 누 쑈아지송],우리는 고른다 (choisir),
17,91,,vous choisissez,[vu ʃwazise / 부 쑈아지세],당신(들)은 고른다 (choisir),
18,91,,ils/elles choisissent,[il/ɛl ʃwazis / 일·엘 쑈아지스],그들/그녀들은 고른다 (choisir),
19,91,,je grandis,[ʒə ɡʁɑ̃di / 즈 그랑디],나는 자란다 (grandir),
20,91,,tu grandis,[ty ɡʁɑ̃di / 튀 그랑디],너는 자란다 (grandir),
21,91,,il/elle/on grandit,[il/ɛl/ɔ̃ ɡʁɑ̃di / 일·엘·옹 그랑디],그/그녀/우리는 자란다 (grandir),
22,91,,nous grandissons,[nu ɡʁɑ̃disɔ̃ / 누 그랑디송],우리는 자란다 (grandir),
23,91,,vous grandissez,[vu ɡʁɑ̃dise / 부 그랑디세],당신(들)은 자란다 (grandir),
24,91,,ils/elles grandissent,[il/ɛl ɡʁɑ̃dis / 일·엘 그랑디스],그들/그녀들은 자란다 (grandir),
25,91,,Tu finis tôt aujourd'hui ?,[ty fini to oʒuʁdɥi / 튀 피니 토 오주르뒤],오늘 일찍 끝나?,
26,91,,Le cours finit à six heures.,[lə kuʁ fini a sis œʁ / 르 쿠르 피니 아 시스 외르],수업은 6시에 끝납니다.,
27,91,,On ne choisit pas sa famille.,[ɔ̃ nə ʃwazi pa sa famij / 옹 너 쑈아지 파 사 파미],가족은 고를 수 없습니다.,
28,91,,Vous choisissez votre dessert.,[vu ʃwazise vɔtʁ desɛʁ / 부 쑈아지세 보뜨르 데세르],디저트를 고르세요.,
29,91,,Les enfants grandissent vite.,[le zɑ̃fɑ̃ ɡʁɑ̃dis vit / 레 잉팡 그랑디스 비트],아이들은 빨리 자랍니다.,
30,91,,Vous finissez tôt aujourd'hui ? [finir],[vu finise to oʒuʁdɥi / 부 피니세 토 오주르뒤],오늘 일찍 끝나세요? [finir],
31,91,,"Non, nous finissons tard. [finir]",[nɔ̃ nu finisɔ̃ taʁ / 논 누 피니송 타르],아니요 우리는 늦게 끝납니다. [finir],
32,91,,On choisit son dessert. [choisir],[ɔ̃ ʃwazi sɔ̃ desɛʁ / 옹 쑈아지 송 데세르],디저트를 고릅니다. [choisir],
33,91,,Qu'est-ce que tu choisis comme dessert ? [choisir],[kɛs kə ty ʃwazi kɔm desɛʁ / 케스크 튀 쑈아지 콤 데세르],디저트로 뭘 고를 거야? [choisir],
34,91,,Les enfants grandissent vite. [grandir],[le zɑ̃fɑ̃ ɡʁɑ̃dis vit / 레 잉팡 그랑디스 비트],아이들은 빨리 자랍니다. [grandir],
35,91,,Ma curiosité grandit. [grandir],[ma kyʁjozite ɡʁɑ̃di / 마 퀴리오지테 그랑디],내 호기심이 커집니다. [grandir],
36,91,,Tu ne finis pas ton café ?,[ty nə fini pa tɔ̃ kafe / 튀 너 피니 파 통 카페],커피 다 안 마셔?,
37,91,,Vous ne finissez pas votre café ?,[vu nə finise pa vɔtʁ kafe / 부 너 피니세 파 보뜨르 카페],커피 다 안 드세요?,
38,91,,Elle finit son livre.,[ɛl fini sɔ̃ livʁ / 엘 피니 송 리브르],그녀는 책을 다 읽습니다.,
39,91,,Elles finissent leur livre.,[ɛl finis lœʁ livʁ / 엘 피니스 뢰르 리브르],그녀들은 책을 다 읽습니다.,
40,91,,Je finis à 18 heures.,[ʒə fini a dizɥit œʁ / 즈 피니 아 디쥐트 외르],나는 6시에 끝납니다.,
41,91,,Nous finissons à 18 heures.,[nu finisɔ̃ a dizɥit œʁ / 누 피니송 아 디쥐트 외르],우리는 6시에 끝납니다.,
42,91,,Tu choisis ta place.,[ty ʃwazi ta plas / 튀 쑈아지 타 플라스],자리를 고르세요.,
43,91,,Vous choisissez votre place.,[vu ʃwazise vɔtʁ plas / 부 쑈아지세 보뜨르 플라스],자리를 고르세요.,
44,91,,Je ne choisis pas ma famille.,[ʒə nə ʃwazi pa ma famij / 즈 너 쑈아지 파 마 파미],나는 가족을 고를 수 없습니다.,
45,91,,Nous ne choisissons pas notre famille.,[nu nə ʃwazisɔ̃ pa nɔtʁ famij / 누 너 쑈아지송 파 노트르 파미],우리는 가족을 고를 수 없습니다.,
