no,group,speaker,original,pron,trans,comment
1,2,A,Tu fais quoi dans la vie ?,튜 페 꿔 당 라 비,너는 무슨 일 해? / 직업이 뭐야?,상대의 직업을 묻는 표현
2,2,B,Je suis étudiant en logistique.,즈 스위 에뛰디앙 앙 로지스틱,나는 물류학 전공 학생이에요.,en + 전공명
3,2,B,Je suis développeur et étudiant.,즈 스위 디벨로뻬흐 에 에뛰디앙,나는 개발자이자 학생이에요.,남성형
4,2,B,Je suis développeuse et étudiante.,즈 스위 디벨로뻬우즈 에 에뛰디안뜨,나는 개발자이자 학생이에요.,여성형
5,2,B,Je suis dev et étudiant.,즈 스위 데브 에 에뛰디앙,나 개발자이자 학생이야.,비격식 줄임
6,2,B,Je travaille comme développeur et j’étudie à l’université.,즈 뜨하바이 꼼 디벨로뻬흐 에 쥬에튀디 알뤼니베흐시떼,나는 개발자로 일하면서 대학에서 공부해요.,comme = ~로서
7,2,B,Je suis à la fois développeur et étudiant en informatique.,즈 스위 알라 프와 디벨로뻬흐 에 에뛰디앙 앙 앙포흐마틱,나는 동시에 개발자이자 정보공학을 공부하는 학생이에요.,à la fois = 동시에
8,3,A,Tu aimes les films d’horreur ?,튜 엠 레 필름 도허흐,너 공포영화 좋아해?,호불호 묻는 표현
9,3,B,"Oui, j’aime les films d’horreur.","위, 젬 레 필름 도허흐","응, 공포영화 좋아해.",
10,3,B,"Non, je n’aime pas les films d’horreur.","농, 져 넴 빠 레 필름 도허흐","아니, 공포영화 안 좋아해.",부정형 ne...pas
11,3,A,Tu aimes quel genre de film ?,튜 엠 껠 쟝흐 드 필름,어떤 장르 영화 좋아해?,
12,3,B,J’aime les films d’action.,젬 레 필름 닥시옹,나는 액션 영화를 좋아해.,
13,3,B,J’aime les comédies.,젬 레 꼬메디,나는 코미디를 좋아해.,
14,3,B,J’aime les films romantiques.,젬 레 필름 호망띡,나는 로맨스 영화를 좋아해.,
15,3,B,J’aime les films de science-fiction.,젬 레 필름 드 씨앙스 픽시옹,나는 SF 영화를 좋아해.,
16,3,B,J’aime les films d’animation.,젬 레 필름 다니마시옹,나는 애니메이션 영화를 좋아해.,
17,3,A,Tu aimes quoi ?,튜 엠 꿔,너 뭐 좋아해?,quoi = 무엇
18,3,A,Tu aimes quoi comme musique ?,튜 엠 꿔 꼼 뮈지끄,어떤 음악 좋아해?,
19,3,A,Tu aimes quoi comme film ?,튜 엠 꿔 꼼 필름,어떤 영화 좋아해?,
20,3,A,Tu aimes quoi manger ?,튜 엠 꿔 몽제,뭐 먹는 거 좋아해?,
21,3,B,J’aime le café et les films d’animation.,젬 르 카페 에 레 필름 다니마시옹,나는 커피랑 애니메이션 영화 좋아해.,
22,4,A,Tu étudies quoi ?,튜 에튀디 꿔,너 뭐 공부해?,étudier = 공부하다
23,4,B,J’étudie l’informatique.,쥬에튀디 랭포흐마틱,나는 정보공학을 공부해.,
24,4,B,J’étudie la logistique.,쥬에튀디 라 로지스틱,나는 물류학을 공부해.,
25,4,B,J’étudie le français.,쥬에튀디 르 프헝세,나는 프랑스어를 공부해.,
26,4,B,J’étudie l’économie.,쥬에튀디 레코노미,나는 경제학을 공부해.,
27,4,B,J’étudie la musique.,쥬에튀디 라 뮈지끄,나는 음악을 공부해.,
28,4,A,Tu parles quelles langues ?,튜 빠흘 껠 랑그,너 무슨 언어 할 줄 알아?,langue = 언어(여성명사)
29,4,B,Je parle coréen et un peu français.,즈 빠흘 꼬헤엥 에 엉 뻬 프헝세,나는 한국어랑 프랑스어 조금 해.,
30,4,B,"Je parle anglais, coréen et japonais.","즈 빠흘 앙글레, 꼬헤엥 에 자빠네","나는 영어, 한국어, 일본어 해.",
31,4,A,Tu parles français ?,튜 빠흘 프헝세,프랑스어 할 줄 알아?,
32,4,A,Tu parles anglais ?,튜 빠흘 앙글레,영어 할 줄 알아?,
33,4,A,Tu parles bien français !,튜 빠흘 비엥 프헝세,프랑스어 잘하네!,칭찬 표현
34,5,A,Tu habites où ?,튜 아빗 우,너 어디 살아?,habiter = 살다
35,5,B,J’habite à 전주.,자빗 아 전주,나는 전주에 살아.,도시 앞에는 à 사용
36,5,A,Tu habites au Japon ?,튜 아빗 오 자뽕,너 일본에 살아?,남성국가 → au
37,5,B,"Non, j’habite pas au Japon.","농, 자빗 빠 오 자뽕","아니, 일본에 안 살아.",부정형 ne...pas
38,5,A,Tu habites en France ?,튜 아빗 앙 프헝스,너 프랑스에 살아?,여성국가 → en
39,5,B,"Non, j’habite pas en France.","농, 자빗 빠 앙 프헝스","아니, 프랑스에 안 살아.",
40,5,A,Tu habites aux États-Unis ?,튜 아빗 오제따쥬니,너 미국에 살아?,복수국가 → aux
41,5,B,"Non, j’habite pas aux États-Unis.","농, 자빗 빠 오제따쥬니","아니, 미국에 안 살아.",
42,5,A,Tu habites à 전주 ?,튜 아빗 아 전주,전주에 살아?,도시 앞 à
43,5,B,"Oui, j’habite à 전주.","위, 자빗 아 전주","응, 전주에 살아.",긍정형
44,5,B,"Non, j’habite pas à 전주.","농, 자빗 빠 아 전주","아니, 전주에 안 살아.",부정형
45,5,A,C’est 이효리.,쎄 이효리,이효리예요.,C’est = ~이다
46,5,B,Elle est coréenne.,엘 에 꼬헤엔느,그녀는 한국인이에요.,여성형
47,5,B,Elle habite à Séoul.,엘 아빗 아 세울,그녀는 서울에 살아요.,
