no,group,speaker,original,pron,trans,comment
1,153,,Vous venez d'où ?,[vu vəne du / 부 ve네 뒤],어디에서 오셨나요?,
2,153,,Je viens de France.,[ʒə vjɛ̃ də fʁɑ̃s / 즈 비앙 드 프랑스],저는 프랑스에서 왔습니다.,
3,153,,Ils sont partis de Marseille à 14 heures et (ils) sont arrivés à Paris vers 19 heures.,"[il sɔ̃ paʁti də maʁsɛj a kaʁɔ̃z œʁ e (il) sɔ̃ aʁive a paʁi vɛʁ diznœv œʁ / 일 송 파르티 드 마르세이 아 카흐롱즈 외르 에 (일) 송 아리베 아 파리 베흐 디즈뇌프 외르]",그들은 14시에 마르세유를 떠나 19시쯤 파리에 도착했습니다.,
4,153,,Ils sont arrivés à Paris vers 19 heures.,[il sɔ̃ aʁive a paʁi vɛʁ diznœv œʁ / 일 송 아리베 아 파리 베흐 디즈뇌프 외르],그들은 19시쯤 파리에 도착했습니다.,
5,153,,Ils sont partis de Marseille à 14 heures.,[il sɔ̃ paʁti də maʁsɛj a kaʁɔ̃z œʁ / 일 송 파르티 드 마르세이 아 카흐롱즈 외르],그들은 14시에 마르세유를 떠났습니다.,
6,153,,Elles sont sorties du magasin de vêtements et (elles) sont entrées au café.,"[ɛl sɔ̃ sɔʁti dy magazɛ̃ də vɛtmɑ̃ e (ɛl) sɔ̃ ɑ̃tʁe o kafe / 엘 송 소르티 뒤 마가진 드 베트망 에 (엘) 송 앙트레 오 카페]",그녀들은 옷가게에서 나와 카페에 들어갔습니다.,
7,153,,Nous avons habité à Lyon pendant 10 ans.,[nu z‿avɔ̃ abite a ljɔ̃ pɑ̃dɑ̃ dis ɑ̃ / 누 자봉 아비테 아 리옹 팡당 디스 앙],우리는 10년 동안 리옹에 살았습니다.,
8,153,,Ils sont partis en France.,[il sɔ̃ paʁti ɑ̃ fʁɑ̃s / 일 송 파르티 앙 프랑스],그들은 프랑스로 떠났습니다.,
9,153,,Elles sont montées en voiture.,[ɛl sɔ̃ mɔ̃te ɑ̃ vwatyʁ / 엘 송 몽테 앙 브와튀르],그녀들은 차에 탔습니다.,
10,153,,Elles sont montées en voiture.,[ɛl sɔ̃ mɔ̃te ɑ̃ vwatyʁ / 엘 송 몽테 앙 브와튀르],그녀들은 차에 탔습니다.,
11,153,,Nous habitons en banlieue.,[nu zabitɔ̃ ɑ̃ bɑ̃ljø / 누 자비통 앙 방리외],우리는 교외에 삽니다.,
12,153,,Elles sont montées en voiture.,[ɛl sɔ̃ mɔ̃te ɑ̃ vwatyʁ / 엘 송 몽테 앙 브와튀르],그녀들은 차에 탔습니다.,
