no,group,speaker,original,pron,trans,comment
1,52,,Mon sac est petit.,[mɔ̃ sak ɛ pətit / 몽 삭 에 쁘티],내 가방은 작아요.,
2,52,,Vos enfants sont adorables.,[vo z‿ɑ̃fɑ̃ sɔ̃t‿adɔʁabl / 보 잉팡 송 어도라블],당신 아이들은 사랑스러워요.,
3,52,,Ces chaises sont confortables.,[se ʃɛz sɔ̃ kɔ̃fɔʁtabl / 세 쎄즈 송 콩포르타블],이 의자들은 편해요.,
4,52,,J'ai un petit sac.,[ʒe œ̃ pətit sak / 제 엉 쁘티 삭],작은 가방이 있어요.,
5,52,,Vous avez des enfants adorables.,[vu zave de z‿ɑ̃fɑ̃ adɔʁabl / 부 자베 데 잉팡 어도라블],사랑스러운 아이들이 있으세요.,
6,52,,Nous avons des chaises confortables.,[nu zavɔ̃ de ʃɛz kɔ̃fɔʁtabl / 누 자봉 데 쎄즈 콩포르타블],편한 의자들이 있어요.,
7,52,,C'est mon chanteur préféré.,[sɛ mɔ̃ ʃɑ̃tœʁ pʁefeʁe / 세 몽 샹터 프에헤레],내가 좋아하는 남자 가수예요.,
8,52,,C'est ma chanteuse préférée.,[sɛ ma ʃɑ̃tøz pʁefeʁe / 세 마 샹터즈 프에헤레],내가 좋아하는 여자 가수예요.,
9,52,,Ce sont mes chanteurs préférés.,[sə sɔ̃ me ʃɑ̃tœʁ pʁefeʁe / 스 송 메 샹터 프에헤레],내가 좋아하는 남자 가수들이에요.,
10,52,,Ce sont mes chanteuses préférées.,[sə sɔ̃ me ʃɑ̃tøz pʁefeʁe / 스 송 메 샹터즈 프에헤레],내가 좋아하는 여자 가수들이에요.,
11,52,,Il est riche.,[il ɛ ʁiʃ / 일 에 리쉬],그는 부자예요.,
12,52,,Elle est riche.,[ɛl ɛ ʁiʃ / 엘 에 리쉬],그녀는 부자예요.,
13,52,,Il est italien.,[il ɛ italjɛ̃ / 일 에 이탈리엥],그는 이탈리아 남자예요.,
14,52,,Elle est italienne.,[ɛl ɛ italjɛn / 엘 에 이탈리엔],그녀는 이탈리아 여자예요.,
15,52,,Il est bon.,[il ɛ bɔ̃ / 일 에 봉],그는 착해요.,
16,52,,Elle est bonne.,[ɛl ɛ bɔn / 엘 에 본],그녀는 착해요.,
17,52,,Il est gros.,[il ɛ gʁo / 일 에 그로],그는 뚱뚱해요.,
18,52,,Elle est grosse.,[ɛl ɛ gʁos / 엘 에 그로스],그녀는 뚱뚱해요.,
19,52,,Il est cher.,[il ɛ ʃɛʁ / 일 에 쎄르],그는 비싸요.,
