"no","group","speaker","original","pron","trans","comment"
"1","-","00:00:00,480 --> 00:00:04,140","Ces immeubles ne vous sont sûrement pas inconnus, et vous avez sans doute pu en","쎄 임뫼블 느 부 송 쉬흐망 빠 앙꼬뉘 에 부 자베 쌍 두뜨 퓌 앙","이 건물들은 분명 낯설지 않으실 것이고, 아마도 보신 적이 있을 겁니다.",""
"2","-","00:00:04,140 --> 00:00:09,600","apercevoir en arpentant les rues de Paris. Ils ont un style très spécifique. D’abord,","아페흐스부아흐 앙 아흐빵땅 레 뤼 드 빠히 일 존 탕 스틸 트헤 스페씨피끄 다보흐","파리 거리를 걸으며 보셨을 것입니다. 이 건물들은 매우 독특한 스타일을 가지고 있습니다. 먼저,",""
"3","-","00:00:09,600 --> 00:00:13,860","leur composition, avec leur façade en pierre de taille et leur toit en","뢰흐 꽁뽀지씨옹 아벡 뢰흐 파싸드 앙 삐에흐 드 따이 에 뢰흐 뚜아 앙","구성입니다. 정교한 석재 외벽과 지붕은",""
"4","-","00:00:13,860 --> 00:00:19,140","ardoise ou en zinc. Et puis leurs six étages, avec chacun leurs propres caractéristiques.","아흐두아즈 우 앙 쟁크 에 퓌 뢰흐 씩스 에따쥬 아벡 샤꽁 뢰흐 프로프 까흑떼히스티끄","슬레이트나 아연으로 되어 있으며, 여섯 개 층 각각 고유한 특징을 가지고 있습니다.",""
"5","-","00:00:20,520 --> 00:00:25,140","Le rez-de-chaussée, haut de plafond, abritant souvent des commerces.","르 헤 드 쇼쎄 오 드 쁠라퐁 아브히땅 수방 데 꼬메흐스","1층은 천장이 높고 상점들이 들어서 있습니다.",""
"6","-","00:00:25,140 --> 00:00:31,320","Le premier étage, appelé entresol, réservé au logement des magasins ou le stockage de marchandises.","르 프흐미에흐 에따쥬 아쁠레 앙뜨흐솔 헤제흐베 오 로쥬망 데 마가쟁 우 르 스또까쥬 드 마흐샹디즈","2층(앙트르솔)은 상점 관련 공간이나 창고로 사용됩니다.",""
"7","-","00:00:31,320 --> 00:00:37,020","Le deuxième étage, l’étage noble, avec balcon et encadrements de fenêtres sophistiqués, destiné aux ménages les","르 되지엠 에따쥬 레따쥬 노블 아벡 발꽁 에 앙까드흐망 드 프네뜨흐 소피스티께 데스티네 오 메나쥬 레","3층은 귀족층으로 발코니와 장식이 있으며 부유층이 거주했습니다.",""
"8","-","00:00:37,020 --> 00:00:42,960","plus riches. Le troisième et le quatrième étage, plus classiques, dépourvus de balcon.","플뤼 히쉬 르 트화지엠 에 르 까트히엠 에따쥬 플뤼 클라씨끄 데푸흐뷔 드 발꽁","그 위층은 비교적 단순하며 발코니가 없습니다.",""
"9","-","00:00:42,960 --> 00:00:48,780","Le cinquième étage et son balcon filant, installé dans un souci d’équilibre esthétique.","르 쌍끼엠 에따쥬 에 송 발꽁 필랑 앙스딸레 당 쟁 수씨 데낄리브르 에스테띠끄","6층은 건물 전체를 따라 이어지는 발코니가 있습니다.",""
"10","-","00:00:48,780 --> 00:00:53,340","Et enfin le sixième étage, servant de combles ou d’appartements de service, avec ses fameuses chambres de bonnes.","에 앙팽 르 씨지엠 에따쥬 세흐방 드 꽁블 우 다빠흐뜨망 드 세흐비스 아벡 세 파뫼즈 샹브흐 드 본","마지막 층은 다락이나 하인용 방으로 사용됩니다.",""
"11","-","00:00:53,340 --> 00:00:58,380","Cet immeuble unique en son genre tient son nom du baron Haussmann. Un homme,","쎄 임뫼블 유니크 앙 송 장흐 티앙 송 놈 뒤 바홍 오스만 엉 놈","이 독특한 건물은 오스만 남작의 이름에서 유래했습니다. 한 인물입니다.",""
