no,group,speaker,original,pron,trans,comment
21,number,Number,vingt et un,방테 엉,21,
22,number,Number,vingt-deux,방되,22,
23,number,Number,vingt-trois,방트루아,23,
24,number,Number,vingt-quatre,방카트르,24,
25,number,Number,vingt-cinq,방생크,25,
26,number,Number,vingt-six,방시스,26,
27,number,Number,vingt-sept,방셋,27,
28,number,Number,vingt-huit,방위트,28,
29,number,Number,vingt-neuf,방뇌프,29,
30,number,Number,trente,트랑트,30,
31,number,Number,trente et un,트랑테 엉,31,
32,number,Number,trente-deux,트랑드,32,
33,number,Number,trente-trois,트랑트루아,33,
34,number,Number,trente-quatre,트랑카트르,34,
35,number,Number,trente-cinq,트랑생크,35,
36,number,Number,trente-six,트랑시스,36,
37,number,Number,trente-sept,트랑셋,37,
38,number,Number,trente-huit,트랑위트,38,
39,number,Number,trente-neuf,트랑뇌프,39,
40,number,Number,quarante,카랑트,40,
