no,group,speaker,original,pron,trans,comment
1,62,,On sonne à la porte.,[ɔ̃ sɔn a la pɔʁt / 옹 손 아 라 포르트],문을 두드립니다.,
2,62,,On parle français en France.,[ɔ̃ paʁl fʁɑ̃sɛ ɑ̃ fʁɑ̃s / 옹 파를 프랑세 앙 프랑스],프랑스에서는 프랑스어를 씁니다.,
3,62,,Les Français parlent français.,[le fʁɑ̃sɛ paʁl fʁɑ̃sɛ / 르 프랑세 파를 프랑세],프랑스인들은 프랑스어를 합니다.,
4,62,,On est quatre.,[ɔ̃ nɛ katʁ / 옹 네 카트르],우리는 네 명이에요.,
5,62,,Nous sommes quatre.,[nu sɔm katʁ / 누 솜 카트르],우리는 네 명이에요.,
6,62,,Nous sommes prêts.,[nu sɔm pʁɛ / 누 솜 프레],우리는 준비됐어요.,
7,62,,On est prêts.,[ɔ̃ nɛ pʁɛ / 옹 네 프레],우리는 준비됐어요.,
8,62,,Nous aimons les chansons françaises.,[nu zɛmɔ̃ le ʃɑ̃sɔ̃ fʁɑ̃sɛz / 누 제몽 레 샹송 프랑세즈],우리는 프랑스 노래를 좋아해요.,
9,62,,On aime les chansons françaises.,[ɔ̃ nɛm le ʃɑ̃sɔ̃ fʁɑ̃sɛz / 옹 넴 레 샹송 프랑세즈],우리는 프랑스 노래를 좋아해요.,
10,62,,Nous étudions le français.,[nu zetydjɔ̃ lə fʁɑ̃sɛ / 누 제튀디옹 르 프랑세],우리는 프랑스어를 공부해요.,
11,62,,On étudie le français.,[ɔ̃ netydje lə fʁɑ̃sɛ / 옹 네튀디 르 프랑세],우리는 프랑스어를 공부해요.,
12,62,,Nous écoutons le professeur.,[nu zekutɔ̃ lə pʁɔfesœʁ / 누 제쿠통 르 프로페쇠르],우리는 선생님 말씀을 들어요.,
13,62,,On écoute le professeur.,[ɔ̃ nekut lə pʁɔfesœʁ / 옹 네쿠트 르 프로페쇠르],우리는 선생님 말씀을 들어요.,
14,62,,On est cinq. [être],[ɔ̃ nɛ sɛ̃k / 옹 네 쌍크],우리는 다섯 명이에요. [être],
15,62,,On a 20 ans. [avoir],[ɔ̃ na vɛ̃ tɑ̃ / 옹 나 방 탕],우리는 스무 살이에요. [avoir],
16,62,,On déjeune ensemble ? [déjeuner],[ɔ̃ deʒœn ɑ̃sɑ̃bl / 옹 데죄느 앙쌍블],함께 점심 먹을까? [déjeuner],
17,62,,On aime les chats. [aimer],[ɔ̃ nɛm le ʃa / 옹 넴 레 샤],우리는 고양이를 좋아해요. [aimer],
18,62,,On écoute la radio. [écouter],[ɔ̃ nekut la ʁadjo / 옹 네쿠트 라 라디오],우리는 라디오를 들어요. [écouter],
19,62,,On habite à Séoul. [habiter],[ɔ̃ nabit a seul / 옹 나비트 아 서울],우리는 서울에 살아요. [habiter],
