no,group,speaker,original,pron,trans,comment
1,92,,je cours,[ʒə kuʁ / 즈 쿠르],나는 달린다 (courir),
2,92,,nous courons,[nu kuʁɔ̃ / 누 쿠롱],우리는 달린다 (courir),
3,92,,tu cours,[ty kuʁ / 튀 쿠르],너는 달린다 (courir),
4,92,,vous courez,[vu kuʁe / 부 쿠레],당신(들)은 달린다 (courir),
5,92,,il/elle/on court,[il/ɛl/ɔ̃ kuʁ / 일·엘·옹 쿠르],그/그녀/우리는 달린다 (courir),
6,92,,ils/elles courent,[il/ɛl kuʁ / 일·엘 쿠르],그들/그녀들은 달린다 (courir),
7,92,,Tu cours !,[ty kuʁ / 튀 쿠르],뛰어!,
8,92,,Mon chien court très vite.,[mɔ̃ ʃjɛ̃ kuʁ tʁɛ vit / 몽 셴 쿠르 트레 비트],내 개는 아주 빨리 달립니다.,
9,92,,Les enfants courent à la mer.,[le zɑ̃fɑ̃ kuʁ a la mɛʁ / 레 잉팡 쿠르 아 라 메르],아이들은 바다로 달려갑니다.,
10,92,,je pars,[ʒə paʁ / 즈 파르],나는 떠난다 (partir),
11,92,,nous partons,[nu paʁtɔ̃ / 누 파르통],우리는 떠난다 (partir),
12,92,,tu pars,[ty paʁ / 튀 파르],너는 떠난다 (partir),
13,92,,vous partez,[vu paʁte / 부 파르테],당신(들)은 떠난다 (partir),
14,92,,il/elle/on part,[il/ɛl/ɔ̃ paʁ / 일·엘·옹 파르],그/그녀/우리는 떠난다 (partir),
15,92,,ils/elles partent,[il/ɛl paʁ / 일·엘 파르],그들/그녀들은 떠난다 (partir),
16,92,,Le train part.,[lə tʁɛ̃ paʁ / 르 트랑 파르],기차가 출발합니다.,
17,92,,Vous partez en vacances ?,[vu paʁte ɑ̃ vakɑ̃s / 부 파르테 앙 바깡스],휴가를 떠나세요?,
18,92,,Nous sortons pour manger au restaurant.,[nu sɔʁtɔ̃ puʁ mɑ̃ʒe o ʁɛstoʁɑ̃ / 누 소르통 퓌르 망제 오 헤스토랑],우리는 식당에서 먹으러 나갑니다.,
19,92,,je dors,[ʒə dɔʁ / 즈 도르],나는 잔다 (dormir),
20,92,,nous dormons,[nu dɔʁmɔ̃ / 누 도르몽],우리는 잔다 (dormir),
21,92,,tu dors,[ty dɔʁ / 튀 도르],너는 잔다 (dormir),
22,92,,vous dormez,[vu dɔʁme / 부 도르메],당신(들)은 잔다 (dormir),
23,92,,il/elle/on dort,[il/ɛl/ɔ̃ dɔʁ / 일·엘·옹 도르],그/그녀/우리는 잔다 (dormir),
24,92,,ils/elles dorment,[il/ɛl dɔʁ / 일·엘 도르],그들/그녀들은 잔다 (dormir),
25,92,,"Dormez-vous, Monsieur ?",[dɔʁme vu məsjø / 도르메 부 머슈],"주무시나요 선생님?",
26,92,,Les enfants dorment dans leur chambre.,[le zɑ̃fɑ̃ dɔʁ dɑ̃ lœʁ ʃɑ̃bʁ / 레 잉팡 도르 당 뢰르 샹브르],아이들은 자기 방에서 잡니다.,
