no,group,speaker,original,pron,trans,comment
1,104,,Tu veux un peu de café?,[ty vø œ̃ pø də kafe / 튀 뵈 엉 퍼 드 카페],커피 조금 마실래?,
2,104,,On a assez de lait.,[ɔ̃ n‿ase də lɛ / 옹 나세 드 레],우리는 우유가 충분해.,
3,104,,Elle boit beaucoup d'eau.,[ɛl bwa boku do / 엘 브와 보쿠 도],그녀는 물을 많이 마십니다.,
4,104,,Ils boivent trop de vin.,[il bwav tʁo də vɛ̃ / 일 브완 트로 드 뱅],그들은 와인을 너무 많이 마십니다.,
5,104,,Vous voulez un peu de pommes ?,[vu vule œ̃ pø də pom / 부 뷸레 엉 퍼 드 뽐],사과 조금 원하세요?,
6,104,,Nous avons assez de pommes de terre.,[nu zavɔ̃ ase də pɔm də tɛʁ / 누 자봉 아세 드 뽐 드 테르],우리는 감자가 충분합니다.,
7,104,,On prend beaucoup d'oranges.,[ɔ̃ pʁɑ̃ boku dɔʁɑ̃ʒ / 옹 프랑 보쿠 도랑주],우리는 오렌지를 많이 삽니다.,
8,104,,Ils prennent trop de tomates.,[il pʁɛn tʁo də tɔmat / 일 프헨 트로 드 토마트],그들은 토마토를 너무 많이 삽니다.,
9,104,,Vous avez combien d'enfants?,[vu zave kɔ̃bjɛ̃ dɑ̃fɑ̃ / 부 자베 콩비앙 댕팡],자녀가 몇 명이세요?,
10,104,,J'ai un garçon et une fille.,[ʒe œ̃ gaʁsɔ̃ e yn fij / 제 엉 가르쏭 에 인 필],아들 하나와 딸 하나가 있습니다.,
11,104,,Vous voulez combien de baguettes?,[vu vule kɔ̃bjɛ̃ də bagɛt / 부 뷸레 콩비앙 드 바게트],바게트 몇 개 원하세요?,
12,104,,Je voudrais 3 baguettes s'il vous plaît.,[ʒə vudʁɛ tʁwa bagɛt sil vu plɛ / 즈 부드레 트와 바게트 실 부 플레],바게트 세 개 주세요.,
13,104,,J'achète combien de pommes?,[ʒaʃt kɔ̃bjɛ̃ də pom / 자슈트 콩비앙 드 뽐],사과를 몇 개 살까?,
