no,group,speaker,original,pron,trans,comment
1,1,,"zéro","제로","0","기본 숫자"
2,1,,"un / une","앙 / 윈","1","남성명사 un / 여성명사 une"
3,1,,"deux","되","2",""
4,1,,"trois","트루아","3",""
5,1,,"quatre","까뜨르","4",""
6,1,,"cinq","쌍끄","5",""
7,1,,"six","씨스","6",""
8,1,,"sept","세뜨","7",""
9,1,,"huit","위뜨","8",""
10,1,,"neuf","느프","9",""
11,1,,"dix","딕스","10",""
12,1,,"onze","온즈","11",""
13,1,,"douze","두즈","12",""
14,1,,"treize","트레즈","13",""
15,1,,"quatorze","까또르즈","14",""
16,1,,"quinze","깡즈","15",""
17,1,,"seize","세즈","16",""
18,1,,"dix-sept","딕쎄뜨","17",""
19,1,,"dix-huit","디즈윗","18",""
20,1,,"dix-neuf","디즈느프","19",""
21,1,,"vingt","뱅","20",""
22,1,,"vingt et un","뱅떼앙","21",""
23,1,,"vingt-deux","뱅되","22",""
24,1,,"trente","뜨헝뜨","30",""
25,1,,"trente et un","뜨헝떼앙","31",""
26,1,,"quarante","까헝뜨","40",""
27,1,,"quarante-deux","까헝뜨되","42",""
28,1,,"cinquante","쌍꽁뜨","50",""
29,1,,"cinquante-cinq","쌍꽁뜨쌍끄","55",""
30,1,,"soixante","스와쌍뜨","60",""
31,1,,"soixante-dix","스와쌍뜨딕스","70","60+10"
32,1,,"soixante et onze","스와쌍떼온즈","71",""
33,1,,"soixante-douze","스와쌍뜨두즈","72",""
34,1,,"quatre-vingts","까뜨르뱅","80","4×20 구조"
35,1,,"quatre-vingt-un","까뜨르뱅앵","81",""
36,1,,"quatre-vingt-dix","까뜨르뱅딕스","90","4×20+10"
37,1,,"quatre-vingt-dix-neuf","까뜨르뱅디즈느프","99",""
38,1,,"cent","썽","100",""
39,1,,"deux cents","되썽","200",""
40,1,,"mille","밀","1000",""
41,1,,"dix mille","딕밀","10,000",""
42,1,,"cent mille","썽밀","100,000",""
43,1,,"un million","앙 밀리옹","1,000,000",""
44,1,,"un milliard","앙 밀리아흐","1,000,000,000",""
