no,group,speaker,original,pron,trans,comment
0,15,Réceptionniste,"Cabinet médical du docteur Rousseau, bonjour?","[kabinɛ medikal dy dɔktœʁ ʁuso, bɔ̃ʒuʁ / 카비네 메디칼 뒤 독퇴르 루소, 봉주르]","루소 의사 진료소입니다, 안녕하세요?",
1,15,Patient,"Allo? Oui, bonjour, j'aimerais prendre rendez-vous rapidement s'il vous plaît.","[alo? wi, bɔ̃ʒuʁ, ʒɛmʁɛ pʁɑ̃dʁ ʁɑ̃devu ʁapidmɑ̃ sil vu plɛ / 알로? 위, 봉주르, 제므레 프랑드 항데부 하피드망 실 부 플레]","여보세요? 안녕하세요, 가능한 빨리 예약하고 싶습니다.",
2,15,Réceptionniste,"Bien sûr, je peux vous proposer demain matin à 11h.","[bjɛ̃ syʁ, ʒə pø vu pʁɔpoze dəmɛ̃ matɛ̃ a ɔ̃z œʁ / 비앙 쉬르, 즈 푀 부 프로포제 드망 마탱 아 옹즈 외르]","물론입니다, 내일 오전 11시 가능합니다.",
3,15,Patient,Ce n'est pas possible aujourd'hui?,[sə nɛ pa pɔsibl oʒuʁdɥi / 스 네 파 포시블 오주르뒤],오늘은 안 될까요?,
4,15,Réceptionniste,"Un instant, je vérifie. Si, ce soir à 19h.","[œ̃ n‿ɛ̃stɑ̃, ʒə veʁifi. si, sə swaʁ a diznœv œʁ / 엉 냉스탕, 즈 베리피. 시, 스 수아르 아 디즈뇌프 외르]","잠시만요, 확인해보겠습니다. 네, 오늘 저녁 7시 가능합니다.",
5,15,Patient,C'est parfait.,[sɛ paʁfɛ / 세 파르페],완벽합니다.,
6,15,Réceptionniste,Vous vous appelez comment? Votre numéro de téléphone?,[vu vu z‿aple kɔmɑ̃? vɔtʁ nymeʁo də telefɔn / 부 부자펠레 코망? 보트르 누메로 드 텔레폰],성함과 전화번호 알려주시겠어요?,
7,15,Patient,Monsieur Tual. Mon numéro de téléphone est le 06 85 74 96 25.,[məsjø tɥal. mɔ̃ nymeʁo də telefɔn ɛ lə zeʁo sis katʁ vɛ̃ sɛ̃k swasɑ̃t katɔʁz katʁ vɛ̃ sɛz vɛ̃t sɛ̃k / 므씨외 튀알. 몽 누메로 드 텔레폰 에 르 제로 식스 오트 생캉트 상트 콰트흐 뱅 상크],투알입니다. 제 전화번호는 06 85 74 96 25입니다.,
8,15,Réceptionniste,"Très bien, à ce soir monsieur Tual.","[tʁɛ bjɛ̃, a sə swaʁ məsjø tɥal / 트레 비앙, 아 스 수아르 므씨외 튀알]","좋습니다, 오늘 저녁에 뵙겠습니다.",
9,15,Patient,Bonjour docteur.,[bɔ̃ʒuʁ dɔktœʁ / 봉주르 독퇴르],"안녕하세요, 의사 선생님.",
