no,group,speaker,original,pron,trans,comment
1,41,,Ce chat est adorable.,[sə ʃa ɛ t‿adɔʁabl / 스 샤 에따도라블],이 고양이는 사랑스럽습니다.,
2,41,,Ces chats sont adorables.,[se ʃa sɔ̃t‿adɔʁabl / 세 샤 송 어도라블],이 고양이들은 사랑스럽습니다.,
3,41,,Cet enfant est adorable.,[sɛt‿ɑ̃fɑ̃ ɛ t‿adɔʁabl / 쎄땅팡 에따도라블],이 아이는 사랑스럽습니다.,
4,41,,Ces enfants sont adorables.,[se z‿ɑ̃fɑ̃ sɔ̃t‿adɔʁabl / 세 잉팡 송 어도라블],이 아이들은 사랑스럽습니다.,
5,41,,Cette fille est adorable.,[sɛt fil ɛ t‿adɔʁabl / 쎄 필 에따도라블],이 소녀는 사랑스럽습니다.,
6,41,,Ces filles sont adorables.,[se fil sɔ̃t‿adɔʁabl / 세 필 송 어도라블],이 소녀들은 사랑스럽습니다.,
7,41,,ce matin,[sə matɛ̃ / 스 마탱],오늘 아침,
8,41,,cet après-midi,[sɛt‿apʁemi di / 쎄따프헤미디],오늘 오후,
9,41,,ce soir,[sə swaʁ / 스 수아르],오늘 저녁,
10,41,,cette nuit,[sɛt nɥi / 쎄 뉘],오늘 밤,
11,41,,Tu es libre cet après-midi ?,[ty ɛ libʁ sɛt‿apʁemi di / 튀 에 리브르 쎄따프헤미디],오늘 오후에 시간 있니?,
12,41,,"Non, mais je suis libre ce soir.",[nɔ̃ mɛ ʒə sɥi libʁ sə swaʁ / 논 메 즈 쉬 리브르 스 수아르],"아니, 하지만 오늘 저녁엔 시간 있어.",
13,41,,ce printemps,[sə pʁɛ̃tɑ̃ / 스 프랑탕],이번 봄,
14,41,,cet été,[sɛt‿ete / 쎄테],이번 여름,
15,41,,cet automne,[sɛt‿otɔn / 쎄또톤],이번 가을,
16,41,,cet hiver,[sɛt‿nivɛʁ / 쎄니베르],이번 겨울,
17,41,,ce café [m.],[sə kafe / 스 카페],이 카페 [남성],
18,41,,cette boutique [f.],[sɛt butik / 쎄 부티크],이 가게 [여성],
19,41,,cet hôtel [m.],[sɛt‿otɛl / 쎄또텔],이 호텔 [남성],
20,41,,cette école [f.],[sɛt ekɔl / 쎄 에콜],이 학교 [여성],
21,41,,ce printemps [m.],[sə pʁɛ̃tɑ̃ / 스 프랑탕],이번 봄 [남성],
22,41,,cet automne [m.],[sɛt‿otɔn / 쎄또톤],이번 가을 [남성],
23,41,,Ce restaurant est excellent.,[sə ʁɛstɔʁɑ̃ ɛ t‿ɛksɛlɑ̃ / 스 레스토랑 에텍셀랑],이 식당은 훌륭합니다.,
24,41,,Ces restaurants sont excellents.,[se ʁɛstɔʁɑ̃ sɔ̃ t‿ɛksɛlɑ̃ / 세 레스토랑 송 텍셀랑],이 식당들은 훌륭합니다.,
25,41,,Cet acteur est célèbre.,[sɛt‿aktœʁ ɛ selɛbʁ / 쎄따크터 에 셀레브르],이 배우는 유명합니다.,
26,41,,Ces acteurs sont célèbres.,[se z‿aktœʁ sɔ̃ selɛbʁ / 세 잭터 송 셀레브르],이 배우들은 유명합니다.,
27,41,,Cet hôtel est agréable.,[sɛt‿otɛl ɛ t‿aɡʁeabl / 쎄또텔 에따그레아블],이 호텔은 쾌적합니다.,
28,41,,Ces hôtels sont agréables.,[se z‿otɛl sɔ̃ t‿aɡʁeabl / 세 z오텔 송 어끄레아블],이 호텔들은 쾌적합니다.,
29,41,,Cette école est petite.,[sɛt ekɔl ɛ t‿pətit / 쎄 에콜 에뜨 쁘티],이 학교는 작습니다.,
30,41,,Ces écoles sont petites.,[se zekɔl sɔ̃ pətit / 세 제콜 송 쁘티],이 학교들은 작습니다.,
31,41,,Cette maison est grande.,[sɛt mɛzɔ̃ ɛ t‿gʁɑ̃d / 쎄 메종 에뜨 그랑],이 집은 큽니다.,
32,41,,Ces maisons sont grandes.,[se mɛzɔ̃ sɔ̃ gʁɑ̃d / 세 메종 송 그랑],이 집들은 큽니다.,
33,41,,Ce serveur est sympathique.,[sə sɛʁvœʁ ɛ sɛ̃patik / 스 세르버 에 쌍파티크],이 웨이터는 친절합니다.,
34,41,,Ces serveurs sont sympathiques.,[se sɛʁvœʁ sɔ̃ sɛ̃patik / 세 세르버 송 쌍파티크],이 웨이터들은 친절합니다.,
