no,group,speaker,original,pron,trans,comment
1,82,,Tu vas bien ?,[ty va bjɛ̃ / tu vas bien],잘 지내?,
2,82,,"Oui, ça va, merci.",[wi sa va mɛʁsi / oui ça va merci],"응, 잘 지내, 고마워.",
3,82,,Comment allez-vous ?,[kɔmɑ̃ t‿ale vu / comment allez-vous],어떻게 지내세요?,
4,82,,"Je vais très bien, merci.",[ʒə vɛ tʁɛ bjɛ̃ mɛʁsi / je vais très bien merci],"아주 잘 지내요, 감사합니다.",
5,82,,Je vais à Paris.,[ʒə vɛ a paʁi / je vais a Paris],파리에 갑니다.,
6,82,,Tu vas chez tes parents ?,[ty va ʃe te paʁɑ̃ / tu vas chez tes parents],부모님 댁에 가?,
7,82,,Ils vont en France.,[il vɔ̃ ɑ̃ fʁɑ̃s / ils vont en France],그들은 프랑스에 갑니다.,
8,82,,Tu vas au cinéma ?,[ty va o sinema / tu vas au cinéma],영화관에 가?,
9,82,,Il va à la boulangerie.,[il va a la bulɑ̃ʒʁi / il va a la boulangerie],빵집에 갑니다.,
10,82,,Nous allons à l'université.,[nu zalɔ̃ a lynivɛʁsite / nous allons a luniversité],대학에 갑니다.,
11,82,,Vous allez aux toilettes ?,[vu zale o twalɛt / vous allez aux toilettes],화장실에 가세요?,
12,82,,je viens,[ʒə vjɛ̃ / je viens],나는 온다 (venir),
13,82,,nous venons,[nu vənɔ̃ / nous venons],우리는 온다 (venir),
14,82,,tu viens,[ty vjɛ̃ / tu viens],너는 온다 (venir),
15,82,,vous venez,[vu vəne / vous venez],당신(들)은 온다 (venir),
16,82,,il/elle/on vient,[il/ɛl/ɔ̃ vjɛ̃ / il/elle/on vient],그/그녀/우리는 온다 (venir),
17,82,,ils/elles viennent,[il/ɛl vjɛn / ils/elles viennent],그들/그녀들은 온다 (venir),
18,82,,Il vient de Paris.,[il vjɛ̃ də paʁi / il vient de Paris],그는 파리 출신이다.,
19,82,,Il est parisien.,[il ɛ paʁizjɛ̃ / il est parisien],그는 파리 사람(남)이다.,
20,82,,Elle vient du Japon.,[ɛl vjɛ̃ dy ʒapɔ̃ / elle vient du Japon],그녀는 일본 출신이다.,
21,82,,Elle est japonaise.,[ɛl ɛ ʒapɔnɛz / elle est japonaise],그녀는 일본인(여)이다.,
22,82,,Ils viennent des États-Unis.,[il vjɛn de zetazyni / ils viennent des États-Unis],그들은 미국 출신이다.,
23,82,,Ils sont américains.,[il sɔ̃ zameʁikɛ̃ / ils sont américains],그들은 미국인(남)들이다.,
24,82,,Je viens du bureau.,[ʒə vjɛ̃ dy byʁo / je viens du bureau],사무실에서 왔어.,
25,82,,Nous venons de l'université.,[nu vənɔ̃ də lynivɛʁsite / nous venons de luniversité],대학에서 왔습니다.,
26,82,,Vous venez chez moi ce soir ?,[vu vəne ʃe mwa sə swaʁ / vous venez chez moi ce soir],오늘 저녁 우리 집에 올 거예요?,
27,82,,Je vais en France.,[ʒə vɛ ɑ̃ fʁɑ̃s / je vais en France],프랑스에 갑니다.,
28,82,,Je viens de France.,[ʒə vjɛ̃ də fʁɑ̃s / je viens de France],프랑스에서 왔습니다.,
29,82,,Tu vas au Sénégal ?,[ty va o senegal / tu vas au Sénégal],세네gal에 가?,
30,82,,Tu viens du Sénégal ?,[ty vjɛ̃ dy senegal / tu viens du Sénégal],세네gal에서 왔어?,
31,82,,Il va aux États-Unis.,[il va o zetazyni / il va aux États-Unis],그는 미국에 갑니다.,
32,82,,Il vient des États-Unis.,[il vjɛ̃ de zetazyni / il vient des États-Unis],그는 미국 출신입니다.,
33,82,,Ils vont à Paris.,[il vɔ̃ a paʁi / ils vont a Paris],그들은 파리에 갑니다.,
34,82,,Elles viennent de Dakar.,[ɛl vjɛn də dakaʁ / elles viennent de Dakar],그녀들은 다카르 출신입니다.,
35,82,,Je vais au bureau.,[ʒə vɛ o byʁo / je vais au bureau],사무실에 갑니다.,
36,82,,Tu vas à l'université ?,[ty va a lynivɛʁsite / tu vas a luniversité],대학에 가?,
37,82,,Nous allons à la bibliothèque.,[nu zalɔ̃ a la biblijotɛk / nous allons a la bibliothèque],도서관에 갑니다.,
38,82,,On va au cinéma ?,[ɔ̃ va o sinema / on va au cinéma],영화관에 갈까?,
39,82,,Ils vont chez leurs amis.,[il vɔ̃ ʃe lœʁ zami / ils vont chez leurs amis],그들은 친구 집에 갑니다.,
40,82,,Elle va aux États-Unis.,[ɛl va o zetazyni / elle va aux États-Unis],그녀는 미국에 갑니다.,
41,82,,Je viens de Corée.,[ʒə vjɛ̃ də kɔʁe / je viens de Corée],한국에서 왔어.,
42,82,,Tu viens du Japon ?,[ty vjɛ̃ dy ʒapɔ̃ / tu viens du Japon],일본에서 왔어?,
43,82,,Il vient du Sénégal.,[il vjɛ̃ dy senegal / il vient du Sénégal],그는 세네gal 출신이다.,
44,82,,Ils viennent des États-Unis.,[il vjɛn de zetazyni / ils viennent des États-Unis],그들은 미국 출신이다.,
45,82,,Vous venez chez moi ce soir ?,[vu vəne ʃe mwa sə swaʁ / vous venez chez moi ce soir],오늘 저녁 우리 집에 오세요?,
46,82,,Est-ce qu'elles viennent aujourd'hui ?,[ɛs kɛl vjɛn oʒuʁdɥi / est-ce quelles viennent aujourdhui],그녀들 오늘 와?,
47,82,,Tu vas en France ?,[ty va ɑ̃ fʁɑ̃s / tu vas en France],프랑스에 가?,
48,82,,Vous allez à Paris ?,[vu zale a paʁi / vous allez a Paris],파리에 가세요?,
49,82,,Ils vont au Japon.,[il vɔ̃ o ʒapɔ̃ / ils vont au Japon],그들은 일본에 갑니다.,
50,82,,Nous venons de Corée.,[nu vənɔ̃ də kɔʁe / nous venons de Corée],우리는 한국에서 왔습니다.,
51,82,,Elle vient du Japon ?,[ɛl vjɛ̃ dy ʒapɔ̃ / elle vient du Japon],그녀 일본 출신이에요?,
52,82,,Vous venez des États-Unis ?,[vu vəne de zetazyni / vous venez des États-Unis],미국에서 오셨어요?,
