Unnamed: 0,no ,group ,speaker ,original ,pron ,trans ,comment ,Unnamed: 8
,----,-------,--------,---------,------,-------,--------,
,1 ,1 ,,"Ceci est à moi, cela est à toi. ","스씨 에 아 무아, 스라 에 아 투아 ","이것은 내 것이고, 그것은 너의 것이다. ",,
,2 ,1 ,,"Pardon, monsieur, ça c’est le musée du Louvre ? ","파르동, 무씨외, 사 세 르 뮈제 뒤 루브르 ? ","실례합니다, 선생님, 이것이 루브르 박물관인가요? ",,
,3 ,1 ,,"Le gâteau aux carottes, je n’aime pas ça. ","르 가토 오 카롯, 쥬 넴 파 사 ","당근 케이크, 나는 그것을 좋아하지 않는다. ",,
,4 ,1 ,,Ça va bien ? ,사 바 비앙 ? ,잘 지내? ,,
,5 ,1 ,,Ça ne va pas mal. ,사 느 바 파 말 ,그렇게 나쁘지 않다. ,,
,6 ,1 ,,Comment vas-tu ? ,코멍 바 튀 ? ,잘 지내? ,,
,7 ,1 ,,Comment allez-vous ? ,코멍 알레 부 ? ,어떻게 지내십니까? ,,
,8 ,1 ,,Je vais très bien. ,쥬 베 트레 비앙 ,나는 매우 잘 지낸다. ,,
,9 ,1 ,,Je vais à Paris. ,쥬 베 아 파리 ,나는 파리에 간다. ,,
,10 ,1 ,,Il va à la boulangerie. ,일 바 아 라 불랑제리 ,그는 빵집에 간다. ,,
,11 ,1 ,,Nous allons à l’université. ,누 알롱 아 뤼니베르시테 ,우리는 대학에 간다. ,,
,12 ,1 ,,Les enfants vont à la mer ? ,레 장팡 봉 아 라 메르 ? ,아이들은 바다에 가나요? ,,
,13 ,1 ,,"Non, ils vont à la montagne. ","농, 일 봉 아 라 몽타뉴 ","아니요, 그들은 산으로 간다. ",,
,14 ,1 ,,"Salut Florence, ça va ? ","살뤼 플로랑스, 사 바 ? ","안녕 플로랑스, 잘 지내? ",,
,15 ,1 ,,"Oui, ça va. Et toi ? ","위, 사 바. 에 투아 ? ","응, 잘 지내. 너는? ",,
,16 ,1 ,,"Ça ne va pas mal, merci. ","사 느 바 파 말, 메르씨 ","그렇게 나쁘지 않아요, 감사합니다. ",,
,17 ,1 ,,"Bonjour Madame, comment allez-vous ? ","봉쥬르 마담, 코멍 알레 부 ? ","안녕하세요, 부인. 어떻게 지내세요? ",,
,18 ,1 ,,"Je vais très bien, merci. Et vous ? ","쥬 베 트레 비앙, 메르씨. 에 부 ? ","저는 매우 잘 지내요, 감사합니다. 당신은요? ",,
,19 ,1 ,,Les enfants vont à la mer ? ,레 장팡 봉 아 라 메르 ? ,아이들은 바다에 가나요? ,,
,20 ,1 ,,"Non, ils vont à la montagne. ","농, 일 봉 아 라 몽타뉴 ","아니요, 그들은 산으로 간다. ",,
,21 ,1 ,,Il vient de Paris ? ,일 비앙 드 파리 ? ,그는 파리 출신인가요? ,,
,22 ,1 ,,"Oui, il est parisien. ","위, 일 에 파리씨앙 ","응, 그는 파리 사람이다. ",,
,23 ,1 ,,Je viens de Paris. ,쥬 비앙 드 파리 ,나는 파리 출신이다. ,,
,24 ,1 ,,Nous venons de l’université. ,누 브느 드 뤼니베르시테 ,우리는 대학에서 왔다. ,,
,25 ,1 ,,Ils viennent de la bibliothèque. ,일 비엔 드 라 비블리오테크 ,그들은 도서관에서 왔다. ,,
,26 ,1 ,,Elle vient à la maison pour dîner avec nous. ,엘 비앙 아 라 메종 푸르 디네 아벡 누 ,그녀는 우리와 저녁 식사를 하러 집에 온다. ,,
,27 ,1 ,,"Demain, mes amis français viennent à Séoul. ","드멩, 메 자미 프헝세 비엔 아 서울 ","내일, 내 프랑스 친구들이 서울에 온다. ",,
,28 ,1 ,,Je vais au supermarché. ,쥬 베 오 슈페르마르쉐 ,나는 슈퍼마켓에 간다. ,,
,29 ,1 ,,Tu vas au bureau ? ,튀 바 오 뷔로 ? ,너는 사무실에 가니? ,,
,30 ,1 ,,Nous allons aux Champs-Élysées. ,누 잘롱 조 샹젤리제 ,우리는 샹젤리제 거리로 간다. ,,
,31 ,1 ,,Vous allez aux États-Unis ? ,부 잘레 조 제타쥬니 ? ,당신들은 미국에 가나요? ,,
,32 ,1 ,,Je viens du bureau. ,쥬 비앙 뒤 뷔로 ,나는 사무실에서 왔다. ,,
,33 ,1 ,,Ils viennent des États-Unis. ,일 비엔 데 제타쥬니 ,그들은 미국에서 왔다. ,,
,34 ,1 ,,Je viens de la gare. ,쥬 비앙 드 라 가르 ,나는 역에서 왔다. ,,
,35 ,1 ,,Il vient de l’université. ,일 비앙 드 뤼니베르시테 ,그는 대학에서 왔다. ,,
,36 ,1 ,,"Thomas, tu es où ? ","토마, 튀 에 우 ? ","토마, 너 어디에 있니? ",,
,37 ,1 ,,Je suis aux toilettes. ,쥬 스위 조 톨레트 ,나는 화장실에 있다. ,,
,38 ,1 ,,Où allez-vous ? ,우 알레 부 ? ,당신은 어디로 가십니까? ,,
,39 ,1 ,,Nous allons aux Champs-Élysées pour visiter l’Arc de Triomphe. ,누 잘롱 조 샹젤리제 푸르 비지테 라르크 드 트리옹프 ,우리는 개선문을 방문하러 샹젤리제 거리로 간다. ,,
,40 ,1 ,,Ils viennent d’où ? ,일 비엔 드 우 ? ,그들은 어디서 왔나요? ,,
,41 ,1 ,,Ils viennent des États-Unis. Ils sont américains. ,일 비엔 데 제타쥬니. 일 송 아메리캥 ,그들은 미국에서 왔다. 그들은 미국인이다. ,,
