no,group,speaker,original,pron,trans,comment
1,22,,un ami,[œ̃ n‿ami / 엉‿나미],친구 한 명(남),
2,22,,une amie,[yn ami / 윈 아미],친구 한 명(여),
3,22,,des amis,[de z‿ami / 데‿자미],친구들(남),
4,22,,des amies,[de z‿ami / 데‿자미],친구들(여),
5,22,,un homme et une femme,[œ̃ n‿ɔm e yn fam / 엉‿옴 에 윈 팸],남자 한 명과 여자 한 명,
6,22,,des hommes et des femmes,[de z‿ɔm e de fam / 데‿옴 에 데 팸],남자들과 여자들,
7,22,,un croissant et une baguette,[œ̃ kʁwasɑ̃ e yn bagɛt / 엉 크와송 에 윈 바게트],크루아상 하나와 바게트 하나,
8,22,,des croissants et des baguettes,[de kʁwasɑ̃ e de bagɛt / 데 크와송 에 데 바게트],크루아상들과 바게트들,
9,22,,un coq,[œ̃ kɔk / 엉 코크],수탉 한 마리,
10,22,,une baguette,[yn bagɛt / 윈 바게트],바게트 하나,
11,22,,des appartements,[de z‿apaʁtəmɑ̃ / 데‿자파르트망],아파트들,
12,22,,des poules,[de pul / 데풀],암탉들,
13,22,,des croissants,[de kʁwasɑ̃ / 데 크와송],크루아상들,
14,22,,des animaux,[de z‿animo / 데‿자니모],동물들,
15,22,,des garçons,[de gaʁsɔ̃ / 데 가르송],소년들,
16,22,,un garçon,[œ̃ gaʁsɔ̃ / 엉 가르송],소년 한 명,
17,22,,des filles,[de fij / 데 필],소녀들,
18,22,,une fille,[yn fij / 윈 필],소녀 한 명,
19,22,,des mères,[de mɛʁ / 데 메르],어머니들,
20,22,,une mère,[yn mɛʁ / 윈 메르],어머니 한 분,
21,22,,des appartements,[de z‿apaʁtəmɑ̃ / 데‿자파르트망],아파트들,
22,22,,un appartement,[œ̃ n‿apaʁtəmɑ̃ / 엉‿나파르트망],아파트 한 채,
23,22,,des maisons,[de mɛzɔ̃ / 데 메종],집들,
24,22,,une maison,[yn mɛzɔ̃ / 윈 메종],집 한 채,
25,22,,des bus,[de bys / 데 뷔스],버스들,
26,22,,un bus,[œ̃ bys / 엉 뷔스],버스 한 대,
27,22,,des animaux,[de z‿animo / 데‿자니모],동물들,
28,22,,un animal,[œ̃ n‿animal / 엉‿나니말],동물 한 마리,
