no,group,speaker,original,pron,trans,comment
1,122,,Tu connais Paul ?,[ty kɔnɛ pol / 튀 코네 폴],폴을 알아?,
2,122,,Tu le connais ?,[ty lə kɔnɛ / 튀 르 코네],그를 알아?,
3,122,,Vous connaissez ma soeur ?,[vu kɔnɛse ma sœʁ / 부 코네세 마 쓰œ],제 여동생을 아세요?,
4,122,,Vous la connaissez ?,[vu la kɔnɛse / 부 라 코네세],그녀를 아세요?,
5,122,,Ils regardent leur chien.,[il ʁəgaʁd lœʁ ʃjɛ̃ / 일 헤가르드 뢰르 씨앙],그들은 자기 개를 봅니다.,
6,122,,Ils le regardent.,[il lə ʁəgaʁd / 일 르 헤가르드],그들은 그것(개)을 봅니다.,
7,122,,Nous invitons nos amis.,[nu zɛ̃vitɔ̃ no zami / 누 잉비통 노 자미],우리는 친구들을 초대합니다.,
8,122,,Nous les invitons.,[nu le zɛ̃vitɔ̃ / 누 레 잉비통],우리는 그들을 초대합니다.,
9,122,,Elles regardent la télévision.,[ɛl ʁəgaʁd la televizjɔ̃ / 엘 헤가르드 라 텔레비지옹],그녀들은 텔레비전을 봅니다.,
10,122,,Elles la regardent.,[ɛl la ʁəgaʁd / 엘 라 헤가르드],그녀들은 그것(텔레비전)을 봅니다.,
11,122,,Tu m'aimes ? Moi je t'aime.,[ty mɛm mwa ʒə tɛm / 튀 멤 므와 즈 템],나를 사랑해? 나는 너를 사랑해.,
12,122,,Je l'aide. Tu l'aides.,[ʒə l‿ɛd ty l‿ɛd / 즈 레드 튀 레드],나는 그/그녀를 돕는다. 너도 그/그녀를 돕는다.,
13,122,,Paul lui donne son adresse e-mail.,[pol lɥi dɔn sɔ̃ nadʁɛs imɛl / 폴 르이 돈 송 나드레스 이메일],폴은 그/그녀에게 이메일 주소를 줍니다.,
14,122,,Vous leur offrez ces fleurs ?,[vu lœʁ ɔfʁe se flœʁ / 부 뢰르 오프레 세 플œ],그들에게 이 꽃을 선물하세요?,
15,122,,Tu m'offres ce cadeau ?,[ty mɔfʁ sə kado / 튀 모프르 스 카도],이 선물을 나에게 줄래?,
16,122,,Tu me passes le livre ?,[ty mə pas lə livʁ / 튀 므 파스 르 리브르],책을 나에게 건네줄래?,
17,122,,Céline l'appelle.,[selin lapɛl / 셀린 라펠],셀린은 그/그녀를 부릅니다.,
18,122,,Céline lui téléphone.,[selin lɥi telefon / 셀린 르이 텔레폰],셀린은 그/그녀에게 전화합니다.,
19,122,,Nous connaissons Madame Lemaire.,[nu kɔnɛsɔ̃ madam ləmɛʁ / 누 코네송 마담 르메르],우리는 르메르 부인을 압니다.,
20,122,,Nous la connaissons.,[nu la kɔnɛsɔ̃ / 누 라 코네송],우리는 그녀를 압니다.,
21,122,,Je prépare ce gâteau pour ma mère.,[ʒə pʁepaʁ sə gato puʁ ma mɛʁ / 즈 프레파르 스 가토 푸르 마 메르],어머니를 위해 이 케이크를 준비합니다.,
22,122,,Je le prépare pour ma mère.,[ʒə lə pʁepaʁ puʁ ma mɛʁ / 즈 르 프레파르 푸르 마 메르],어머니를 위해 그것(케이크)을 준비합니다.,
23,122,,On achète ces livres ?,[ɔ̃ aʃt se livʁ / 옹 아슈트 세 리브르],이 책들을 살까?,
24,122,,On les achète ?,[ɔ̃ le zaʃt / 옹 레 자슈트],그것들을 살까?,
25,122,,Tu aimes cette fille ?,[ty zɛm sɛt fij / 튀 잼 쎄 필],이 여자를 좋아해?,
26,122,,Tu l'aimes ?,[ty lɛm / 튀 렘],그녀를 좋아해?,
27,122,,Vous offrez ces fleurs à votre copine ?,[vu zɔfʁe se flœʁ a vɔtʁ kopin / 부 조프레 세 플œ 아 보트르 코핀],여자친구에게 이 꽃을 선물하세요?,
28,122,,Vous lui offrez ces fleurs ?,[vu lɥi ɔfʁe se flœʁ / 부 르이 오프레 세 플œ],그녀에게 이 꽃을 선물하세요?,
29,122,,Elle présente son copain à ses parents.,[ɛl pʁezɑ̃t sɔ̃ kopɛ̃ a se paʁɑ̃ / 엘 프레장 송 코팽 아 세 파랑],그녀는 남자친구를 부모님께 소개합니다.,
30,122,,Elle leur présente son copain.,[ɛl lœʁ pʁezɑ̃t sɔ̃ kopɛ̃ / 엘 뢰르 프레장 송 코팽],그녀는 부모님께 남자친구를 소개합니다.,
31,122,,Nous donnons ces livres à nos cousines.,[nu dɔnɔ̃ se livʁ a no kuzin / 누 도논 세 리브르 아 노 쿠진],우리는 이 책들을 사촌들에게 줍니다.,
32,122,,Nous leur donnons ces livres.,[nu lœʁ dɔnɔ̃ se livʁ / 누 뢰르 도논 세 리브르],우리는 그들(사촌들)에게 이 책들을 줍니다.,
33,122,,Tu passes du pain à ton voisin.,[ty pas dy pɛ̃ a tɔ̃ vwazɛ̃ / 튀 파스 뒤 팽 아 통 브와쟁],이웃에게 빵을 건네.,
34,122,,Tu lui passes du pain.,[ty lɥi pas dy pɛ̃ / 튀 르이 파스 뒤 팽],그/그녀(이웃)에게 빵을 건네.,
