no,group,speaker,original,pron,trans,comment
1,1,A,Primates,ˈpraɪ.meɪts,영장류,
2,1,A,Dorsal,ˈdɔːr.səl,등쪽의,
3,1,A,Dull,dʌl,둔한,
4,1,A,Ventral,ˈven.trəl,배쪽의,
5,1,A,Tadpoles,ˈtædˌpoʊlz,올챙이,
6,1,A,Passerines,ˈpæs.ə.raɪnz,참새목 조류,
7,1,A,Kidneys,ˈkɪd.niz,신장,
8,1,A,Dilute,daɪˈluːt,희석하다,
9,1,A,Autism,ˈɔː.tɪ.zəm,자폐증,
10,1,A,Prevalence,ˈprev.ə.ləns,유병률,
11,1,A,Measles,ˈmiː.zəlz,홍역,
12,1,A,Heredity,həˈred.ə.ti,유전,
13,1,A,Spawned,spɔːnd,낳다,
14,1,A,Gravel,ˈɡræv.əl,자갈,
15,1,A,Membrane,ˈmem.breɪn,막,
16,1,A,Breast,brest,가슴,
17,1,A,Stroke,stroʊk,뇌졸중,
18,1,A,Goby,ˈɡoʊ.bi,망둑어,
19,1,A,Attire,əˈtaɪər,복장,
20,1,A,Hemlines,ˈhem.laɪnz,옷단,
21,1,A,Contraptions,kənˈtræp.ʃənz,장치,
22,1,A,Ferment,fərˈment,발효시키다,
23,1,A,Anthrax,ˈæn.θræks,탄저병,
24,1,A,Antiseptic,ˌæn.təˈsep.tɪk,소독제,
25,1,A,Anthropological,ˌæn.θrə.pəˈlɑː.dʒɪ.kəl,인류학의,
26,1,A,Cupola,ˈkjuː.pə.lə,돔,
27,1,A,Perishable,ˈper.ɪ.ʃə.bəl,상하기 쉬운,
28,1,A,Contamination,kənˌtæm.əˈneɪ.ʃən,오염,
29,1,A,Well-timbered,ˌwel ˈtɪm.bərd,목재가 풍부한,
30,1,A,Cuneiform,ˈkjuː.ni.ə.fɔːrm,쐐기문자,
31,1,A,Inscription,ɪnˈskrɪp.ʃən,비문,
32,1,A,Trough,trɔːf,물통,
33,1,A,Biodegradable,ˌbaɪ.oʊ.dɪˈɡreɪ.də.bəl,생분해성의,
34,1,A,Maternal,məˈtɜːr.nəl,모성의,
35,1,A,Offspring,ˈɔːf.sprɪŋ,자손,
36,1,A,Constitution,ˌkɑːn.stəˈtuː.ʃən,"헌법, 기질",
37,1,A,Ash,æʃ,재,
38,1,A,Seismic,ˈsaɪz.mɪk,지진의,
39,1,A,Devastating,ˈdev.ə.steɪ.tɪŋ,파괴적인,
40,1,A,Account for,əˈkaʊnt fɔːr,"차지하다, 설명하다",
