no,group,speaker,original,pron,trans,comment
1,5,word,deux,[dø / 되],2,[ø] 반폐모음/전설모음/원순모음 입술을 좁고 둥굴게 만들고 [외/(으)우] 발음
2,5,word,feu,[fø / 푀],불,[ø]
3,5,word,bleu,[blø / 블뢰],파란색,[ø]
4,5,word,nombreux,[nɔ̃bʁø / 농브회],수많은,[ø]
5,5,word,amoureuse,[amuʁøz / 아무회즈],사랑에 빠진(여성형),[ø]
6,5,word,œufs,[ø / 외],계란들,[ø]
7,5,word,peu,[pø / 뾔],적은,[ø]
8,5,word,jeu,[ʒø / 죄],게임,[ø]
9,5,word,vœu,[vø / 뵈],소원,[ø]
10,5,word,bœufs,[bø / 뵈],소들(복수형),[ø]
11,5,word,fameux,[famø / 파뫼],유명한,[ø]
12,5,word,fameuse,[famøz / 파뫼즈],유명한(여성형),[ø]
13,5,word,nombreux,[nɔ̃bʁø / 농브회],수많은,[ø]
14,5,word,nombreuse,[nɔ̃bʁøz / 농브회즈],수많은(여성형),[ø]
15,5,word,veux,[vø / 뵈],원한다,[ø]
16,5,word,peux,[pø / 뾔],할 수 있다,[ø]
17,5,word,heure,[œʁ / 외흐],시간,[œ] 전설모음/반개모음/원순모음 입술을 둥글게 많이 벌리고 [왜/어]
18,5,word,heureux,[øʁø / 으 흐윽],행복한,[ø]
19,5,word,ascenseur,[asɑ̃sœʁ / 아썽쐐흐],엘리베이터,[œ]
20,5,word,œuf,[œf / 왜프],계란,[œ]
21,5,word,bœuf,[bœf / 봬프],소고기,[œ]
22,5,word,leur,[lœʁ / 뢔흐],그들의,[œ]
23,5,word,neuf,[nœf / 놰프],9,[œ]
24,5,word,sœur,[sœʁ / 쐐흐],자매,[œ]
25,5,word,cœur,[kœʁ / 꽤흐],심장,[œ]
26,5,word,bonheur,[bɔnœʁ / 보놰흐],행복,[œ]
27,5,word,couleur,[kulœʁ / 꿀뢔흐],색,[œ]
28,5,word,douleur,[dulœʁ / 둘뢔흐],색,[œ]
29,5,word,peut-être,[pøt‿ɛtʁ / 뿌때뜨흐],아마도,[ø]
30,5,word,visiteur,[vizitœʁ / 비지뚜흐],방문객,[œ]
31,5,word,professeur,[pʁɔfɛsœʁ / 프호패쑤흐],교수,[œ]
32,5,word,demi-heure,[dəmi œʁ / 드미왜흐],30분,[œ]
33,5,word,ascenseur,[asɑ̃sœʁ / 아썽쐐흐],엘리베이터,[œ]
34,5,sentence,Les œufs peuvent peut-être nourrir leur sœur.,[lez ø pœv pøt‿ɛtʁ nuʁiʁ lœʁ sœʁ / 레쥽 뻡 쀼때 터흐누히흐 렇써흐],계란이 아마도 그들의 자매를 먹여 살릴 수 있다,[œ]
35,5,word,rose,[ʁoz / 호즈],장미,[o] 입을 작게 오무린상태에서 [오]
36,5,word,tôt,[to / 또],일찍,[o] 
37,5,word,chaud,[ʃo / 쇼],뜨거운,[o]
38,5,word,beau,[bo / 보],아름다운,[o]
39,5,word,port,[pɔʁ / 뽀흐],항구,[ɔ] 입을 반쯤 벌린 상태에서 [오]
40,5,word,Paul,[pɔl / 뽈르],이름,[ɔ]
41,5,word,mot,[mo / 모],단어,[o]
42,5,word,tôt,[to / 또],일찍,[o]
43,5,word,faux,[fo / 포],거짓의,[o]
44,5,word,seau,[so / 쏘],양동이,[o]
45,5,word,rose,[ʁoz / 호즈],장미,[o]
46,5,word,chose,[ʃoz / 쇼즈],물건,[o]
47,5,word,gauche,[ɡoʃ / 고슈],왼쪽,[o]
48,5,word,jaune,[ʒon / 죤느],노란색,[o]
49,5,word,loto,[loto / 로토],로또,[o]
50,5,word,bientôt,[bjɛ̃to / 비양또],곧,[o]
51,5,word,cadeau,[kado / 꺄도],선물,[o]
52,5,word,nouveau,[nuvo / 누보],새로운,[o]
53,5,word,code,[kɔd / 꼬드],코드,[ɔ]
54,5,word,mode,[mɔd / 모드],유행,[ɔ]
55,5,word,robe,[ʁɔb / 호브],드레스,[ɔ]
56,5,word,sport,[spɔʁ / 스뽀흐],스포츠,[ɔ]
57,5,word,accord,[akɔʁ / 아꼬흐],합의,[ɔ]
58,5,word,école,[ekɔl / 에꼴르],학교,[ɔ]
59,5,word,époque,[epɔk / 에뽀끄],시대,[ɔ]
60,5,word,alors,[alɔʁ / 알로흐],그래서,[ɔ]
