no,group,speaker,original,pron,trans,comment
1,D,I,It is generally accepted that individuals spend more and more time travelling to work or school.,,일반적으로 사람들이 직장이나 학교에 가기 위해 점점 더 많은 시간을 이동하는 데 쓴다고 여겨진다.,
2,D,I,"Some deem that such long travel time is wasteful, while others maintain that it can bring some benefits somehow.",,"어떤 사람들은 이러한 긴 이동 시간이 낭비라고 생각하는 반면, 다른 사람들은 그것이 어떤 식으로든 몇 가지 이점을 가져올 수 있다고 주장한다.",
3,D,I,This essay will explore both notions before a conclusion is derived.,,이 글은 결론이 도출되기 전에 두 가지 관점을 모두 탐구할 것이다.,
4,D,B,"First of all, some people believe that time spent on long travel is negative for individuals and their organisations.",,"우선, 어떤 사람들은 긴 이동에 소비되는 시간이 개인과 그들의 조직에 부정적이라고 믿는다.",
5,D,B,"Travelling for a long time, especially using public transport, entails many physical activities like standing or walking, which makes individuals use up much energy before school or work.",,"오랜 시간 이동하는 것은 특히 대중교통을 이용할 경우 서 있거나 걷는 것과 같은 많은 신체 활동을 수반하며, 이는 개인이 학교나 직장에 가기 전에 많은 에너지를 소모하게 만든다.",
6,D,B,"Consequently, those who commute for a long time are more likely to be exhausted physically and psychologically.",,따라서 오랜 시간 통근하는 사람들은 신체적으로나 정신적으로 더 쉽게 지치게 된다.,
7,D,B,They can be less productive and efficient at work or at school than their counterparts who spend less time on commuting.,,그들은 통근에 더 적은 시간을 쓰는 사람들에 비해 직장이나 학교에서 생산성과 효율성이 더 낮을 수 있다.,
8,D,B,Such low performance can slow or even prevent the growth of individuals as well as the organisations they belong to.,,이러한 낮은 성과는 개인뿐만 아니라 그들이 속한 조직의 성장까지도 늦추거나 심지어 방해할 수 있다.,
9,D,B2,"However, others consider that long travel time can also play a positive role in some ways.",,그러나 다른 사람들은 긴 이동 시간이 어떤 면에서는 긍정적인 역할을 할 수도 있다고 생각한다.,
10,D,B3,"Recently, modern people have a hectic lifestyle and get a great deal of stress from their work.",,최근 현대인들은 바쁜 생활을 하며 직장에서 많은 스트레스를 받는다.,
11,D,B4,"While travelling, they can get inspiration from their hobbies or take some rest. Moreover, some can improve their weaknesses by studying on their smart devices.",,이동하는 동안 그들은 취미에서 영감을 얻거나 휴식을 취할 수 있다. 또한 일부는 스마트 기기를 통해 공부하면서 자신의 약점을 개선할 수 있다.,
12,D,B5,"Moreover, in the case of those who commute by public transport, they can socialise by greeting and interacting with other passengers.",,"또한 대중교통으로 통근하는 경우, 다른 승객들과 인사하고 상호작용하며 사회적 교류를 할 수 있다.",
13,D,B6,"Given that generally people go to work or school at similar times, they can meet other passengers, fortify their relationships and enjoy the time.",,"일반적으로 사람들이 비슷한 시간에 직장이나 학교에 가기 때문에, 다른 승객들을 만나 관계를 강화하고 시간을 즐길 수 있다.",
14,D,C,"In conclusion, despite the initial appearance that we have spent too much effort and resources to protect wildlife, this appearance belies the reality.",,"결론적으로, 우리가 야생동물을 보호하기 위해 너무 많은 노력과 자원을 썼다는 초기의 인상에도 불구하고, 이러한 인상은 실제를 가린다.",
15,D,C,Many animal and plant species in the world are becoming endangered and even disappearing.,,전 세계의 많은 동식물 종들이 멸종 위기에 처하고 있으며 심지어 사라지고 있다.,
16,D,C,"For this reason, governments should take various measures to save these animals on the brink of extinction.",,이러한 이유로 정부는 멸종 위기에 처한 이 동물들을 보호하기 위해 다양한 조치를 취해야 한다.,
17,A,I,It is universally acknowledged that the easiest way to get the latest news is through various news media.,,최신 뉴스를 얻는 가장 쉬운 방법은 다양한 뉴스 매체를 통하는 것이라는 점은 보편적으로 인정된다.,
18,A,I,"With the progress of Internet technology, individuals can get to know what is happening around the world almost instantly.",,인터넷 기술의 발전으로 개인들은 전 세계에서 일어나는 일을 거의 즉시 알 수 있다.,
19,A,I,"However, some analysts are showing concern about its recent tendency to report negative images and worrisome issues rather than positive ones, since this can have detrimental implications for viewers and society.",,"그러나 일부 분석가들은 최근 뉴스가 긍정적인 것보다 부정적인 이미지와 우려스러운 이슈를 보도하는 경향에 대해 우려를 나타내고 있으며, 이는 시청자와 사회에 해로운 영향을 미칠 수 있다.",
20,A,I,I somewhat agree with this notion.,,나는 이 견해에 어느 정도 동의한다.,
21,A,B,It is apparent that the recent trend of covering negative issues in society has a negative influence on individuals and society.,,최근 사회의 부정적인 이슈를 다루는 경향이 개인과 사회에 부정적인 영향을 미친다는 것은 분명하다.,
22,A,B,Individuals who frequently get negative reports and images can hold pessimistic views about society.,,부정적인 보도와 이미지를 자주 접하는 사람들은 사회에 대해 비관적인 시각을 가질 수 있다.,
23,A,B,This can lower morale and create unnecessary anxiety in society.,,이는 사회의 사기를 떨어뜨리고 불필요한 불안을 초래할 수 있다.,
24,A,B,Such individual dissatisfaction and concern can make society experience unrest.,,이러한 개인의 불만과 우려는 사회가 불안을 겪게 만들 수 있다.,
25,A,B,"Given that individuals or organisations generally tend to restrain their investment in an unstable period of time, this can induce a reduction in consumption as well as investment throughout society.",,"개인이나 조직이 일반적으로 불안정한 시기에는 투자를 억제하는 경향이 있기 때문에, 이는 사회 전반의 소비뿐만 아니라 투자 감소를 유발할 수 있다.",
26,A,B,"In the end, an economic downturn and a long-term recession can occur.",,결국 경기 침체와 장기적인 불황이 발생할 수 있다.,
27,A,B2,"However, we cannot conclude that this media coverage is undesirable.",,그러나 이러한 언론 보도가 바람직하지 않다고 결론 내릴 수는 없다.,
28,A,B2,"Moreover, they have a responsibility to research affairs and accidents in society objectively and let people know about them.",,"또한, 그들은 사회의 사건과 사고를 객관적으로 조사하고 이를 사람들에게 알릴 책임이 있다.",
29,A,B2,"Furthermore, for individuals, such media coverage about worrisome situations can be more beneficial in some sense.",,또한 개인에게 있어 이러한 우려스러운 상황에 대한 언론 보도는 어떤 면에서는 더 유익할 수 있다.,
30,A,B2,"In other words, individuals can recognise current situations through the reports and can prepare for them more thoroughly.",,"다시 말해, 개인들은 이러한 보도를 통해 현재 상황을 인식하고 더 철저하게 대비할 수 있다.",
31,A,B2,"For example, if outbreaks of natural disasters or epidemics are known beforehand, they can be better prevented.",,예를 들어 자연재해나 전염병의 발생이 미리 알려진다면 더 잘 예방할 수 있다.,
32,A,B2,"Moreover, if the news lets people know about the methods of crimes or fraud, they will be cautious and careful not to let it happen again, preventing other damage.",,또한 뉴스가 범죄나 사기의 수법을 알려주면 사람들은 다시 그런 일이 일어나지 않도록 주의하게 되어 추가적인 피해를 예방할 수 있다.,
33,A,B2,"This can also be useful for society since, by doing so, overall damage and the scale of loss can be reduced so that we can save our precious human and material resources.",,이는 또한 그렇게 함으로써 전체적인 피해와 손실 규모를 줄일 수 있어 우리의 소중한 인적·물적 자원을 절약할 수 있기 때문에 사회에도 유용할 수 있다.,
34,A,C,"In conclusion, I personally insist that young offenders should not be treated in the same way as adult offenders who commit the same crimes.",,"결론적으로, 나는 청소년 범죄자들이 동일한 범죄를 저지른 성인 범죄자들과 같은 방식으로 다뤄져서는 안 된다고 생각한다.",
35,A,C,"This is because there are many elements required to assign responsibility to criminals for the crimes they commit, and when it comes to the mental element, young people hold less responsibility for their immaturity.",,"이는 범죄의 책임을 부여하기 위해 고려해야 할 요소들이 많고, 특히 정신적 측면에서 청소년은 미성숙함으로 인해 책임이 더 적기 때문이다.",
36,A,C,"Moreover, they are young enough to change and become law-abiding citizens.",,"또한, 그들은 변화하여 법을 준수하는 시민이 되기에 충분히 어리다.",
37,A2,I,Buying local food is more likely to contribute to preventing environmental pollution and boosting the local economy.,,지역 식품을 구매하는 것은 환경 오염을 방지하고 지역 경제를 활성화하는 데 더 크게 기여할 가능성이 있다.,
38,A2,B,"First of all, in terms of the environment, food travelling a long distance is reduced, so the pollution resulting from transportation vehicles can be lessened.",,"우선, 환경적인 측면에서 보면 식품의 장거리 이동이 줄어들어 운송 수단에서 발생하는 오염이 감소될 수 있다.",
39,A2,B,"Moreover, the use of chemicals like preservatives for a long haul flight would decrease.",,또한 장거리 운송을 위한 방부제와 같은 화학물질의 사용이 감소할 것이다.,
40,A2,B,"Concerning the local economy, the demand for food from the area would increase in the market, so domestic farming and fishing industries would develop.",,지역 경제와 관련해서는 해당 지역에서 생산된 식품에 대한 수요가 시장에서 증가하여 국내 농업과 어업이 발전하게 된다.,
41,A2,B,"With the development of primary industry, the local economy will be facilitated, which will bring about progress in other industries.",,"1차 산업의 발전과 함께 지역 경제가 활성화되고, 이는 다른 산업의 발전을 가져올 것이다.",
42,A2,B2,"However, we should not dismiss the disadvantages that it can bring about,",,그러나 그것이 가져올 수 있는 단점들을 무시해서는 안 된다.,
43,A2,B3,"The increased demand for local food can accelerate the destruction of the environment for farmland, thereby diminishing green areas.",,지역 식품에 대한 수요 증가는 농지를 위한 환경 파괴를 가속화하여 결과적으로 녹지 면적을 감소시킬 수 있다.,
44,A2,B4,"Moreover, excessive use of pesticides or chemical fertilisers for a greater crop yield can pollute the soil.",,또한 더 많은 수확을 위해 농약이나 화학 비료를 과도하게 사용하면 토양을 오염시킬 수 있다.,
45,A2,B5,"Furthermore, intensive farming to meet the increased demand would result in soil exhaustion.",,또한 증가한 수요를 충족하기 위한 집약적 농업은 토양 고갈을 초래할 수 있다.,
46,A2,B6,"In the case that the market fails to secure a stable supply in response to increased demand, the prices are likely to soar, striking a blow to the local economy.",,"시장이 증가한 수요에 대응하여 안정적인 공급을 확보하지 못할 경우, 가격이 급등하여 지역 경제에 타격을 줄 가능성이 있다.",
47,A,C,"Weighing up both sides, the trend seems a negative one.",,"양측을 모두 고려해 보면, 이러한 경향은 부정적인 것으로 보인다.",
48,A,C,"Although individuals can enjoy more freedom and privacy in their day-to-day lives, this phenomenon has come at the cost of strong family bonds and a sense of community.",,"개인들은 일상생활에서 더 많은 자유와 사생활을 누릴 수 있지만, 이러한 현상은 강한 가족 유대와 공동체 의식을 희생시키는 대가를 치렀다.",
