no,group,speaker,original,pron,trans,comment
1,151,,Il va au Musée du Louvre.,[il va o myze dy luvʁ / 일 바 오 뮈제 뒤 루브르],그는 루브르 박물관에 갑니다.,
2,151,,Il est allé au Musée du Louvre.,[il ɛ tale o myze dy luvʁ / 일 에 탈레 오 뮈제 뒤 루브르],그는 루브르 박물관에 갔습니다.,
3,151,,Elle va au Musée d'Orsay.,[ɛl va o myze dɔʁsɛ / 엘 바 오 뮈제 도르세],그녀는 오르세 박물관에 갑니다.,
4,151,,Elle est allée au Musée d'Orsay.,[ɛl ɛ tale o myze dɔʁsɛ / 엘 에 탈레 오 뮈제 도르세],그녀는 오르세 박물관에 갔습니다.,
5,151,,Ils vont au Jardin du Luxembourg.,[il vɔ̃ o ʒaʁdɛ̃ dy lyksɑ̃buʁ / 일 봉 오 자르댕 뒤 뤽스앙부르],그들은 룩셈부르크 공원에 갑니다.,
6,151,,Ils sont allés au Jardin du Luxembourg.,[il sɔ̃t‿ale o ʒaʁdɛ̃ dy lyksɑ̃buʁ / 일 송탈레 오 자르댕 뒤 뤽스앙부르],그들은 룩셈부르크 공원에 갔습니다.,
7,151,,Elles vont au Parc Astérix.,[ɛl vɔ̃ o paʁk astɛʁiks / 엘 봉 오 파르크 아스테릭스],그녀들은 아스테릭스 공원에 갑니다.,
8,151,,Elles sont allées au Parc Astérix.,[ɛl sɔ̃t‿ale o paʁk astɛʁiks / 엘 송탈레 오 파르크 아스테릭스],그녀들은 아스테릭스 공원에 갔습니다.,
9,151,,Je suis venu au concert avec ma soeur.,[ʒə sɥi vəny o kɔ̃sɛʁ avɛk ma sœʁ / 즈 쉬 버뉴 오 콩세르 아벡 마 쇠르],나는 여동생과 함께 콘서트에 왔습니다.,
10,151,,"Léa, tu es venue avec qui ?","[lea, ty ɛ vəny avɛk ki / 레아, 투 에 버뉴 아벡 키]","레아, 너는 누구와 왔니?",
11,151,,Je vais au concert avec ma soeur.,[ʒə vɛ o kɔ̃sɛʁ avɛk ma sœʁ / 즈 베 오 콩세르 아벡 마 쇠르],나는 여동생과 함께 콘서트에 갑니다.,
12,151,,Je suis allé au concert avec ma soeur le week-end dernier.,[ʒə sɥi ale o kɔ̃sɛʁ avɛk ma sœʁ lə wikɛnd dɛʁnje / 즈 쉬 알레 오 콩세르 아벡 마 쇠르 르 위켄 드르니에],나는 지난 주말 여동생과 함께 콘서트에 갔습니다. (남),
13,151,,Je suis allée au concert avec ma soeur le week-end dernier.,[ʒə sɥi ale o kɔ̃sɛʁ avɛk ma sœʁ lə wikɛnd dɛʁnje / 즈 쉬 알레 오 콩세르 아벡 마 쇠르 르 위켄 드르니에],나는 지난 주말 여동생과 함께 콘서트에 갔습니다. (여),
14,151,,Le train pour Lyon part dans cinq minutes.,[lə tʁɛ̃ puʁ ljɔ̃ paʁ dɑ̃ sɛ̃k minyt / 르 트렝 푸르 리옹 파르 당 쌍크 미뉫],리옹행 기차는 5분 후에 출발합니다.,
15,151,,Le train pour Lyon est parti il y a cinq minutes.,[lə tʁɛ̃ puʁ ljɔ̃ ɛ paʁti il i a sɛ̃k minyt / 르 트렝 푸르 리옹 에 파르티 일리아 쌍크 미뉫],리옹행 기차는 5분 전에 출발했습니다.,
16,151,,Nous arrivons à Paris.,[nu zaʁivɔ̃ a paʁi / 누 자리봉 아 파리],우리는 파리에 도착합니다.,
17,151,,Nous sommes arrivés à Paris hier soir.,[nu sɔm aʁive a paʁi jɛʁ swaʁ / 누 솜 아리베 아 파리 예르 수아르],우리는 어제 저녁 파리에 도착했습니다. (남),
18,151,,Nous sommes arrivées à Paris hier soir.,[nu sɔm aʁive a paʁi jɛʁ swaʁ / 누 솜 아리베 아 파리 예르 수아르],우리는 어제 저녁 파리에 도착했습니다. (여),
19,151,,Ils entrent dans la classe.,[il zɑ̃tʁ dɑ̃ la klas / 일 장트르 당 라 클래스],그들은 교실에 들어갑니다.,
20,151,,Ils sont entrés dans la classe.,[il sɔ̃t‿ɑ̃tʁe dɑ̃ la klas / 일 송탕트레 당 라 클래스],그들은 교실에 들어갔습니다.,
21,151,,Pourquoi tu ne viens pas à la fête ?,[puʁkwa ty nə vjɛ̃ pa a la fɛt / 푸르콰 튀 너 비앙 파 아 라 페트],왜 파티에 오지 않니?,
22,151,,Pourquoi tu n'es pas venu(e) à la fête la semaine dernière ?,[puʁkwa ty nɛ pa vəny a la fɛt la səmɛn dɛʁnjɛʁ / 푸르콰 튀 네 파 버뉴 아 라 페트 라 스멘 데르니에르],왜 지난주 파티에 오지 않았니?,
23,151,,Elles ne sortent pas à cause de la pluie.,[ɛl nə sɔʁ pa a koz də la plɥi / 엘 너 소르 파 아 코즈 드 라 플뉘],그녀들은 비 때문에 나가지 않습니다.,
24,151,,Elles ne sont pas sorties à cause de la pluie.,[ɛl nə sɔ̃ pa sɔʁti a koz də la plɥi / 엘 너 송 파 소르티 아 코즈 드 라 플뉘],그녀들은 비 때문에 나가지 않았습니다.,
25,151,,"Victor Hugo est né en 1802 à Besançon, en France.","[viktɔʁ ygo ɛ ne ɑ̃ mil ɥit sɑ̃ dø a bəzɑ̃sɔ̃ ɑ̃ fʁɑ̃s / 빅토르 위고 에 네 앙 밀 휘트 상 되 아 베장쏭 앙 프랑스]","빅토르 위고는 1802년 프랑스 베장쏭에서 태어났습니다.",
26,151,,Il est devenu un grand écrivain.,[il ɛ dəvəny œ̃ gʁɑ̃ ekʁivɛ̃ / 일 에 드버뉴 엉 그랑 에크리벵],그는 위대한 작가가 되었습니다.,
27,151,,Il est mort à Paris en 1885.,[il ɛ mɔʁ a paʁi ɑ̃ mil ɥit sɑ̃ katʁ vɛ̃ sɛ̃k / 일 에 모르 아 파리 앙 밀 휘트 상 카트르뱅 상크],그는 1885년 파리에서 세상을 떠났습니다.,
28,151,,Françoise Hardy est née en janvier 1944.,[fʁɑ̃swaz aʁdi ɛ ne ɑ̃ ʒɑ̃vje mil nœf sɑ̃ kaʁɑ̃t katʁ / 프랑스와즈 아르디 에 네 앙 장비에 밀 뇌프 상 카헝트카트르],프랑스와즈 아르디는 1944년 1월에 태어났습니다.,
29,151,,Elle est devenue une chanteuse célèbre.,[ɛl ɛ dəvəny yn ʃɑ̃tøz selebʁ / 엘 에 드버뉴 인 샹퇴즈 셀레브르],그녀는 유명한 가수가 되었습니다.,
30,151,,Elle est morte le 11 juin 2024.,[ɛl ɛ mɔʁt lə ɔ̃z ʒɥɛ̃ de mil vɛ̃t kaʁɑ̃t katʁ / 엘 에 모르트 르 옹즈 쥥 되 밀 뱅 카헝트카트르],그녀는 2024년 6월 11일에 세상을 떠났습니다.,
31,151,,mille huit cent deux,[mil ɥit sɑ̃ dø / 밀 휘트 상 되],1802 (천팔백이),
32,151,,mille huit cent quatre-vingt-cinq,[mil ɥit sɑ̃ katʁ vɛ̃ sɛ̃k / 밀 휘트 상 카트르뱅 상크],1885 (천팔백팔십오),
33,151,,mille neuf cent quarante-quatre,[mil nœf sɑ̃ kaʁɑ̃t katʁ / 밀 뇌프 상 카헝트카트르],1944 (천구백사십사),
34,151,,deux mille vingt-quatre,[dø mil vɛ̃t katʁ / 되 밀 뱅 카트르],2024 (이천이십사),
35,151,,huit cents,[ɥit sɑ̃ / 휘트 상],800 (팔백),
36,151,,huit cent deux,[ɥit sɑ̃ dø / 휘트 상 되],802 (팔백이),
37,151,,neuf cents,[nœf sɑ̃ / 뇌프 상],900 (구백),
38,151,,neuf cent quarante-quatre,[nœf sɑ̃ kaʁɑ̃t katʁ / 뇌프 상 카헝트카트르],944 (구백사십사),
39,151,,le trente et un août deux mille vingt-sept,[lə tʁɑ̃t e œ̃ ut dø mil vɛ̃t sɛt / 르 트랑트 에 운 우 되 밀 뱅 세트],2027년 8월 31일,
40,151,,le premier septembre deux mille vingt-huit,[lə pʁəmjɛ sɛptɑ̃bʁ dø mil vɛ̃t ɥit / 르 프레미에 셉탕브르 되 밀 뱅 휘트],2028년 9월 1일,
41,151,,Le bus est parti il y a cinq minutes.,[lə bys ɛ paʁti il i a sɛ̃k minyt / 르 뷔스 에 파르티 일리아 쌍크 미뉫],버스는 5분 전에 출발했습니다.,
42,151,,Mes soeurs sont sorties du magasin de vêtements.,[me sœʁ sɔ̃ sɔʁti dy magazɛ̃ də vɛtmɑ̃ / 메 쇠르 송 소르티 뒤 마가진 드 베트망],내 여동생들은 옷가게에서 나왔습니다.,
43,151,,Les enfants sont allés aux toilettes.,[le zɑ̃fɑ̃ sɔ̃t‿ale o twalɛt / 레 장팡 송탈레 오 투알렛],아이들은 화장실에 갔습니다.,
44,151,,Mon voisin est tombé de l'arbre.,[mɔ̃ vwazɛ̃ ɛ tɔ̃be də laʁbʁ / 몽 브와쟁 에 통베 드 라르브르],우리 이웃이 나무에서 떨어졌습니다.,
45,151,,"Les filles, vous êtes nées le même jour ?","[le fij, vu zɛt ne lə mɛm ʒuʁ / 레 피유, 부 제트 네 르 멤 주르]","여자아이들아, 너희는 같은 날 태어났니?",
46,151,,Vincent arrive au bureau à 9 heures.,[vɛ̃sɑ̃ aʁiv o byʁo a nœf œʁ / 방쏭 아리브 오 뷰로 아 뇌프 외르],뱅상은 9시에 사무실에 도착합니다.,
47,151,,Vincent est arrivé au bureau à 9 heures.,[vɛ̃sɑ̃ ɛ t‿aʁive o byʁo a nœf œʁ / 방쏭 에따리베 오 뷰로 아 뇌프 외르],뱅상은 9시에 사무실에 도착했습니다.,
48,151,,Hélène part pour Paris.,[elɛn paʁ puʁ paʁi / 엘렌 파르 푸르 파리],엘렌은 파리로 떠납니다.,
49,151,,Hélène est partie pour Paris.,[elɛn ɛ tpaʁti puʁ paʁi / 엘렌 에 파르티 푸르 파리],엘렌은 파리로 떠났습니다.,
50,151,,Hélène et ses copines montent au deuxième étage de la Tour Eiffel.,[elɛn e se kɔpin mɔ̃t o døzjɛm etaʒ də la tuʁ ɛfɛl / 엘렌 에 세 코핀 몽 오 되지엠 에타주 드 라 투르 에펠],엘렌과 친구들은 에펠탑 2층으로 올라갑니다.,
51,151,,Hélène et ses copines sont montées au deuxième étage de la Tour Eiffel.,[elɛn e se kɔpin sɔ̃ mɔ̃te o døzjɛm etaʒ də la tuʁ ɛfɛl / 엘렌 에 세 코핀 송 몽테 오 되지엠 에타주 드 라 투르 에펠],엘렌과 친구들은 에펠탑 2층으로 올라갔습니다.,
52,151,,Vincent et ses enfants restent tout le week-end à la maison.,[vɛ̃sɑ̃ e se zɑ̃fɑ̃ ʁɛst tu lə wikɛnd a la mɛzɔ̃ / 방쏭 에 세 장팡 헤스트 투 르 위켄 아 라 메종],뱅상과 아이들은 주말 내내 집에 머뭅니다.,
53,151,,Vincent et ses enfants sont restés tout le week-end à la maison.,[vɛ̃sɑ̃ e se zɑ̃fɑ̃ sɔ̃ ʁɛste tu lə wikɛnd a la mɛzɔ̃ / 방쏭 에 세 장팡 송 헤스트 투 르 위켄 아 라 메종],뱅상과 아이들은 주말 내내 집에 머물렀습니다.,
54,151,,Les amis de Vincent viennent chez lui.,[le zami də vɛ̃sɑ̃ vjɛn ʃe lɥi / 레 자미 드 방쏭 비엔 셰 류이],뱅상의 친구들이 그의 집에 옵니다.,
55,151,,Les amis de Vincent sont venus chez lui.,[le zami də vɛ̃sɑ̃ sɔ̃ vəny ʃe lɥi / 레 자미 드 방쏭 송 버뉴 셰 류이],뱅상의 친구들이 그의 집에 왔습니다.,
