no,group,speaker,original,pron,trans,comment
1,fr_history,A,Sais-tu que la langue française que nous parlons aujourd’hui était bien différente auparavant ?,세튀 끄 라 랑그 프헝쎄즈 끄 누 빠흘롱 오주흐뒤 에떼 비앙 디페헝트 오파하방 ?,너는 우리가 오늘 말하는 프랑스어가 예전에는 매우 달랐다는 것을 알고 있니?,Sais-tu=도치 의문문(구어에서 매우 중요)
2,fr_history,A,Elle s’est en fait formée au fil des siècles à partir de plusieurs langues parlées sur tout ce territoire.,엘 쎄 땅 페 포흐메 오 필 데 시에끌 자 빠흐띠흐 드 플루지외흐 랑그 빠흘레 쉬흐 뚜 쓰 떼히뜨와흐,그것은 사실 수세기에 걸쳐 이 지역 전반에서 사용된 여러 언어로부터 형성되었다.,au fil des siècles=세월이 흐르면서
3,fr_history,A,Beaucoup de mots français proviennent également des langues parlées par les peuples voisins que côtoyaient nos ancêtres.,보꾸 드 모 프헝쎄 프로비엔트 에갈망 데 랑그 빠흘레 파흐 레 뿌쁠 부와쟁 끄 꼬뜨와이에 노 장쎄뜨흐,많은 프랑스어 단어들은 우리 조상들이 접촉하던 이웃 민족의 언어에서도 유래한다.,côtoyer=가까이 접하다
4,fr_history,A,"Si tu connais bien les aventures d’Astérix et Obélix, tu sais peut-être que nos irréductibles Gaulois parlent une langue celte : le Gaulois.","씨 튀 꼬네 비앙 레 자방튀흐 다스떼릭스 에 오벨릭스 튀 쎄 쁘떼트흐 끄 노 이헤뒤크띠블 골루와 빠흘륀 윈 랑그 셀뜨 르 골루와",아스테릭스와 오벨릭스 이야기를 잘 안다면 우리의 굴하지 않는 골족이 켈트어(골어)를 쓴다는 것을 알지도 모른다.,irréductibles=끝까지 저항하는
5,fr_history,A,Ce langage très ancien nous a laissé quelques mots courants.,쓰 랑가주 트헤 장씨앙 누 자 레쎄 껠끄 모 꾸항,이 매우 오래된 언어는 우리에게 몇몇 일상적인 단어들을 남겼다.,courants=일상적인
6,fr_history,A,"Mais à l’époque, la langue celte s’écrit rarement et nous n’avons gardé que quelques mots de cette culture orale.",메 알레뽀끄 라 랑그 셀뜨 세크히 하흐망 에 누 나봉 가흐데 끄 껠끄 모 드 쎄뜨 뀔튀흐 오할,하지만 당시에는 켈트어가 거의 기록되지 않아 우리는 이 구전 문화에서 몇몇 단어만 남겼다.,culture orale=구전 문화
7,fr_history,A,"En effet, au 1er siècle avant Jésus-Christ, les Romains envahissent la Gaule.",앙 네페 오 프흐미에 시에끌 아방 제쥐 크리 레 호맹 앙바이쓰 라 골,실제로 기원전 1세기에 로마인들이 갈리아를 침략했다.,envahir=침략하다
8,fr_history,A,"Ils apportent naturellement leur langue, le latin, avec eux.",일 자포흐트 나뛰헬망 뢰흐 랑그 르 라탱 아벡 외,그들은 자연스럽게 자신들의 언어인 라틴어를 함께 가져왔다.,latin=라틴어
9,fr_history,A,"Le peuple gaulois adopte rapidement le latin populaire parlé par les soldats et les marchands romains.",르 뿌쁠 골루와 아도프트 하삐드망 르 라탱 뽀퓰레 빠흘레 파흐 레 솔다 에 레 마흐샹 호맹,골족은 로마 병사와 상인들이 사용하는 속라틴어를 빠르게 받아들였다.,latin populaire=속라틴어
10,fr_history,A,Il transforme certains mots et les adapte à leurs habitudes de prononciation.,일 트헝스포흐므 세흐땡 모 에 레 자답뜨 아 뢰흐 아비튀드 드 프호농씨아씨옹,그는 일부 단어를 변형하고 그들의 발음 습관에 맞게 적응시킨다.,adapter à=~에 맞추다
