no,group,speaker,original,pron,trans,comment
1,11강,français,tableau,따블로,표/그림, [t]폐쇄음/치음/무성음/ 우리말의 'ㄸ'와 유사
2,11강,français,attention,아떵씨옹,주의/집중,[t]폐쇄음/치음/무성음/ 우리말의 'ㄸ'와 유사
3,11강,français,thème,땜므ㅇ,주제,[t]폐쇄음/치음/무성음/ 우리말의 'ㄸ'와 유사
4,11강,français,quand il,껑띨,~할 때 (그가),[t]폐쇄음/치음/무성음/ 우리말의 'ㄸ'와 유사
5,11강,français,doux,두,부드러운/달콤한,[d]폐쇄음/치음/유성음/ 우리말의 'ㄷ'와 유사
6,11강,français,douce,두스,부드러운 (여성형),[d]폐쇄음/치음/유성음/ 우리말의 'ㄷ'와 유사
7,11강,français,addition,아디씨용,덧셈/계산서,[d]폐쇄음/치음/유성음/ 우리말의 'ㄷ'와 유사
8,11강,français,adhésion,아데지용,접착/가입,[d]폐쇄음/치음/유성음/ 우리말의 'ㄷ'와 유사
9,11강,français,thon,똥,참치,[t]폐쇄음/치음/무성음/ 우리말의 'ㄸ'와 유사
10,11강,français,trou,트후,구멍,[t]폐쇄음/치음/무성음/ 우리말의 'ㄸ'와 유사
11,11강,français,thé,떼,차(tea),[t]폐쇄음/치음/무성음/ 우리말의 'ㄸ'와 유사
12,11강,français,motte,모트,덩어리,[t]폐쇄음/치음/무성음/ 우리말의 'ㄸ'와 유사
13,11강,français,des,데,복수관사(~들),[d]폐쇄음/치음/유성음/ 우리말의 'ㄷ'와 유사
14,11강,français,doux,두,부드러운,[d]폐쇄음/치음/유성음/ 우리말의 'ㄷ'와 유사
15,11강,français,chaude,쇼드,더운(여성형),[d]폐쇄음/치음/유성음/ 우리말의 'ㄷ'와 유사
16,11강,français,grande,그ㄹ헝드,큰 (여성형),[d]폐쇄음/치음/유성음/ 우리말의 'ㄷ'와 유사
17,11강,français,content,꽁떵,만족한,[t]폐쇄음/치음/무성음/ 우리말의 'ㄸ'와 유사
18,11강,français,question,깨쓰 띠용,질문(여성명사),[t]폐쇄음/치음/무성음/ 우리말의 'ㄸ'와 유사
19,11강,français,attendre,아떵드ㅎ,기다리다,[t]폐쇄음/치음/무성음/ 우리말의 'ㄸ'와 유사
20,11강,français,synthèse,쌍때즈,종합/합성,[t]폐쇄음/치음/무성음/ 우리말의 'ㄸ'와 유사
21,11강,français,pardon,빠ㅎ동,용서/미안,[d]폐쇄음/치음/유성음/ 우리말의 'ㄷ'와 유사
22,11강,français,modèle,모댈,모형/본보기,[d]폐쇄음/치음/유성음/ 우리말의 'ㄷ'와 유사
23,11강,français,samedi,싸므디,토요일,[d]폐쇄음/치음/유성음/ 우리말의 'ㄷ'와 유사
24,11강,français,donner,도네,주다,[d]폐쇄음/치음/유성음/ 우리말의 'ㄷ'와 유사
25,11강,français,quand elle,껑땔,~할 때 (그녀가),리에종
26,11강,français,grand homme,그ㄹ헝똠므,위대한 사람,리에종
27,11강,français,second étage,스공데따쥬,2층(한국식으로는 3층),리에종
28,11강,français,café,꺄풰,커피,[k]연구개음/폐쇄음/무성음 우리말의 'ㄲ'발음과 유사
29,11강,français,conte,꽁뜨,이야기,[k]연구개음/폐쇄음/무성음 우리말의 'ㄲ'발음과 유사
30,11강,français,cuisine,퀴진느,요리/부엌,[k]연구개음/폐쇄음/무성음 우리말의 'ㄲ'발음과 유사
31,11강,français,accord,아꼬ㅎ,합의,[k]연구개음/폐쇄음/무성음 우리말의 'ㄲ'발음과 유사
32,11강,français,chrétien,크ㄹ헤티앙,기독교인(남성형),[k]연구개음/폐쇄음/무성음 우리말의 'ㄲ'발음과 유사
33,11강,français,ski,스끼,스키,[k]연구개음/폐쇄음/무성음 우리말의 'ㄲ'발음과 유사
34,11강,français,bifteck,비프때ㄲ,스테이크,[k]연구개음/폐쇄음/무성음 우리말의 'ㄲ'발음과 유사
35,11강,français,qui,끼,누구/어떤,[k]연구개음/폐쇄음/무성음 우리말의 'ㄲ'발음과 유사
36,11강,français,car,꺄ㅎ,왜냐하면/차,[k]연구개음/폐쇄음/무성음 우리말의 'ㄲ'발음과 유사
37,11강,français,corps,꼬ㅎ,몸/신체,[k]연구개음/폐쇄음/무성음 우리말의 'ㄲ'발음과 유사
38,11강,français,cou,꾸,목,[k]연구개음/폐쇄음/무성음 우리말의 'ㄲ'발음과 유사
39,11강,français,sac,싸ㄲ,가방,[k]연구개음/폐쇄음/무성음 우리말의 'ㄲ'발음과 유사
40,11강,français,coca,코꺄,코카콜라,[k]연구개음/폐쇄음/무성음 우리말의 'ㄲ'발음과 유사
41,11강,français,vécu,베퀴,살았다,[k]연구개음/폐쇄음/무성음 우리말의 'ㄲ'발음과 유사
42,11강,français,contact,꽁딱ㅌ,접촉/교제,[k]연구개음/폐쇄음/무성음 우리말의 'ㄲ'발음과 유사
43,11강,français,kaki,꺄키,감,[k]연구개음/폐쇄음/무성음 우리말의 'ㄲ'발음과 유사
44,11강,français,gare,갸ㅎ,역,[g]연구개음/폐쇄음/유성음 우리말의 'ㄱ'발음과 유사
45,11강,français,gomme,곰므,지우개,[g]연구개음/폐쇄음/유성음 우리말의 'ㄱ'발음과 유사
51,11강,français,longue,롱그,긴(여성형),[g]연구개음/폐쇄음/유성음 우리말의 'ㄱ'발음과 유사
52,11강,français,bague,바그,반지,[g]연구개음/폐쇄음/유성음 우리말의 'ㄱ'발음과 유사
53,11강,français,bagage,바갸쥬,짐/가방/수화물,[g]연구개음/폐쇄음/유성음 우리말의 'ㄱ'발음과 유사
54,11강,français,goûter,구떼,맛보다/간식,[g]연구개음/폐쇄음/유성음 우리말의 'ㄱ'발음과 유사
55,11강,français,légume,레귐므,채소,[g]연구개음/폐쇄음/유성음 우리말의 'ㄱ'발음과 유사
56,11강,français,chagrin,샤그ㄹ항,슬픔,[g]연구개음/폐쇄음/유성음 우리말의 'ㄱ'발음과 유사
57,11강,français,fatiguant,파띠겅,피곤하게 하는,[g]연구개음/폐쇄음/유성음 우리말의 'ㄱ'발음과 유사
58,11강,français,élégant,엘레 겅,우아한,[g]연구개음/폐쇄음/유성음 우리말의 'ㄱ'발음과 유사
