no,group,speaker,original,pron,trans,comment
1,4,word,téléphoner,[telefɔne / 뗄레포네],전화하다,[e] 반폐모음/전설모음/평순모음 입을 옆으로 조금만 벌리고 내는 [에] 와 유사
2,4,word,été,[ete / 에떼],여름,[e] 반폐모음/전설모음/평순모음 입을 옆으로 조금만 벌리고 내는 [에] 와 유사
3,4,word,les amis,[lez ami / 레자미],친구들,[e] 반폐모음/전설모음/평순모음 입을 옆으로 조금만 벌리고 내는 [에] 와 유사
4,4,word,boulanger,[bulɑ̃ʒe / 불렁줴],빵집 주인,[e] 반폐모음/전설모음/평순모음 입을 옆으로 조금만 벌리고 내는 [에] 와 유사
5,4,word,nez,[ne / 네],코,[e] 반폐모음/전설모음/평순모음 입을 옆으로 조금만 벌리고 내는 [에] 와 유사
6,4,word,thé,[te / 떼],차,[e] 반폐모음/전설모음/평순모음 입을 옆으로 조금만 벌리고 내는 [에] 와 유사
7,4,word,et,[e / 에],그리고,[e] 반폐모음/전설모음/평순모음 입을 옆으로 조금만 벌리고 내는 [에] 와 유사
8,4,word,café,[kafe / 꺄페],커피,[e] 반폐모음/전설모음/평순모음 입을 옆으로 조금만 벌리고 내는 [에] 와 유사
9,4,word,Corée,[kɔʁe / 꼬훼],한국,[e] 반폐모음/전설모음/평순모음 입을 옆으로 조금만 벌리고 내는 [에] 와 유사
10,4,word,aimer,[eme / 에메],좋아하다,[e] 반폐모음/전설모음/평순모음 입을 옆으로 조금만 벌리고 내는 [에] 와 유사
11,4,word,fermer,[fɛʁme / 패흐메],닫다,[e] 반폐모음/전설모음/평순모음 입을 옆으로 조금만 벌리고 내는 [에] 와 유사
12,4,word,matinée,[matine / 마띠네],오전,[e] 반폐모음/전설모음/평순모음 입을 옆으로 조금만 벌리고 내는 [에] 와 유사
13,4,word,canapé,[kanape / 꺄나뻬],소파,[e] 반폐모음/전설모음/평순모음 입을 옆으로 조금만 벌리고 내는 [에] 와 유사
14,4,word,écolier,[ekɔlje / 에꼴리예],학생,[e] 반폐모음/전설모음/평순모음 입을 옆으로 조금만 벌리고 내는 [에] 와 유사
15,4,word,étranger,[etʁɑ̃ʒe / 에 트헝줴],외국인,[e] 반폐모음/전설모음/평순모음 입을 옆으로 조금만 벌리고 내는 [에] 와 유사
16,4,word,fermer,[fɛʁme / 패흐메],닫다,[e] 반폐모음/전설모음/평순모음 입을 옆으로 조금만 벌리고 내는 [에] 와 유사
17,4,word,ferme,[fɛʁm / 페 흐므],농장,[e] 반폐모음/전설모음/평순모음 입을 옆으로 조금만 벌리고 내는 [에] 와 유사
18,4,word,j'ai,[ʒe / 줴],나는 가지고 있다,[e] 반폐모음/전설모음/평순모음 입을 옆으로 조금만 벌리고 내는 [에] 와 유사
