no,group,speaker,original,pron,trans,comment
1,15,word,cédille,[sedij / 세디유],ç,[s]
2,15,word,accent aigu,[aksɑ̃ eɡy / 악썽떼ㄱ위],é,[e]
3,15,word,accent grave,[aksɑ̃ ɡʁav / 악썽 ㄱ하브],è,[ɛ]
4,15,word,accent circonflexe,[aksɑ̃ siʁkɔ̃flɛks / 악썽 씨ㅎ꽁쁠렉스],â ê î ô û,[ɛ] 모음 길이/강조
5,15,word,tréma,[tʁema / 트헤마],ë ï ü,앞 모음과 분리
6,15,word,aimer,[eme /에메],좋아하다,[e]
7,15,word,faire,[fɛʁ / 패흐],하다,[ɛ]
8,15,word,quai,[ke / 께],부두,[e]
9,15,word,maître,[mɛtʁ / 매트흐],주인/선생,[ɛ]
10,15,word,naître,[nɛtʁ / 내트흐],태어나다,[ɛ]
11,15,word,neige,[nɛʒ / 내쥬],눈,[ɛ]
12,15,word,Paul,[pɔl / 뽈],이름,[o]
13,15,word,aubergine,[obɛʁʒin / 오배흐 진],가지,[o]
14,15,word,aussi,[osi / 오씨],또한,[o]
15,15,word,automne,[otɔn / 오똠ㄴ],가을,[o]
16,15,word,aujourd'hui,[oʒuʁdɥi / 오주흐뒤],오늘,[o]
17,15,word,eau,[o / 오],물,[o]
18,15,word,gâteau,[gato / 갸ㄸ오],케이크,[o]
19,15,word,faute,[fot / 포트],잘못,[o]
20,15,word,beauté,[bote / 보떼],아름다움,[o]
21,15,word,bateau,[bato / 바 ㅌ오,배,[o]
22,15,word,château,[ʃato / 샤토],성,[o]
23,15,word,peu,[pø / ㅃ어],적은,[ø]
24,15,word,feu,[fø / ㅍ어],불,[ø]
25,15,word,bleu,[blø / 블ㄹ어],파란색,[ø]
26,15,word,heureux,[øʁø / 으 흐어],행복한,[ø]
27,15,word,neuf,[nœf / ㄴ어프],아홉,[œ]
28,15,word,œuf,[œf / ㅇ어프],계란,[œ]
29,15,word,bœuf,[bœf / b어프],소고기,[œ]
30,15,word,vœu,[vø / ㅂ으],소원,[ø]
31,15,word,amoureux,[amuʁø / 아무 ㅎ으],사랑에 빠진,[ø]
32,15,word,ou,[u / 우],또는,[u]
33,15,word,cou,[ku / 꾸],목,[u]
34,15,word,mou,[mu / 무],부드러운,[u]
35,15,word,coux,[ku / 꾸],양배추(복수),[u]
36,15,word,couche,[kuʃ / 쿠 쓔으],층/눕다,[u]
37,15,word,mouche,[muʃ / 무쓔으],파리,[u]
38,15,word,coucher,[kuʃe / 꾸 셰],눕히다/잠자리에 들다,[u]
39,15,word,moi,[mwa / 무아],나,[wa]
40,15,word,toi,[twa / 투아],너,[wa]
41,15,word,quoi,[kwa / 꾸아],무엇,[wa]
42,15,word,roi,[ʁwa / 후아],왕,[wa]
43,15,word,loi,[lwa / 루아],법,[wa]
44,15,word,bois,[bwa / 부아],나무,[wa]
45,15,word,soir,[swaʁ / 쑤아 흐],저녁,[wa]
46,15,word,voir,[vwaʁ / 부아 흐],보다,[wa]
47,15,word,revoir,[ʁəvwaʁ / 흐부아 흐],다시 보다,[wa]
48,15,word,tante,[tɑ̃t / 떵트],이모/고모,[ɑ̃]
49,15,word,distance,[distɑ̃s / 디스 떵스],거리,[ɑ̃]
50,15,word,danse,[dɑ̃s / 덩스],춤,[ɑ̃]
51,15,word,jambe,[ʒɑ̃b / 졍브],다리,[ɑ̃]
52,15,word,lampe,[lɑ̃p / 렁쁘],램프,[ɑ̃]
53,15,word,tendance,[tɑ̃dɑ̃s / 떵덩스],경향,[ɑ̃]
54,15,word,enfant,[ɑ̃fɑ̃ / 엉 펑],아이,[ɑ̃]
55,15,word,empire,[ɑ̃piʁ / 엉 삐흐],제국,[ɑ̃]
56,15,word,tempête,[tɑ̃pɛt / 떵빼트],폭풍,[ɑ̃]
57,15,word,vin,[vɛ̃ / 방],와인,[ɛ̃]
58,15,word,fin,[fɛ̃ / 팡],끝,[ɛ̃]
59,15,word,main,[mɛ̃ / 망],손,[ɛ̃]
60,15,word,bain,[bɛ̃ / 방],목욕,[ɛ̃]
61,15,word,faim,[fɛ̃ / 팡],배고픔,[ɛ̃]
62,15,word,teint,[tɛ̃ / 땅],안색,[ɛ̃]
63,15,word,sein,[sɛ̃ / 쌍],가슴,[ɛ̃]
64,15,word,syndicat,[sɛ̃dika / 쌍디꺄],노조,[ɛ̃]
65,15,word,sympa,[sɛ̃pa / 쌍빠],좋은/친절한,[ɛ̃]
66,15,word,bien,[bjɛ̃ / 비양],잘,[jɛ̃]
67,15,word,lien,[ljɛ̃ / 리양],연결,[jɛ̃]
68,15,word,rien,[ʁjɛ̃ / 히양],아무것도,[jɛ̃]
69,15,word,combien,[kɔ̃bjɛ̃ / 콩비양],얼마,[jɛ̃]
70,15,word,parisien,[paʁizjɛ̃ / 빠휘지양],파리 사람,[jɛ̃]
71,15,word,le héros,[lə eʁo / 르 에호],영웅,[h]
72,15,word,la hache,[la aʃ / 라 아슈],도끼,[h]
73,15,word,le hibou,[lə ibu / 르 이부],올빼미,[h]
74,15,word,le huit,[lə ɥit / 르 윗],숫자 8,[h]
75,15,word,haut,[o / 오],높은,[h]
76,15,word,partie,[paʁti / 빠흐 티],부분/경기,[ti]
77,15,word,amitié,[amitje / 아미 티예],우정,[tje]
78,15,word,question,[kɛstjɔ̃ / 깨쓰 띠용],질문,[tjɔ̃]
79,15,word,action,[aksjɔ̃ / 악씨용],행동,[sjɔ̃]
80,15,word,prononciation,[pʁɔnɔ̃sjasjɔ̃ / ㅃ허농 씨아씨용],발음,[sjɔ̃]
81,15,word,diplomatie,[diplɔmasi / 디 쁠로마씨],외교,[si]
82,15,word,démocratie,[demɔkʁasi / 데모 크하씨],민주주의,[si]
83,15,word,café,[kafe / 까풰],커피,[k]
84,15,word,cacao,[kakao / 꺄까오],코코아,[k]
85,15,word,code,[kɔd / 꼬드],코드,[k]
86,15,word,cube,[kyb / 뀨브],정육면체,[k]
87,15,word,célébrité,[selebʁite / 쎌레 브히떼],명성,[s]
88,15,word,ceci,[səsi / 쓰씨],이것,[s]
89,15,word,ça,[sa / 싸],그것,[s]
90,15,word,façade,[fasad / 파 싸드],외관,[s]
91,15,word,leçon,[ləsɔ̃ / 르쏭],수업,[s]
92,15,word,garçon,[gaʁsɔ̃ / 갸흐 쏭],소년,[s]
93,15,word,bagage,[baɡaʒ / 바갸 쥬],짐,[g]
94,15,word,gomme,[ɡɔm / 곰으],지우개,[g]
95,15,word,légume,[leɡym / 레 기움],채소,[g]
96,15,word,général,[ʒeneʁal / 제네 할],장군,[ʒ]
97,15,word,girafe,[ʒiʁaf / 지 하프],기린,[ʒ]
98,15,word,guide,[ɡid / 기~드],안내,[g]
99,15,word,Guy,[ɡi / 기~],이름,[g]
100,15,word,vague,[vaɡ / 바~그],파도,[g]
101,15,word,longue,[lɔ̃ɡ / 롱~그],긴,[g]
102,15,word,chambre,[ʃɑ̃bʁ / 셩 브흐],방,[ʃ]
103,15,word,charité,[ʃaʁite / 샤히떼],자선,[ʃ]
104,15,word,cheminée,[ʃəmine / 슈미네],굴뚝,[ʃ]
105,15,word,machine,[maʃin / 마쒼으],기계,[ʃ]
106,15,word,chrétien,[kʁetjɛ̃ / 크헤 띠앙],기독교인,[k]
107,15,word,chaos,[kao / 꺄오],혼돈,[k]
108,15,word,orchestre,[ɔʁkɛstʁ / 오흐 깨스트흐],오케스트라,[k]
109,15,word,écho,[eko / 에꼬],메아리,[k]
110,15,word,santé,[sɑ̃te / 썽떼],건강,[s]
111,15,word,sensible,[sɑ̃sibl / 썽씨ㅂ르],민감한,[s]
112,15,word,soleil,[sɔlɛj / 쏠레이으],태양,[s]
113,15,word,parasol,[paʁasɔl / 빠하 솔],파라솔,[s]
114,15,word,rose,[ʁoz / 호즈],장미,[z]
115,15,word,oiseau,[wazo / 우와조],새,[z]
116,15,word,musique,[myzik / 뮈 지크],음악,[z]
117,15,word,thé,[te / 떼],차,[t]
118,15,word,thème,[tɛm / 뗌으],주제,[t]
119,15,word,méthode,[metɔd / 메 또~드],방법,[t]
120,15,word,avril,[avʁil / 아브히ㄹ],4월,[l]
121,15,word,fil,[fil / 필],실,[l]
122,15,word,cil,[sil / 씰],속눈썹,[l]
123,15,word,mille,[mil / 밀],천,[l]
124,15,word,ville,[vil / 빌],도시,[l]
125,15,word,fusil,[fyzi / 퓌~지~],총,[j]
126,15,word,outil,[uti / 우 띠],도구,[j]
127,15,word,gentil,[ʒɑ̃ti / 졍~티~],친절한,[j]
128,15,word,famille,[famij / 파미 유],가족,[j]
129,15,word,fille,[fij / 피유],소녀,[j]
130,15,word,gentille,[ʒɑ̃tij / 장티유],친절한,[j]
131,15,word,travail,[tʁavaj / 트하바이],일,[j]
132,15,word,bataille,[bataj / 바타이],전투,[j]
133,15,word,orgueil,[ɔʁɡœj / 오흐 고이으],자만,[j]
134,15,word,fauteuil,[fotœj / 포 토이으],안락의자,[j]
135,15,word,feuille,[fœj / 퍼 이으],잎,[j]
136,15,word,texte,[tɛkst / 떽 스트],텍스트,[ks]
137,15,word,luxe,[lyks / ㄹ위그쓰],사치,[ks]
138,15,word,fixe,[fiks / 퓌~ㄱ쓰],고정된,[ks]
139,15,word,sexe,[sɛks / 쎄ㄱ쓰],성별,[ks]
140,15,word,exemple,[ɛɡzɑ̃pl / 에ㄱ정쁘르],예시,[ɡz]
141,15,word,examen,[ɛɡzamɛ̃ / 에ㄱ자멍],시험,[ɡz]
142,15,word,exotique,[ɛɡzɔtik / 에ㄱ조~ 띠ㅋ],이국적인,[ɡz]
143,15,word,exception,[ɛksɛpsjɔ̃ / 엑셉 씨용],예외,[ks]
144,15,word,excessif,[ɛksɛsif / 엑세 씨프],과도한,[ks]
145,15,word,deuxième,[døzjɛm / 도으지옘으],두 번째,[z]
146,15,word,dix-neuf,[diznœf / 디즈ㄴ어프],19,[z]
147,15,word,six,[sis / 씨~쓰],6,[s]
148,15,word,dix,[dis / 디~쓰],10,[s]
149,15,word,soixante,[swasɑ̃t / 쑤와썽뜨],60,[s]
150,15,sentence,petit homme,[pətit ɔm / 프띠 떠므],작은 남자,[t] 연음
151,15,sentence,pas à pas,[paz a pa / 빠자 빠],한 걸음씩,[z] 연음
152,15,sentence,grand effort,[ɡʁɑ̃ t‿efɔʁ / 그항떼 포흐],큰 노력,[t] 연음
153,15,sentence,neuf ans,[nœv ɑ̃ / 느벙],9세,[v] 연음
