no,group,speaker,original,pron,trans,comment
1,7,word,France,[fʁɑ̃s / 프항스],프랑스,[ɑ̃]
2,7,word,dans,[dɑ̃ / 당],~안에,[ɑ̃]
3,7,word,jambe,[ʒɑ̃b / 잠브],다리,[ɑ̃]
4,7,word,chambre,[ʃɑ̃bʁ / 샹브흐],방,[ɑ̃]
5,7,word,dent,[dɑ̃ / 당],이빨,[ɑ̃]
6,7,word,enfant,[ɑ̃fɑ̃ / 앙팡],아이,[ɑ̃]
7,7,word,temps,[tɑ̃ / 탕],시간,[ɑ̃]
8,7,word,ensemble,[ɑ̃sɑ̃bl / 앙상블],함께,[ɑ̃]
9,7,word,banc,[bɑ̃ / 방],벤치,[ɑ̃]
10,7,word,sans,[sɑ̃ / 상],없이,[ɑ̃]
11,7,word,lent,[lɑ̃ / 랑],느린,[ɑ̃]
12,7,word,vent,[vɑ̃ / 방],바람,[ɑ̃]
13,7,word,chance,[ʃɑ̃s / 샹스],행운,[ɑ̃]
14,7,word,danse,[dɑ̃s / 당스],춤,[ɑ̃]
15,7,word,menthe,[mɑ̃t / 망트],민트,[ɑ̃]
16,7,word,lampe,[lɑ̃p / 랑프],램프,[ɑ̃]
17,7,word,méchant,[meʃɑ̃ / 메샹],못된,[ɑ̃]
18,7,word,courant,[kuʁɑ̃ / 쿠항],전류/흐름,[ɑ̃]
19,7,word,prudent,[pʁydɑ̃ / 프뤼당],신중한,[ɑ̃]
20,7,word,printemps,[pʁɛ̃tɑ̃ / 프랭탕],봄,[ɛ̃]
21,7,word,non,[nɔ̃ / 농],아니,[ɔ̃]
22,7,word,rond,[ʁɔ̃ / 홍],둥근,[ɔ̃]
23,7,word,profession,[pʁɔfɛsjɔ̃ / 프로페씨옹],직업,[ɔ̃]
24,7,word,nom,[nɔ̃ / 농],이름,[ɔ̃]
25,7,word,prénom,[pʁenɔ̃ / 프레농],이름(퍼스트네임),[ɔ̃]
26,7,word,bombe,[bɔ̃b / 봉브],폭탄,[ɔ̃]
27,7,word,bon,[bɔ̃ / 봉],좋은,[ɔ̃]
28,7,word,long,[lɔ̃ / 롱],긴,[ɔ̃]
29,7,word,pont,[pɔ̃ / 퐁],다리(bridge),[ɔ̃]
30,7,word,son,[sɔ̃ / 송],그의/그녀의,[ɔ̃]
31,7,word,conte,[kɔ̃t / 콩트],이야기,[ɔ̃]
32,7,word,donc,[dɔ̃k / 동크],그러므로,[ɔ̃]
33,7,word,ombre,[ɔ̃bʁ / 옹브흐],그림자,[ɔ̃]
34,7,word,nombre,[nɔ̃bʁ / 농브흐],숫자,[ɔ̃]
35,7,word,bonbon,[bɔ̃bɔ̃ / 봉봉],사탕,[ɔ̃]
36,7,word,chanson,[ʃɑ̃sɔ̃ / 샹송],노래,[ɔ̃]
37,7,word,maison,[mɛzɔ̃ / 메종],집,[ɔ̃]
38,7,word,prénom,[pʁenɔ̃ / 프레농],이름(퍼스트네임),[ɔ̃]
39,7,word,fin,[fɛ̃ / 팽],끝,[ɛ̃]
40,7,word,impôt,[ɛ̃po / 앵포],세금,[ɛ̃]
41,7,word,syndicat,[sɛ̃dika / 쌩디카],노조,[ɛ̃]
42,7,word,sympa,[sɛ̃pa / 쌩파],좋은/친절한,[ɛ̃]
43,7,word,pain,[pɛ̃ / 팽],빵,[ɛ̃]
44,7,word,faim,[fɛ̃ / 팽],배고픔,[ɛ̃]
45,7,word,rein,[ʁɛ̃ / 헹],신장,[ɛ̃]
46,7,word,Reims,[ʁɛ̃s / 헹스],랭스,[ɛ̃]
47,7,word,coréen,[kɔʁeɛ̃ / 코헤앵],한국인/한국의,[ɛ̃]
48,7,word,bain,[bɛ̃ / 뱅],목욕,[ɛ̃]
49,7,word,mince,[mɛ̃s / 맹스],날씬한,[ɛ̃]
50,7,word,timbre,[tɛ̃bʁ / 탱브흐],우표,[ɛ̃]
51,7,word,saint,[sɛ̃ / 쌩],성스러운,[ɛ̃]
52,7,word,raisin,[ʁɛzɛ̃ / 헤쟁],포도,[ɛ̃]
53,7,word,certain,[sɛʁtɛ̃ / 세흐탱],확실한,[ɛ̃]
54,7,word,demain,[dəmɛ̃ / 드맹],내일,[ɛ̃]
55,7,word,ainsi,[ɛ̃si / 앵시],이렇게,[ɛ̃]
