"no","group","speaker","original","pron","trans","comment"
"1","8.2","Animateur","Voici maintenant un petit livre passionnant.","부아씨 망뜨낭 엉 쁘띠 리브흐 빠씨오낭","진행자: 지금 아주 흥미로운 작은 책을 소개합니다.","passionnant=흥미로운"
"2","8.2","A","A : C'est une enquête sur une absence dans la biographie d'un des plus grands écrivains français et d'une icône de la nouvelle vague.","쎄 튄 앙껫 쉬흐 윈 압썽스 당 라 비오그하피 둔 데 플뤼 그헝 제크히뱅 프헝세 에 둔 이꼰 드 라 누벨 바그","A: 이는 프랑스의 위대한 작가이자 누벨바그의 아이콘의 전기에서 빠진 부분을 다룬 조사입니다.","enquête=조사 / icône=아이콘"
"3","8.2","A","A : Romain Gary et Jean Seberg se sont mariés, c'était le 16 octobre 1963, mais il n'existe absolument aucun témoignage de ce mariage, aucune photo officielle.","호맹 가히 에 장 시베흐그 스 송 마히에 쎄떼 르 세즈 옥또브르 밀뇌쌍 쏘아썽뜨트화 메 일 넥지스트 압쏠뤼망 오꽁 떼무아냐쥬 드 쓰 마히아쥬 오뀐 포토 오피씨엘","A: 로맹 가리와 장 세버그는 1963년 10월 16일 결혼했지만, 이 결혼에 대한 어떤 증언이나 공식 사진도 존재하지 않습니다.","témoignage=증언 / officiel=공식의"
"4","8.2","A","A : Il n'y a pas de récit dans les journaux.","일 니 아 빠 드 헤씨 당 레 주흐노","A: 신문에도 관련 기사가 없습니다.","récit=이야기/기사"
"5","8.2","A","A : Et pour cause, Gary et Seberg ont tout fait pour que ce mariage soit secret et surtout pour qu'il le reste.","에 푸흐 꼬즈 가히 에 시베흐그 옹 뚜 페 푸흐 끄 쓰 마히아쥬 스와 스크헤 에 쉬흐뚜 푸흐 끼일 르 헤스트","A: 그 이유는 두 사람이 이 결혼을 비밀로 유지하려 했기 때문입니다.","pour que=~하도록 / secret=비밀"
"6","8.2","A","A : Et puis, un demi-siècle plus tard, voici l'histoire de cette journée particulière racontée par Ariane Chemin, journaliste au Monde.","에 퓌 엉 드미 시에끌 플뤼 타흐 부아씨 리스트와흐 드 쎄뜨 주흐네 빠흐티큘리에흐 하꽁떼 파흐 아리안 슈맹 주흐날리스트 오 몽드","A: 그리고 반세기 후, 르몽드 기자 아리안 슈맹이 이 특별한 하루를 이야기합니다.","demi-siècle=반세기"
"7","8.2","A","A : Le livre s'intitule Mariage en douce.","르 리브흐 쌍띠뜰 마히아쥬 앙 두스","A: 이 책의 제목은 ‘비밀 결혼’입니다.","s’intituler=제목이 ~이다"
"8","8.2","A","A : Il sortira dans quelques jours, toujours aux éditions des Équateurs.","일 소흐티하 당 껠끄 주흐 뚜주흐 오 제디씨옹 데 제콰떼흐","A: 며칠 후 Équateurs 출판사에서 출간됩니다.","sortir=출간되다"
"9","8.2","A","A : Derrière l'anecdote, c'est aussi une autre façon de raconter l'histoire littéraire.","데히에 라넥도뜨 쎄 오씨 윈 오트흐 파쏭 드 하꽁떼 리스트와흐 리떼헤흐","A: 이 일화 뒤에는 문학사를 다르게 이야기하는 방식이 있습니다.","anecdote=일화"
"10","8.2","A","A : Que représente-t-il en 1963, Ariane Chemin, pour bien comprendre ?","끄 흐프헤장뜨 틸 앙 밀뇌쌍 쏘아썽뜨트화 아리안 슈맹 푸흐 비앙 꽁프헝드흐","A: 1963년 당시 이 사건은 무엇을 의미했는지 설명해 주시겠어요?","représenter=의미하다"
"11","8.2","A","A : D'un côté, Romain Gary, de l'autre, Jean Seberg.","둔 꼬떼 호맹 가히 드 로트흐 장 시베흐그","A: 한쪽에는 로맹 가리, 다른 한쪽에는 장 세버그가 있습니다.","d’un côté… de l’autre=한쪽… 다른쪽"
"12","8.2","A","A : Qu'est-ce que ça représente, ce couple ?","께스 끄 싸 흐프헤장뜨 쓰 꾸쁠","A: 이 커플은 무엇을 의미하나요?","couple=커플"
