"no","group","speaker","original","pron","trans","comment"
"1","La baguette","A","Bonjour, c'est Sigrid.","봉주흐 세 시그히드","안녕하세요, 저는 시그리드입니다.","c'est=자기소개 표현"
"2","La baguette","A","Aujourd'hui, nous allons découvrir un point culturel très important pour les français, l'histoire de La baguette !","오주흐뒤 누 잘롱 데쿠브히흐 엉 뿌앙 뀔튀헬 트헤 임포흐땅 푸흐 레 프헝쎄 리스트와흐 드 라 바게뜨","오늘 우리는 프랑스인들에게 매우 중요한 문화적 요소인 바게트의 역사를 알아볼 것입니다.","nous allons=근접 미래"
"3","La baguette","A","La baguette est un symbole fort de la culture française.","라 바게뜨 에 땅 상볼 포흐 드 라 뀔튀흐 프헝쎄즈","바게트는 프랑스 문화의 강력한 상징이다.","symbole fort=강한 상징"
"4","La baguette","A","À l'origine, le pain était rond et La baguette était réservée à l'aristocratie.","아 로히진 르 팽 에떼 홍 에 라 바게뜨 에떼 헤제흐베 아 라히스또크하씨","처음에는 빵이 둥글었고 바게트는 귀족층을 위한 것이었다.","réservée à=~를 위해 제한되다"
"5","La baguette","A","La baguette est apparue au 18ème siècle.","라 바게뜨 에 따빠휘 오 디즈위티엠 시에끌","바게트는 18세기에 등장했다.","apparaître=등장하다 (복합과거)"
"6","La baguette","A","À l'époque, elle constituait 90% de l'alimentation.","알레뽀끄 엘 꽁스티뛰에 카트흐방디쎄 퍼쌍 드 알리망따씨옹","당시 그것은 식량의 90%를 차지했다.","constituer=구성하다 / 차지하다"
"7","La baguette","A","Et chaque personne en consommait en moyenne 1,5 kilos par jour.","에 샤끄 페흐손 앙 꽁쏘메 앙 모옌 앙 키로 엉미 파흐 주흐","그리고 각 사람은 하루 평균 1.5kg을 소비했다.","en=부분대명사 / en moyenne=평균적으로"
"8","La baguette","A","La baguette était considérée comme un privilège de l'aristocratie.","라 바게뜨 에떼 꽁씨데헤 꼼 엉 프히빌레쥬 드 라히스또크하씨","바게트는 귀족의 특권으로 여겨졌다.","être considéré comme=~로 여겨지다"
"9","La baguette","A","Il s'agissait d'un pain fantaisie élitiste.","일 사지쎄 됭 팽 팡따지 엘리띠스트","그것은 고급 취향의 엘리트용 빵이었다.","il s'agit de=~이다 (설명 표현)"
"10","La baguette","A","La pâte était la même mais l'aristocratie désirait un pain différent.","라 빠뜨 에떼 라 멤 메 라히스또크하씨 데지헤 엉 팽 디페헝","반죽은 같았지만 귀족들은 다른 빵을 원했다.","désirer=원하다 (격식)"
"11","La baguette","A","Quel a été l'impact de la révolution française sur La baguette ?","껠 아 에떼 랭빡 드 라 헤볼뤼씨옹 프헝쎄즈 쉬흐 라 바게뜨","프랑스 혁명이 바게트에 어떤 영향을 미쳤을까?","quel a été=무엇이었는가 (과거 의문)"
"12","La baguette","A","Tout a commencé en 1793 avec un décret de la Convention qui a imposé aux boulangers de faire le même pain pour tous sous peine d'emprisonnement.","뚜 따 꼬망쎄 앙 밀 쎄쌍 꺄트흐방트흐와 아벡 엉 데크헤 드 라 꽁방씨옹 끼 아 앙포제 오 불랑제 드 페흐 르 멤 팽 푸흐 뚜 수 뻰 덩프히종느망","모든 것은 1793년 국민공회가 제정한 법령으로 시작되었으며 제빵사들에게 모두를 위해 동일한 빵을 만들도록 강제했고 이를 어기면 감옥형에 처해졌다.","sous peine de=~의 처벌 하에"
"13","La baguette","A","C'est ainsi que La baguette a vu le jour !","쎄 땅씨 끄 라 바게뜨 아 뷔 르 주흐","이렇게 해서 바게트가 탄생했다!","voir le jour=탄생하다"
