no,group,speaker,original,pron,trans,comment
1,5,word,deux,[dø / 되],2,[ø]
2,5,word,feu,[fø / 푀],불,[ø]
3,5,word,bleu,[blø / 블뢰],파란색,[ø]
4,5,word,nombreux,[nɔ̃bʁø / 농브뢰],수많은,[ø]
5,5,word,amoureuse,[amuʁøz / 아무흐뢰즈],사랑에 빠진(여성형),[ø]
6,5,word,œufs,[ø / 외],계란들,[ø]
7,5,word,peu,[pø / 푀],적은,[ø]
8,5,word,jeu,[ʒø / 즈뢰],게임,[ø]
9,5,word,vœu,[vø / 뵈],소원,[ø]
10,5,word,bœufs,[bø / 뵈],소들,[ø]
11,5,word,fameux,[famø / 파뫼],유명한,[ø]
12,5,word,fameuse,[famøz / 파뫼즈],유명한(여성형),[ø]
13,5,word,nombreux,[nɔ̃bʁø / 농브뢰],수많은,[ø]
14,5,word,nombreuse,[nɔ̃bʁøz / 농브뢰즈],수많은(여성형),[ø]
15,5,word,veux,[vø / 뵈],원한다,[ø]
16,5,word,peux,[pø / 푀],할 수 있다,[ø]
17,5,word,heure,[œʁ / 외흐],시간,[œ]
18,5,word,heureux,[øʁø / 외흐외],행복한,[ø]
19,5,word,ascenseur,[asɑ̃sœʁ / 아상쇠흐],엘리베이터,[œ]
20,5,word,œuf,[œf / 외프],계란,[œ]
21,5,word,bœuf,[bœf / 뵈프],소고기,[œ]
22,5,word,leur,[lœʁ / 뢰흐],그들의,[œ]
23,5,word,neuf,[nœf / 뇌프],9,[œ]
24,5,word,sœur,[sœʁ / 쇠흐],자매,[œ]
25,5,word,cœur,[kœʁ / 쾨흐],심장,[œ]
26,5,word,bonheur,[bɔnœʁ / 보뇌흐],행복,[œ]
27,5,word,couleur,[kulœʁ / 쿨뢰흐],색,[œ]
28,5,word,couleur,[kulœʁ / 쿨뢰흐],색,[œ]
29,5,word,peut-être,[pøt‿ɛtʁ / 푀테트흐],아마도,[ø]
30,5,word,visiteur,[vizitœʁ / 비지퇴흐],방문객,[œ]
31,5,word,professeur,[pʁɔfɛsœʁ / 프로페쇠흐],교수,[œ]
32,5,word,demi-heure,[dəmi œʁ / 드미 외흐],30분,[œ]
33,5,word,ascenseur,[asɑ̃sœʁ / 아상쇠흐],엘리베이터,[œ]
34,5,sentence,Les œufs peuvent peut-être nourrir leur sœur.,[lez ø pœv pøt‿ɛtʁ nuʁiʁ lœʁ sœʁ / 레 죄 푀브 푀테트흐 누히흐 뢰흐 쇠흐],계란이 아마도 그들의 자매를 먹여 살릴 수 있다,[œ]
35,5,word,rose,[ʁoz / 호즈],장미,[o]
36,5,word,tôt,[to / 토],일찍,[o]
37,5,word,chaud,[ʃo / 쇼],뜨거운,[o]
38,5,word,beau,[bo / 보],아름다운,[o]
39,5,word,port,[pɔʁ / 포흐],항구,[ɔ]
40,5,word,Paul,[pɔl / 폴],이름,[ɔ]
41,5,word,mot,[mo / 모],단어,[o]
42,5,word,tôt,[to / 토],일찍,[o]
43,5,word,faux,[fo / 포],거짓의,[o]
44,5,word,seau,[so / 소],양동이,[o]
45,5,word,rose,[ʁoz / 호즈],장미,[o]
46,5,word,chose,[ʃoz / 쇼즈],물건,[o]
47,5,word,gauche,[ɡoʃ / 고슈],왼쪽,[o]
48,5,word,jaune,[ʒon / 존],노란색,[o]
49,5,word,loto,[loto / 로토],로또,[o]
50,5,word,bientôt,[bjɛ̃to / 비앙토],곧,[o]
51,5,word,cadeau,[kado / 카도],선물,[o]
52,5,word,nouveau,[nuvo / 누보],새로운,[o]
53,5,word,code,[kɔd / 코드],코드,[ɔ]
54,5,word,mode,[mɔd / 모드],유행,[ɔ]
55,5,word,robe,[ʁɔb / 호브],드레스,[ɔ]
56,5,word,sport,[spɔʁ / 스포흐],스포츠,[ɔ]
57,5,word,accord,[akɔʁ / 아코흐],합의,[ɔ]
58,5,word,école,[ekɔl / 에콜],학교,[ɔ]
59,5,word,époque,[epɔk / 에포크],시대,[ɔ]
60,5,word,alors,[alɔʁ / 알로흐],그래서,[ɔ]
