no,group,speaker,original,pron,trans,comment
1,142,,Le train va partir dans cinq minutes.,[lə tʁɛ̃ va paʁtiʁ dɑ̃ sɛ̃k minyt / 르 트렝 바 파르티르 당 쌍크 미뉫],기차는 5분 후에 출발할 것입니다. (근접미래),
2,142,,Où est-ce que tu vas aller cet été ?,[u ɛs kə ty va zale sɛ te / 우 에스크 튀 바 잘레 쎄 테],이번 여름 어디에 갈 거야?,
3,142,,Qu'est-ce que vous allez faire ce soir ?,[kɛs kə vu zale fɛʁ sə swaʁ / 케스크 부 잘레 페르 스 수아르],오늘 저녁 뭐 할 거예요?,
4,142,,Ils vont être en retard.,[il vɔ̃t‿ɛtʁ ɑ̃ ʁətaʁ / 일 봉테트르 앙 헤타르],그들은 늦을 것입니다.,
5,142,,On va sortir ce soir.,[ɔ̃ va sɔʁtiʁ sə swaʁ / 옹 바 소르티르 스 수아르],우리 오늘 밤 나갈 거야.,
6,142,,On ne va pas sortir ce soir.,[ɔ̃ nə va pa sɔʁtiʁ sə swaʁ / 옹 너 바 파 소르티르 스 수아르],우리 오늘 밤 안 나갈 거야.,
7,142,,Ils vont travailler la semaine prochaine.,[il vɔ̃ tʁavaje la səmɛn pʁɔʃɛn / 일 봉 트라바예 라 스멘 프로셴],그들은 다음 주에 일할 것입니다.,
8,142,,Ils ne vont pas travailler la semaine prochaine.,[il nə vɔ̃ pa tʁavaje la səmɛn pʁɔʃɛn / 일 너 봉 파 트라바예 라 스멘 프로셴],그들은 다음 주에 일하지 않을 것입니다.,
9,142,,"Ce soir, nous allons manger une pizza.","[sə swaʁ, nu zalɔ̃ mɑ̃ʒe yn pizə / 스 수아르, 누 잘롱 망제 인 피자]","오늘 저녁, 우리는 피자를 먹을 거예요.",
10,142,,Nous allons manger une pizza.,[nu zalɔ̃ mɑ̃ʒe yn pizə / 누 잘롱 망제 인 피자],우리는 피자를 먹을 거예요.,
11,142,,Tu viens avec nous ?,[ty vjɛ̃ avɛk nu / 튀 비엔 아벡 누],우리랑 같이 올래?,
12,142,,Le train vient de partir.,[lə tʁɛ̃ vjɛ̃ də paʁtiʁ / 르 트렝 비앙 드 파르티르],기차가 방금 출발했습니다. (근접과거),
13,142,,Je viens d'arriver à la maison.,[ʒə vjɛ̃ d‿aʁive a la mɛzɔ̃ / 즈 비앙 다리베 아 라 메종],나는 방금 집에 도착했습니다.,
14,142,,Nous venons de finir nos devoirs.,[nu vənɔ̃ də finiʁ no dəvwaʁ / 누 버농 드 피니르 노 데브와르],우리는 방금 숙제를 끝냈습니다.,
15,142,,Ils viennent de se réveiller.,[il vjɛn də sə ʁevɛje / 일 비엔 드 스 헤베예],그들은 방금 일어났습니다.,
16,142,,Ils viennent de manger.,[il vjɛ̃ də mɑ̃ʒe / 일 비엔 드 망제],그들은 방금 먹었습니다.,
17,142,,Ils viennent manger.,[il vjɛn mɑ̃ʒe / 일 비엔 망제],그들이 먹으러 옵니다. (venir + inf.),
18,142,,Le train part dans cinq minutes.,[lə tʁɛ̃ paʁ dɑ̃ sɛ̃k minyt / 르 트렝 파르 당 쌍크 미뉫],기차는 5분 후에 출발합니다. (현재),
19,142,,Le train va partir dans cinq minutes.,[lə tʁɛ̃ va paʁtiʁ dɑ̃ sɛ̃k minyt / 르 트렝 바 파르티르 당 쌍크 미뉫],기차는 5분 후에 출발할 것입니다. (근접미래),
20,142,,Pascal et Léa vont aux États-Unis la semaine prochaine.,[paskal e lea vɔ̃ o zetazyni la səmɛn pʁɔʃɛn / 파스칼 에 레아 봉 오 제타쥐니 라 스멘 프로셴],파스칼과 레아는 다음 주에 미국에 갑니다. (현재),
21,142,,Pascal et Léa vont aller aux États-Unis la semaine prochaine.,[paskal e lea vɔ̃t‿ale o zetazyni la səmɛn pʁɔʃɛn / 파스칼 에 레아 봉탈레 오 제타쥐니 라 스멘 프로셴],파스칼과 레아는 다음 주에 미국에 갈 것입니다. (근접미래),
22,142,,Paul et Anne se marient le mois prochain.,[pol e an sə maʁjø lə mwa pʁɔʃɛn / 폴 에 안 스 마리외 르 무아 프로셴],폴과 안은 다음 달에 결혼합니다. (현재),
23,142,,Paul et Anne vont se marier le mois prochain.,[pol e an vɔ̃ sə maʁje lə mwa pʁɔʃɛn / 폴 에 안 봉 스 마리에 르 무아 프로셴],폴과 안은 다음 달에 결혼할 것입니다. (근접미래),
