no,group,speaker,original,pron,trans,comment
1,4,word,téléphoner,[telefɔne / 뗄레포네],전화하다,[e] 반폐모음/전설모음/평순모음 입을 옆으로 조금만 벌리고 내는 [에] 와 유사
2,4,word,été,[ete / 에떼],여름,[e]
3,4,word,les amis,[lez ami / 레자미],친구들,[z liaison]
4,4,word,boulanger,[bulɑ̃ʒe / 불렁줴],빵집 주인,[ɑ̃]
5,4,word,nez,[ne / 네],코,[e]
6,4,word,thé,[te / 테],차,[t]
7,4,word,et,[e / 에],그리고,[e]
8,4,word,café,[kafe / 꺄페],커피,[e]
9,4,word,Corée,[kɔʁe / 꼴레],한국,[e]
10,4,word,aimer,[eme / 애메],좋아하다,[e]
11,4,word,fermer,[fɛʁme / 패흐메],닫다,[ɛ]
12,4,word,matinée,[matine / 마띠네],오전,[e]
13,4,word,canapé,[kanape / 꺄나뻬],소파,[e]
14,4,word,écolier,[ekɔlje / 에꼴리예],학생,[je]
15,4,word,étranger,[etʁɑ̃ʒe / 에트헝줴],외국인,[ɑ̃]
16,4,word,fermer,[fɛʁme / 패흐메],닫다,[ɛ]
17,4,word,ferme,[fɛʁm / 페흠],농장,[ɛ]
18,4,word,j'ai,[ʒe / 줴],나는 가지고 있다,[e]
19,4,word,frère,[fʁɛʁ / 프해흐],형제,[ɛ]
20,4,word,être,[ɛtʁ / 애트흐],이다,[ɛ]
21,4,word,elle,[ɛl / 앨르],그녀,[ɛ]
22,4,word,lait,[lɛ / 래],우유,[ɛ]
23,4,word,reine,[ʁɛn / 핸느],여왕,[ɛ]
24,4,word,crayon,[kʁɛjɔ̃ / 크해용],연필,[jɔ̃]
25,4,word,asseyez,[aseje / 아쌔예],앉으세요,[e]
26,4,word,mère,[mɛʁ / 매흐],어머니,[ɛ]
27,4,word,fête,[fɛt / 패뜨],축제,[ɛ]
28,4,word,mais,[mɛ / 매],하지만,[ɛ]
29,4,word,Seine,[sɛn / 쌘느],센강,[ɛ]
30,4,word,après,[apʁɛ / 아프해],후에,[ɛ]
31,4,word,fenêtre,[fənɛtʁ / 프내트흐],창문,[ɛ]
32,4,word,baguette,[baɡɛt / 바개뜨],바게트,[ɛ]
33,4,word,français,[fʁɑ̃sɛ / 프헝쌔],프랑스의,[ɛ]
34,4,word,étrangère,[etʁɑ̃ʒɛʁ / 에트헝좨흐],외국의(여성형),[ɛ]
35,4,word,coréenne,[kɔʁeɛn / 코헤앤느],한국의(여성형),[ɛ]
36,4,word,littéraire,[liteʁɛʁ / 리떼해흐],문학의,[ɛ]
37,4,word,papa,[papa / 빠빠],아빠,[a]
38,4,word,voilà,[vwala / 부왈라],여기 있다,[a]
39,4,word,bras,[bʁa / 브하],팔,[a]
40,4,word,pas,[pa / 빠],아니다/걸음,[a]
41,4,word,âme,[am / 암므],영혼,[a]
42,4,word,pâte,[pat / 빠뜨],반죽,[a]
43,4,word,pâtes,[pat / 빠뜨],파스타,[a]
44,4,word,pattes,[pat / 빠뜨],동물의 발,[a]
45,4,word,ça,[sa / 싸],그것,[s]
46,4,word,chat,[ʃa / 샤],고양이,[ʃ]
47,4,word,cas,[ka / 꺄],경우,[k]
48,4,word,la,[la / 라],정관사 여성형,[a]
49,4,word,car,[kaʁ / 꺄흐],왜냐하면,[k]
50,4,word,par,[paʁ / 파흐],~에 의해,[aʁ]
51,4,word,cave,[kav / 꺄브],지하실,[k]
52,4,word,gare,[ɡaʁ / 갸흐],역,[g]
53,4,word,âme,[am / 암ㅁ],영혼,[a]
54,4,word,bâtiment,[batimɑ̃ / 바띠멍],건물,[ɑ̃]
55,4,word,hâte,[at / 아뜨],서두름,[a]
56,4,word,pâte,[pat / 빠뜨],면/반죽,[a]
