no,group,speaker,original,pron,trans,comment
1,43,,"Moi, je suis coréen.",[mwa ʒə sɥi kɔʁeen / 므와 즈 쉬 코헤엔],"나는 한국인이야.",
2,43,,"Toi, tu es française ?",[twa ty ɛ fʁɑ̃sɛz / 투아 튀 에 프랑세즈],"너는 프랑스 여자니?",
3,43,,"Lui, il est français.",[lɥi il ɛ fʁɑ̃sɛ / 뤼 일 에 프랑세],"그는 프랑스 남자야.",
4,43,,"Moi, je suis étudiante, et toi ?",[mwa ʒə sɥi etydjɑ̃t e twa / 므와 즈 쉬 에튀디앙 에 투아],"나는 여학생이야, 너는?",
5,43,,"Nous sommes de Séoul. Et vous ?",[nu sɔm də seul. e vu / 누 솜 드 서울. 에 부],"우리는 서울 출신이야. 당신은?",
6,43,,C'est pour toi.,[sɛ puʁ twa / 세 푸르 투아],너를 위한 거야.,
7,43,,Les enfants sont avec vous ?,[le zɑ̃fɑ̃ sɔ̃ avɛk vu / 레 잉팡 송 아벡 부],아이들이 당신과 함께 있나요?,
8,43,,"Oui, ils sont chez nous.",[wi il sɔ̃ ʃe nu / 위 일 송 셰 누],"네, 그들은 우리 집에 있어요.",
9,43,,Tu es chez Paul ?,[ty ɛ ʃe pol / 튀 에 셰 폴],폴 집에 있니?,
10,43,,"Oui, je suis chez lui.",[wi ʒə sɥi ʃe lɥi / 위 즈 쉬 셰 뤼],"네, 나는 그 집에 있어.",
11,43,,"Moi, je suis coréenne.",[mwa ʒə sɥi kɔʁeen / 므와 즈 쉬 코헤엔],"나는 한국 여자야.",
12,43,,"Vous, vous êtes parisiens ?",[vu vu z‿ɛt paʁizjɛ̃ / 부 부 제뜨 파리지엥],"당신들, 파리 사람이세요?",
13,43,,"Lui, il est de Marseille.",[lɥi il ɛ də maʁsɛj / 뤼 일 에 드 마르세이],"그는 마르세유 출신이야.",
14,43,,"Toi, tu es prêt ?",[twa ty ɛ pʁɛ / 투아 튀 에 프레],"너, 준비됐니?",
15,43,,"Nous, nous sommes contents.",[nu nu sɔm kɔ̃tɑ̃ / 누 누 솜 콩탕],"우리, 기뻐.",
16,43,,"Eux, ils sont adorables.",[ø il sɔ̃t‿adɔʁabl / 으 일 송 어도라블],"그들, 사랑스러워.",
17,43,,C'est moi.,[sɛ mwa / 세 므와],나야.,
18,43,,"Je suis étudiant, et vous ?",[ʒə sɥi etydjɑ̃ e vu / 즈 쉬 에튀디앙 에 부],"나는 학생이에요, 당신은?",
19,43,,Ces fleurs sont pour elle.,[se flœʁ sɔ̃ puʁ ɛl / 세 플œ흐 송 푸르 엘],이 꽃들은 그녀를 위한 거예요.,
20,43,,Les enfants sont avec lui ?,[le zɑ̃fɑ̃ sɔ̃ avɛk lɥi / 레 잉팡 송 아벡 뤼],아이들이 그와 함께 있나요?,
21,43,,"Ce matin, tu es chez toi ?",[sə matɛ̃ ty ɛ ʃe twa / 스 마탱 튀 에 셰 투아],"오늘 아침, 집에 있니?",
22,43,,Ils sont chez eux.,[il sɔ̃ ʃe ø / 일 송 셰 으],그들은 자기 집에 있어요.,
